dcid,year,climateFinanceReceivedCommitmentsMitigationOdaGrantsCurrentUSD
country/SHN,2020,51302.0
country/SHN,2021,67617.0
country/KNA,2013,20138.0
country/LCA,2013,1053640.0
country/LCA,2014,3116252.0
country/LCA,2015,3871.2000000000003
country/LCA,2016,4428145.0
country/LCA,2017,2118544.0
country/LCA,2018,6461.600000000001
country/LCA,2019,900000.0
country/LCA,2020,25636.0
country/LCA,2021,3302.0
country/VCT,2013,2737420.0
country/VCT,2014,1836604.4000000001
country/VCT,2016,15783.2
country/VCT,2017,3009588.0
country/VCT,2020,144462.6
country/VCT,2021,8287.0
country/WSM,2013,5629564.0
country/WSM,2014,27545743.6
country/WSM,2015,6688467.6
country/WSM,2016,151459.0
country/WSM,2017,123205.6
country/WSM,2018,924750.2000000001
country/WSM,2019,2419202.6
country/WSM,2021,155919.8
country/STP,2013,9647564.8
country/STP,2014,370432.0
country/STP,2015,408870.0
country/STP,2016,11571180.0
country/STP,2017,1783376.8
country/STP,2018,6065604.0
country/STP,2019,7260000.0
country/STP,2020,26115042.0
country/STP,2021,3813210.0
country/SEN,2013,6905143.0
country/SEN,2014,55063881.6
country/SEN,2015,34925825.8
country/SEN,2016,39613122.6
country/SEN,2017,47231022.6
country/SEN,2018,28866652.200000003
country/SEN,2019,20604498.77198992
country/SEN,2020,16588615.931010084
country/SEN,2021,70649473.0482036
country/SRB,2013,25913930.0
country/SRB,2014,8507020.0
country/SRB,2015,45123522.8
country/SRB,2016,18933435.0
country/SRB,2017,32378925.6
country/SRB,2018,81582096.8
country/SRB,2019,10027918.2
country/SRB,2020,28056952.821273044
country/SRB,2021,82948159.01272696
country/SYC,2013,1820000.0
country/SYC,2014,40277.6
country/SYC,2015,15186.4
country/SYC,2016,268802.0
country/SYC,2017,4589042.0
country/SLE,2013,4663212.4
country/SLE,2014,386786.4
country/SLE,2015,93734.0
country/SLE,2016,14910758.2
country/SLE,2017,1748196.4
country/SLE,2018,2822282.0
country/SLE,2019,69423681.06315637
country/SLE,2020,20277477.6
country/SLE,2021,41513490.4
country/SLB,2013,7353802.0
country/SLB,2014,8018786.4
country/SLB,2015,6937970.4
country/SLB,2016,13684787.8
country/SLB,2017,29419917.0
country/SLB,2018,31921592.8
country/SLB,2019,12663055.8
country/SLB,2020,908501.8
country/SLB,2021,3140966.6572142
country/SOM,2013,494786.0
country/SOM,2014,2636310.0
country/SOM,2015,199486.0
country/SOM,2016,750000.0
country/SOM,2017,157817.6
country/SOM,2018,19922155.8
country/SOM,2019,38262876.0
country/SOM,2020,1567872.0000000002
country/SOM,2021,93306184.71406001
country/ZAF,2013,43991003.2
country/ZAF,2014,41090465.8
country/ZAF,2015,31945799.6
country/ZAF,2016,54608107.6
country/ZAF,2017,39215461.2
country/ZAF,2018,44175595.6
country/ZAF,2019,61543129.0
country/ZAF,2020,8250190.0
country/ZAF,2021,24900995.2
country/SSD,2013,4042866.0
country/SSD,2014,6384337.6
country/SSD,2015,3304497.8000000003
country/SSD,2016,83541.4
country/SSD,2017,276972.6
country/SSD,2018,1123740.0
country/SSD,2019,4619541.600000001
country/SSD,2020,5148963.0
country/SSD,2021,21079927.3
country/LKA,2013,5070190.6
country/LKA,2014,2700015.0
country/LKA,2015,2103269.2
country/LKA,2016,2097609.0
country/LKA,2017,7173519.0
country/LKA,2018,3838171.8
country/LKA,2019,10658381.419328101
country/LKA,2020,4261032.521071899
country/LKA,2021,7136621.644
country/SDN,2013,3602935.6
country/SDN,2014,4466000.0
country/SDN,2015,1118222.8
country/SDN,2016,20474.0
country/SDN,2017,6042602.799999999
country/SDN,2018,2019680.0
country/SDN,2019,6322612.0
country/SDN,2020,28589474.540000003
country/SDN,2021,344801113.8
country/SUR,2013,1022995.0
country/SUR,2014,415307.2
country/SUR,2016,7631504.6
country/SUR,2017,490518.4
country/SUR,2018,633000.0
country/SUR,2019,2512000.0
country/SUR,2020,27201.0
country/SUR,2021,250000.0
country/SYR,2015,479201.2
country/SYR,2018,59011.0
country/SYR,2019,1250000.0
country/SYR,2021,72514.0
country/TJK,2013,158713804.0
country/TJK,2014,20411889.0
country/TJK,2015,2303129.0
country/TJK,2016,5851979.600000001
country/TJK,2017,61978846.6
country/TJK,2018,36897486.4
country/TJK,2019,54075362.0
country/TJK,2020,97709460.0
country/TJK,2021,117591997.0
country/TZA,2013,13075632.0
country/TZA,2014,24521436.0
country/TZA,2015,78684218.0
country/TZA,2016,46835156.6
country/TZA,2017,65018883.4
country/TZA,2018,42114695.6
country/TZA,2019,20924489.0
country/TZA,2020,92907840.8
country/TZA,2021,26347752.2
country/THA,2013,12368167.8
country/THA,2014,9448491.4
country/THA,2015,627498.0
country/THA,2016,2405760.0
country/THA,2017,32725121.6
country/THA,2018,3278498.2
country/THA,2019,12005337.6
country/THA,2020,5557462.4
country/THA,2021,889785.8
country/TLS,2013,7258704.399999999
country/TLS,2014,2387552.6
country/TLS,2015,277349.2
country/TLS,2016,32275800.2
country/TLS,2017,172768.0
country/TLS,2018,5087790.8
country/TLS,2019,5873475.0
country/TLS,2020,3283372.4
country/TLS,2021,12931542.0
country/TGO,2013,9428996.4
country/TGO,2014,11415408.6
country/TGO,2015,4611979.8
country/TGO,2016,2812166.8
country/TGO,2017,5202419.4
country/TGO,2018,22732811.8
country/TGO,2019,23510343.6
country/TGO,2020,11656260.200000001
country/TGO,2021,22311241.8
country/TKL,2017,7356.8
country/TKL,2018,6058.0
country/TKL,2019,3952569.0
country/TON,2013,29566163.4
country/TON,2015,11888832.8
country/TON,2016,3900994.0
country/TON,2017,7895196.200000001
country/TON,2018,58035393.8
country/TON,2019,14036611.0
country/TON,2020,2316794.020488
country/TON,2021,9218838.8
country/TUN,2013,14380236.2
country/TUN,2014,2807567.2
country/TUN,2015,14830069.8
country/TUN,2016,10891169.0
country/TUN,2017,15476785.4
country/TUN,2018,27328078.178000003
country/TUN,2019,9422273.4
country/TUN,2020,17779896.6
country/TUN,2021,7961805.399999999
country/TKM,2013,6439190.2
country/TKM,2015,106644.0
country/TKM,2016,6223323.5
country/TKM,2017,3783.2000000000003
country/TKM,2018,5116.0
country/TKM,2019,2060000.0
country/TKM,2021,1324.4
country/TUV,2013,5079660.0
country/TUV,2014,5862088.6
country/TUV,2015,9286113.0
country/TUV,2016,1007999.9999999999
country/TUV,2017,244539.2
country/TUV,2018,2442904.0
country/TUV,2019,6832950.0
country/TUV,2020,389672.0
country/TUV,2021,3000000.0
country/TUR,2013,12442683.4
country/TUR,2014,68897077.60000001
country/TUR,2015,96769478.2
country/TUR,2016,70234410.60000001
country/TUR,2017,25967202.800000004
country/TUR,2018,34044842.800000004
country/TUR,2019,9047533.59415
country/TUR,2020,7296038.6
country/TUR,2021,41996974.2
country/UGA,2013,61992668.8
country/UGA,2014,64461016.4
country/UGA,2015,14435061.6
country/UGA,2016,10301975.4
country/UGA,2017,21598409.6
country/UGA,2018,23846216.8
country/UGA,2019,38499429.24790376
country/UGA,2020,90535151.76829624
country/UGA,2021,31436523.54
country/UKR,2013,29557422.200000003
country/UKR,2014,53889282.8
country/UKR,2015,29184438.6
country/UKR,2016,8018132.8
country/UKR,2017,82450068.0
country/UKR,2018,123864519.2
country/UKR,2019,38674745.800000004
country/UKR,2020,20889127.400000002
country/UKR,2021,88722524.4
country/URY,2013,2075188.2
country/URY,2015,14775.2
country/URY,2016,5064852.1
country/URY,2017,1401875.0
country/UZB,2013,179977.0
country/UZB,2014,238230.0
country/UZB,2015,8857155.6
country/UZB,2016,3494676.2
country/UZB,2017,1012698.2000000001
country/UZB,2018,897929.2
country/UZB,2019,6384619.2
country/UZB,2020,3396018.8
country/UZB,2021,2564333.0
country/VUT,2013,10603873.2
country/VUT,2014,10130968.8
country/VUT,2015,15047817.987178365
country/VUT,2016,4212724.97
country/VUT,2017,21904149.2
country/VUT,2018,2795784.567271988
country/VUT,2019,253019.8617280118
country/VUT,2020,9056136.79
country/VUT,2021,7614480.4
country/VEN,2013,8506304.6
country/VEN,2014,4663836.0
country/VEN,2015,7035.2
country/VEN,2016,114773.20000000001
country/VEN,2017,17574.800000000003
country/VEN,2018,328246.4
country/VEN,2019,3109.2000000000003
country/VEN,2020,1999.2
country/VEN,2021,1182.4
country/VNM,2013,46736541.0
country/VNM,2014,53654837.0
country/VNM,2015,31517996.0775821
country/VNM,2016,73520513.68
country/VNM,2017,39799809.2
country/VNM,2018,45897252.0
country/VNM,2019,32530593.122
country/VNM,2020,196469069.6845718
country/VNM,2021,28575930.46042818
country/WLF,2021,136824.80000000002
country/PSE,2013,16664653.0
country/PSE,2014,5462174.4
country/PSE,2015,2094230.0
country/PSE,2016,4325154.0
country/PSE,2017,10443885.8
country/PSE,2018,11435306.923827088
country/PSE,2019,32291325.57790216
country/PSE,2020,12986973.6
country/PSE,2021,13863558.0
country/YEM,2013,7923446.0
country/YEM,2014,20000000.0
country/YEM,2015,1331114.8
country/YEM,2017,9075000.0
country/YEM,2018,50000097.2
country/YEM,2019,1369752.8
country/YEM,2020,6405458.8
country/YEM,2021,49776056.964537196
country/ZMB,2013,20082348.2
country/ZMB,2014,49659046.400000006
country/ZMB,2015,27403869.2
country/ZMB,2016,76178196.60000001
country/ZMB,2017,89000763.6
country/ZMB,2018,37637853.0
country/ZMB,2019,92750548.8
country/ZMB,2020,14537753.174100801
country/ZMB,2021,24177641.8
country/ZWE,2013,481150.00000000006
country/ZWE,2014,1350908.8
country/ZWE,2015,1194563.2000000002
country/ZWE,2016,277599.6
country/ZWE,2017,6294759.6
country/ZWE,2018,14823109.8
country/ZWE,2019,1815059.8
country/ZWE,2020,2676072.8
country/ZWE,2021,7608216.8
