dcid,year,HivPeopleLivingWithHIVReceivingARTPercent
country/MNG,2020,36.859504
country/MNE,2012,25.0
country/MNE,2016,37.216828
country/MNE,2019,49.318801
country/MAR,2018,57.882573
country/MAR,2020,67.184652
country/MOZ,2011,16.270899
country/MOZ,2013,25.666928
country/MOZ,2017,53.842636
country/MOZ,2018,54.677691
country/MOZ,2020,59.485134
country/MOZ,2021,70.897021
country/MOZ,2022,80.729664
country/MMR,2014,33.250753
country/MMR,2019,68.038061
country/MMR,2021,69.161348
country/MMR,2022,74.396032
country/NAM,2015,63.400414
country/NAM,2016,63.199203
country/NAM,2019,82.40736
country/NAM,2022,91.494697
country/NPL,2013,27.660437
country/NPL,2020,66.253425
country/NPL,2021,72.102363
country/NPL,2022,77.870738
country/NLD,2013,73.412607
country/NLD,2020,86.747533
country/NZL,2011,61.968954
country/NZL,2017,77.649626
country/NZL,2019,79.558653
country/NIC,2014,29.565831
country/NIC,2017,40.208488
country/NIC,2021,50.489019
country/NER,2011,25.162273
country/NER,2014,32.098063
country/NER,2018,58.865691
country/NER,2021,71.958409
country/MKD,2015,44.816054
country/OMN,2010,38.688761
country/OMN,2011,39.854192
country/OMN,2016,42.758621
country/OMN,2018,52.303415
country/PAK,2011,2.339059
country/PAK,2014,4.053563
country/PAK,2022,12.771315
country/PAN,2011,31.424794
country/PAN,2018,52.516079
country/PAN,2019,53.97447
country/PAN,2021,52.468321
country/PNG,2010,21.258647
country/PNG,2011,25.202532
country/PNG,2017,51.976211
country/PNG,2018,54.137607
country/PNG,2019,55.068625
country/PNG,2020,57.392669
country/PNG,2021,57.156474
country/PRY,2018,48.242199
country/PRY,2019,50.929408
country/PER,2010,29.07152
country/PER,2018,65.22269
country/PER,2019,72.573224
country/PHL,2014,18.778622
country/PHL,2015,22.935466
country/PHL,2017,32.437861
country/PHL,2018,37.269496
country/PHL,2019,40.784201
country/POL,2017,63.519729
country/AFG,2014,2.925864
country/AFG,2015,3.505258
country/AFG,2021,9.588235
country/ALB,2010,17.214192
country/ALB,2012,25.873362
country/ALB,2013,33.198789
country/ALB,2017,45.007924
country/DZA,2012,28.281146
country/DZA,2014,40.484196
country/DZA,2019,63.094664
country/AGO,2012,11.402866
country/ARM,2010,14.425851
country/ARM,2011,15.609756
country/ARM,2013,21.263313
country/ARM,2014,24.112089
country/ARM,2020,44.532457
country/AZE,2012,11.511613
country/AZE,2013,15.558593
country/AZE,2014,21.511911
country/AZE,2020,56.633065
country/AZE,2022,60.622883
country/BHS,2012,39.177694
country/BHS,2015,56.095791
country/BHS,2019,74.58754
country/BHS,2022,76.495943
country/BGD,2011,8.081792
country/BGD,2012,9.280768
country/BRB,2015,52.829314
country/BRB,2018,60.855566
country/BRB,2020,64.554637
country/BLR,2010,18.590928
country/BLR,2011,20.633803
country/BLR,2016,37.663823
country/BLR,2022,78.543169
country/BEL,2011,64.651976
country/BEL,2013,72.524291
country/BLZ,2010,26.834309
country/BLZ,2015,38.16568
country/BLZ,2017,40.404904
country/BLZ,2022,43.997827
country/BEN,2010,27.814203
country/BEN,2011,34.654272
country/BEN,2014,37.687786
country/BEN,2015,43.936818
country/BEN,2021,74.247263
country/BTN,2013,16.049383
country/BTN,2015,26.844262
country/BTN,2016,31.771894
country/BTN,2018,46.229187
country/BTN,2022,56.887299
country/BOL,2013,13.928035
country/BOL,2014,17.307605
country/BOL,2016,27.3098
country/BOL,2020,47.281774
country/BWA,2020,88.643548
country/BWA,2022,93.272116
country/BRA,2010,38.195415
country/BRA,2013,47.427345
country/BRA,2015,57.995272
country/BRA,2020,71.695992
country/BRA,2021,73.021472
country/BGR,2016,36.149023
country/BFA,2012,33.26792
country/BFA,2013,36.860803
country/BFA,2017,57.606721
country/BFA,2019,66.901875
country/BDI,2014,40.347818
country/BDI,2018,71.964286
country/BDI,2021,83.309899
country/CPV,2012,42.499005
country/KHM,2010,49.08886
country/KHM,2011,53.40865
country/KHM,2013,59.277756
country/KHM,2017,72.42102
country/KHM,2018,76.361268
country/KHM,2020,81.47228
country/CMR,2012,24.1705
country/CMR,2015,33.35362
country/CMR,2017,51.072828
country/CMR,2019,63.517953
country/CMR,2020,71.798666
country/CMR,2022,88.427372
country/CAN,2012,48.803743
country/CAN,2015,69.389234
country/CAN,2017,73.651332
country/CAN,2020,78.199602
country/CAF,2013,13.181952
country/CAF,2016,26.936948
country/CAF,2018,33.766046
country/TCD,2017,50.897938
country/TCD,2022,76.62661
country/CHL,2014,54.416195
country/CHL,2018,72.061032
country/CHL,2019,74.132515
country/CHL,2020,74.526238
country/CHL,2021,73.502975
country/CHL,2022,74.288544
country/COL,2014,41.644584
country/COL,2021,68.294465
country/COM,2011,18.095238
country/COM,2013,24.324324
country/COM,2014,26.785714
country/COM,2015,35.087719
country/COM,2017,43.478261
country/COM,2020,73.275862
country/COM,2021,76.923077
country/COM,2022,85.470085
country/COG,2011,17.750042
country/COG,2014,18.800047
country/COG,2017,20.587748
country/COG,2021,21.534518
country/CRI,2010,35.960009
country/HRV,2012,50.752177
country/HRV,2017,72.944984
country/CUB,2016,52.779478
country/CUB,2019,65.177741
country/CUB,2021,64.335837
country/CYP,2012,36.710369
country/CYP,2014,46.056475
country/CZE,2010,35.780263
country/CZE,2011,41.411871
country/CZE,2014,44.998141
country/CZE,2016,59.933222
country/CZE,2017,66.106531
country/CIV,2012,22.295216
country/CIV,2014,30.129266
country/CIV,2020,66.885293
country/COD,2010,8.27316
country/COD,2011,10.250026
country/COD,2012,12.939328
country/COD,2017,43.461439
country/COD,2019,47.592177
country/DNK,2010,63.663878
country/DNK,2019,81.318035
country/DNK,2020,82.136602
country/DNK,2021,84.369553
country/DOM,2013,28.684225
country/DOM,2015,34.973321
country/DOM,2016,37.807507
country/DOM,2019,46.768153
country/ECU,2010,23.434026
country/ECU,2013,31.855737
country/ECU,2021,74.467443
country/EGY,2015,18.016556
country/SLV,2017,52.836959
country/GNQ,2013,17.035448
country/GNQ,2019,34.859648
country/ERI,2010,28.51335
country/ERI,2011,34.313604
country/ERI,2016,62.024776
country/ERI,2017,64.140898
country/ERI,2018,66.173848
country/ERI,2019,67.232326
country/ERI,2022,71.612537
country/EST,2011,35.697865
country/EST,2012,40.273798
country/EST,2018,61.102517
country/SWZ,2010,31.714307
country/SWZ,2011,35.092619
country/SWZ,2013,44.070442
country/SWZ,2015,67.177216
country/SWZ,2017,77.963923
country/SWZ,2018,78.64163
country/ETH,2010,33.402291
country/ETH,2012,43.436701
country/FJI,2018,27.782163
country/FJI,2019,30.541872
country/FJI,2020,31.546135
country/FRA,2012,74.224313
country/FRA,2015,80.325734
country/FRA,2018,80.094951
country/GAB,2011,26.417215
country/GAB,2013,40.016627
country/GAB,2014,42.411813
country/GMB,2010,9.015811
country/GMB,2013,16.346311
country/GMB,2018,28.908227
country/GEO,2014,47.880158
country/GEO,2019,69.162936
country/DEU,2010,69.653028
country/DEU,2011,71.867243
country/DEU,2013,75.622117
country/DEU,2015,78.658615
country/DEU,2018,81.92798
country/GHA,2012,22.511333
country/GHA,2015,25.424218
country/GRC,2014,51.315403
country/GRC,2017,61.462569
country/GRC,2020,69.53452
country/GRD,2012,34.586466
country/GRD,2014,27.062706
country/GRD,2016,36.746988
country/GRD,2019,34.89011
country/GRD,2021,24.25876
country/GTM,2018,66.461113
country/GTM,2020,70.052092
country/GIN,2010,19.844106
country/GIN,2011,22.345025
country/GIN,2012,26.162846
country/GIN,2017,35.036127
country/GIN,2019,44.86763
country/GNB,2013,18.610849
country/GNB,2015,26.066872
country/GNB,2017,33.431895
country/GNB,2018,41.932946
country/GNB,2022,64.268084
country/GUY,2019,66.681569
country/HTI,2016,29.627329
country/HND,2010,29.932131
country/HND,2019,58.606193
country/ISL,2010,69.387755
country/ISL,2016,73.977695
country/ISL,2018,81.877023
country/ISL,2022,84.51087
country/IDN,2012,6.356908
country/IDN,2014,9.589514
country/IDN,2020,26.143956
country/IDN,2022,33.235227
country/IRN,2011,4.397333
country/IRN,2015,14.426735
country/IRN,2020,33.88121
country/IRQ,2012,14.98008
country/IRQ,2021,25.52822
country/IRL,2010,61.008296
country/IRL,2012,66.786051
country/IRL,2014,71.269224
country/IRL,2021,87.498418
country/ITA,2012,67.22079
country/ITA,2013,69.160614
country/ITA,2015,72.737547
country/JAM,2013,32.00584
country/JAM,2017,41.726341
country/JAM,2019,48.681088
country/JAM,2021,47.339797
country/JOR,2013,40.053763
country/JOR,2019,56.020942
country/KEN,2018,79.052639
country/KWT,2011,50.670241
country/KWT,2016,52.03252
country/KWT,2017,51.55096
country/KGZ,2012,12.568825
country/KGZ,2016,34.944386
country/KGZ,2020,46.06928
country/LAO,2011,19.176232
country/LAO,2019,46.579888
country/LVA,2016,29.294297
country/LVA,2018,38.383069
country/LVA,2020,42.283951
country/LBN,2012,26.657825
country/LBN,2014,26.147077
country/LSO,2010,33.616178
country/LSO,2012,37.763346
country/LSO,2013,41.358485
country/LBY,2011,42.678012
country/LBY,2015,50.902406
country/LBY,2016,52.686638
country/LBY,2022,64.447826
country/LTU,2012,11.306533
country/LTU,2015,20.24911
country/LTU,2016,22.071767
country/LTU,2018,33.549985
country/LUX,2012,63.113772
country/LUX,2014,68.342246
country/LUX,2016,73.33975
country/LUX,2017,75.776965
country/LUX,2019,77.261411
country/LUX,2021,80.787037
country/MDG,2010,1.568119
country/MDG,2012,1.608916
country/MDG,2022,17.602055
country/MWI,2013,49.293424
country/MWI,2019,81.638598
country/MWI,2021,88.610058
country/MDV,2020,71.153846
country/MDV,2021,69.642857
country/MLI,2017,35.125206
country/MLI,2019,37.384753
country/MLI,2022,50.267335
country/MLT,2011,37.830688
country/MLT,2014,46.259843
country/MLT,2015,50.178571
country/MLT,2020,64.304124
country/MLT,2021,62.257282
country/MRT,2015,29.047506
country/MRT,2021,43.952444
country/MEX,2012,34.013561
country/MEX,2020,58.106654
country/MNG,2011,9.359606
country/MNG,2014,25.403226
country/MNG,2021,38.263666
country/MNG,2022,40.126382
country/MNE,2022,56.723716
country/MAR,2011,19.860743
country/MAR,2012,25.072965
country/MAR,2013,30.018563
country/MAR,2017,50.55148
country/MOZ,2015,40.400523
country/MOZ,2019,58.58484
country/MMR,2010,12.310651
country/MMR,2013,26.75159
country/NAM,2012,54.046289
country/NAM,2018,75.184831
country/NAM,2020,84.09983
country/NPL,2010,14.443422
country/NPL,2011,19.486101
country/NPL,2015,38.448142
country/NPL,2016,42.656179
country/NPL,2018,56.477895
country/NLD,2010,65.220731
country/NLD,2011,67.63665
country/NLD,2017,82.216896
country/NLD,2018,83.754258
country/NLD,2019,85.706629
country/NZL,2010,58.279291
country/NZL,2012,62.659946
country/NZL,2018,80.930657
country/NZL,2022,84.699301
country/NIC,2013,25.405237
country/NIC,2022,55.592161
country/NER,2015,37.315767
country/NER,2017,54.668724
country/NER,2019,60.635835
country/MKD,2020,59.325397
country/OMN,2012,38.285714
country/OMN,2013,40.047281
country/OMN,2014,40.993228
country/OMN,2020,60.633862
country/PAK,2018,8.64786
country/PAK,2020,10.871379
country/PAN,2013,37.698357
country/PAN,2017,53.132589
country/PNG,2015,46.824678
country/PRY,2013,32.41813
country/PRY,2020,50.166744
country/PER,2013,39.086679
country/PER,2014,44.379801
country/PER,2016,54.443377
country/PER,2020,73.48174
country/PER,2022,82.233565
country/PHL,2011,12.028939
country/PHL,2013,14.766398
country/PHL,2016,27.86043
country/PHL,2021,38.309593
country/POL,2019,67.924837
country/POL,2020,69.605868
country/POL,2021,70.986233
country/QAT,2017,28.271028
country/PRT,2015,69.653463
country/QAT,2022,41.424802
country/MDA,2010,9.490563
country/MDA,2011,12.424491
country/MDA,2014,21.749145
country/MDA,2016,30.23021
country/RWA,2011,42.435424
country/RWA,2015,66.144782
country/RWA,2017,76.95359
country/KNA,2013,31.073446
country/STP,2012,20.892495
country/STP,2020,75.87108
country/SAU,2011,40.835884
country/SAU,2013,44.49619
country/SAU,2018,82.898361
country/SAU,2021,89.582455
country/SRB,2010,46.188794
country/SRB,2013,48.120611
country/SRB,2014,49.398058
country/SRB,2018,61.548026
country/SRB,2021,61.998917
country/SLE,2010,9.187594
country/SLE,2012,12.30799
country/SLE,2014,15.675007
country/SLE,2016,25.400735
country/SLE,2020,50.684858
country/SLE,2022,75.732338
country/SVN,2012,41.953232
country/SVN,2014,54.029062
country/SVN,2015,59.792477
country/ZAF,2011,31.355051
country/ZAF,2013,43.110476
country/ZAF,2014,48.018446
country/SSD,2010,1.287402
country/SSD,2015,10.117225
country/ESP,2012,72.305464
country/ESP,2020,87.575798
country/ESP,2021,87.410447
country/LKA,2010,6.34123
country/LKA,2012,9.325301
country/LKA,2022,68.492817
country/SDN,2012,9.166637
country/SDN,2017,23.482006
country/SDN,2020,31.765119
country/SUR,2011,24.690181
country/SYR,2015,25.316456
country/SYR,2018,41.684665
country/TJK,2010,16.37931
country/TJK,2012,20.41958
country/TJK,2015,39.193592
country/TJK,2019,58.460391
country/TJK,2020,60.532319
country/THA,2015,55.659292
country/THA,2017,65.60522
country/THA,2019,72.555815
country/TLS,2012,9.491525
country/TLS,2018,31.6435
country/TLS,2019,40.841777
country/TLS,2021,54.932576
country/TGO,2013,30.200426
country/TTO,2010,38.750424
country/TTO,2016,57.045551
country/TTO,2017,57.180692
country/TTO,2019,66.695045
country/TUN,2012,8.44626
country/PRT,2017,81.79202
country/QAT,2018,30.0
country/QAT,2019,31.654676
country/QAT,2020,35.38206
country/QAT,2021,40.177253
country/MDA,2012,15.1206
country/MDA,2013,17.810959
country/MDA,2020,43.539416
country/MDA,2021,45.918109
country/ROU,2015,61.784857
country/ROU,2016,62.582933
country/ROU,2017,64.687465
country/ROU,2021,69.523562
country/RWA,2012,48.929324
country/RWA,2013,54.368456
country/RWA,2014,60.081349
country/RWA,2016,73.922472
country/RWA,2022,92.117607
country/KNA,2012,24.852071
country/KNA,2015,35.751295
country/KNA,2016,38.0
country/KNA,2018,38.317757
country/STP,2010,12.745098
country/STP,2013,24.395448
country/STP,2014,31.212575
country/STP,2018,69.081719
country/STP,2022,88.658866
country/SAU,2012,42.057613
country/SAU,2014,51.420373
country/SAU,2019,89.190851
country/SEN,2012,26.804355
country/SEN,2016,50.536247
country/SEN,2017,55.746685
country/SEN,2018,64.268805
country/SEN,2019,70.146542
country/SEN,2022,80.278841
country/SRB,2011,46.845574
country/SRB,2019,62.059781
country/SLE,2018,39.327087
country/SVK,2010,33.924051
country/SVK,2011,35.091743
country/SVK,2016,58.726115
country/SVN,2013,47.983871
country/SVN,2016,67.984694
country/SVN,2022,83.741648
country/ZAF,2015,53.447961
country/ZAF,2019,71.392427
country/ZAF,2020,72.600102
country/SSD,2011,2.025284
country/SSD,2013,3.802631
country/SSD,2014,6.161416
country/SSD,2018,19.30852
country/SSD,2019,21.792694
country/ESP,2011,69.708172
country/LKA,2016,26.017052
country/LKA,2019,45.412054
country/SDN,2010,7.836331
country/SDN,2011,8.624819
country/SDN,2016,18.508535
country/SUR,2010,22.07562
country/SUR,2016,41.87643
country/SUR,2018,44.293436
country/SUR,2022,43.759566
country/SYR,2013,20.952381
country/TUN,2014,11.202891
country/TUN,2015,12.266043
country/TUN,2016,14.136468
country/TUN,2021,22.489843
country/UGA,2017,72.911491
country/UGA,2019,80.22971
country/UGA,2022,84.481598
country/ARE,2011,19.38873
country/ARE,2012,24.385805
country/TZA,2010,17.743494
country/TZA,2014,42.583108
country/TZA,2017,62.206581
country/TZA,2021,87.7903
country/URY,2011,35.565572
country/URY,2014,53.309333
country/URY,2016,53.921487
country/URY,2019,63.787522
country/URY,2022,73.558322
country/VEN,2010,40.692672
country/VEN,2012,45.576857
country/VEN,2015,60.103707
country/VEN,2016,54.681117
country/VNM,2010,25.207151
country/VNM,2012,35.004898
country/VNM,2016,51.894715
country/VNM,2020,68.11698
country/YEM,2014,19.947678
country/YEM,2016,25.129236
country/YEM,2018,29.755661
country/YEM,2019,32.42325
country/ZMB,2011,38.721159
country/ZMB,2018,70.69957
country/ZWE,2019,85.391572
country/ZWE,2021,89.88292
country/SYR,2019,49.508841
country/THA,2010,33.438894
country/THA,2011,37.541173
country/THA,2013,45.786392
country/THA,2018,68.845036
country/THA,2020,76.44542
country/THA,2021,79.056159
country/TLS,2010,6.472081
country/TLS,2013,14.909478
country/TLS,2014,17.706237
country/TLS,2015,19.088319
country/TLS,2016,22.45266
country/TLS,2017,24.677558
country/TLS,2022,69.156957
country/TGO,2010,19.899979
country/TGO,2011,23.557208
country/TGO,2015,38.94342
country/TGO,2022,81.780016
country/TTO,2011,41.980652
country/TTO,2013,52.119976
country/TTO,2014,54.33472
country/TTO,2021,61.20251
country/UGA,2010,22.285192
country/UGA,2011,25.246463
country/UGA,2015,58.314642
country/UGA,2021,82.680665
country/ARE,2017,15.889992
country/ARE,2020,32.103064
country/ARE,2022,46.782178
country/TZA,2015,47.666459
country/TZA,2018,65.926063
country/TZA,2019,74.933385
country/URY,2010,34.307727
country/URY,2015,53.639712
country/URY,2017,56.860232
country/VEN,2011,42.723014
country/VEN,2014,46.224323
country/VEN,2018,31.478213
country/VEN,2019,51.97306
country/VNM,2011,30.182068
country/VNM,2013,38.959237
country/VNM,2014,42.083462
country/VNM,2015,48.40547
country/VNM,2017,53.863052
country/YEM,2015,21.367391
country/YEM,2021,35.081354
country/ZMB,2014,53.925582
country/ZMB,2016,62.01983
country/ZMB,2017,64.057518
country/ZMB,2019,77.409449
country/ZWE,2010,28.227448
country/ZWE,2011,37.314441
country/ZWE,2017,76.926261
country/ZWE,2018,80.089912
country/PRT,2013,62.82715
country/PRT,2012,58.674459
country/PRT,2014,66.887778
country/QAT,2015,32.352941
country/MDA,2017,34.319527
country/MDA,2022,48.980737
country/ROU,2012,50.547032
country/ROU,2018,66.235616
country/ROU,2019,68.889247
country/ROU,2020,68.084208
country/RWA,2021,89.316484
country/KNA,2017,37.681159
country/KNA,2019,38.00905
country/KNA,2022,52.03252
country/STP,2015,41.171875
country/STP,2019,72.274678
country/SAU,2015,61.918397
country/SAU,2020,90.712793
country/SAU,2022,89.601728
country/SEN,2010,26.237097
country/SEN,2014,37.966275
country/SEN,2015,43.414058
country/SEN,2021,76.439171
country/SLE,2015,20.45769
country/SLE,2017,33.328176
country/SLE,2021,61.138389
country/SVK,2013,45.072993
country/SVK,2014,50.403877
country/SVK,2018,66.941298
country/SVN,2011,39.630682
country/SVN,2018,77.805179
country/SVN,2019,78.381643
country/ZAF,2012,37.775457
country/ZAF,2017,64.091406
country/ZAF,2018,68.161748
country/ZAF,2022,75.011077
country/SSD,2016,11.158996
country/SSD,2022,31.980541
country/ESP,2014,74.612242
country/ESP,2016,82.937233
country/ESP,2017,84.470097
country/ESP,2019,85.605429
country/LKA,2011,7.454458
country/LKA,2013,12.487899
country/LKA,2014,15.494665
country/LKA,2017,31.727006
country/LKA,2021,58.80049
country/SDN,2014,13.399149
country/SDN,2018,25.984415
country/SDN,2019,29.553683
country/SDN,2022,27.542517
country/SUR,2013,34.562622
country/SYR,2010,11.162791
country/SYR,2011,15.265487
country/SYR,2016,27.560976
country/SYR,2017,34.36019
country/SYR,2021,51.088777
country/SYR,2022,51.212121
country/TJK,2011,19.046234
country/TJK,2013,23.360734
country/TJK,2016,45.689453
country/TJK,2018,55.020191
country/THA,2016,61.082006
country/TGO,2012,26.328169
country/TGO,2014,33.202039
country/TGO,2016,46.259656
country/PRT,2016,72.468325
country/QAT,2016,29.347826
country/MDA,2015,26.260146
country/MDA,2018,39.093652
country/MDA,2019,43.281361
country/ROU,2010,50.376642
country/ROU,2011,50.232769
country/ROU,2013,54.757377
country/ROU,2014,57.789638
country/ROU,2022,67.785235
country/RWA,2010,38.223899
country/RWA,2018,80.124397
country/RWA,2019,83.237103
country/RWA,2020,86.324592
country/KNA,2010,22.368421
country/KNA,2011,22.360248
country/KNA,2014,38.378378
country/KNA,2020,48.471616
country/KNA,2021,48.945148
country/STP,2011,16.74179
country/STP,2016,49.516129
country/STP,2017,60.445912
country/STP,2021,80.0
country/SAU,2010,39.388071
country/SAU,2016,73.076923
country/SAU,2017,77.538419
country/SEN,2011,28.506314
country/SEN,2013,31.024722
country/SEN,2020,73.684593
country/SRB,2012,47.335975
country/SRB,2015,51.263274
country/SRB,2016,54.28769
country/SRB,2017,57.386178
country/SRB,2020,61.390616
country/SRB,2022,63.18667
country/SLE,2011,12.25522
country/SLE,2013,13.489508
country/SLE,2019,45.235668
country/SVK,2012,40.246407
country/SVK,2015,56.938484
country/SVK,2017,73.515982
country/SVN,2010,38.038633
country/SVN,2017,74.278545
country/SVN,2020,83.608491
country/SVN,2021,82.548794
country/ZAF,2010,24.487586
country/ZAF,2016,59.012735
country/ZAF,2021,73.947866
country/SSD,2012,2.445199
country/SSD,2017,14.747671
country/SSD,2020,26.27435
country/SSD,2021,29.097868
country/ESP,2010,68.874286
country/ESP,2013,73.616446
country/ESP,2015,76.707454
country/ESP,2018,85.37173
country/LKA,2015,19.513973
country/LKA,2018,38.663719
country/LKA,2020,53.217092
country/SDN,2013,11.58669
country/SDN,2015,14.557277
country/SDN,2021,28.442583
country/SUR,2012,30.977361
country/SUR,2014,37.649092
country/TGO,2018,59.718318
country/TGO,2021,75.729569
country/TTO,2015,57.060372
country/TTO,2018,61.368023
country/TTO,2022,60.144806
country/TUN,2011,9.387835
country/TUN,2013,9.706667
country/TUN,2019,19.693956
country/TUN,2020,21.58209
country/TUN,2022,26.065481
country/UGA,2012,33.774695
country/UGA,2014,54.419518
country/UGA,2016,64.762881
country/UGA,2018,77.557637
country/UGA,2020,81.064161
country/ARE,2015,15.98063
country/ARE,2021,46.381579
country/TZA,2011,19.170839
country/TZA,2016,52.837776
country/TZA,2020,83.268938
country/URY,2012,33.998363
country/VEN,2017,43.011779
country/VEN,2020,64.7636
country/VEN,2022,67.110952
country/VNM,2019,63.469997
country/VNM,2022,73.444894
country/YEM,2013,15.801473
country/YEM,2022,39.088905
country/ZMB,2015,60.700469
country/ZMB,2020,84.239546
country/ZMB,2022,89.93642
country/ZWE,2012,43.078691
country/ZWE,2014,56.487133
country/ZWE,2015,61.655703
country/ZWE,2016,67.520354
country/ZWE,2020,89.132732
country/ZWE,2022,94.137914
country/SUR,2015,38.728129
country/SUR,2017,42.741423
country/SUR,2019,43.127535
country/SUR,2020,50.17508
country/SUR,2021,47.311522
country/SYR,2012,18.543046
country/SYR,2014,24.0
country/SYR,2020,50.632911
country/TJK,2014,30.805078
country/TJK,2017,50.563424
country/TJK,2021,61.536295
country/TJK,2022,62.800501
country/THA,2012,41.290772
country/THA,2014,49.897175
country/THA,2022,81.401515
country/TLS,2011,6.212664
country/TLS,2020,46.508172
country/TGO,2017,54.307164
country/TGO,2019,69.304127
country/TGO,2020,74.397884
country/TTO,2012,47.305338
country/TTO,2020,61.929107
country/TUN,2010,8.686485
country/TUN,2017,14.72
country/TUN,2018,16.974632
country/UGA,2013,44.516376
country/ARE,2010,18.136273
country/ARE,2013,24.045139
country/ARE,2014,16.360601
country/ARE,2016,14.4427
country/ARE,2018,16.232316
country/ARE,2019,16.545718
country/TZA,2012,30.308843
country/TZA,2013,35.095165
country/TZA,2022,94.498085
country/URY,2013,51.777193
country/URY,2018,62.743594
country/URY,2020,62.921587
country/URY,2021,70.420809
country/VEN,2013,45.599197
country/VEN,2021,65.509201
country/VNM,2018,59.527663
country/VNM,2021,71.369083
country/YEM,2010,11.003734
country/YEM,2011,12.690355
country/YEM,2012,13.58583
country/YEM,2017,27.449655
country/YEM,2020,33.763987
country/ZMB,2010,33.011955
country/ZMB,2012,42.367425
country/ZMB,2013,47.733128
country/ZMB,2021,85.050663
country/ZWE,2013,50.068155
Earth,2010,24.422032
Earth,2011,28.900883
Earth,2014,43.468032
Earth,2020,69.395912
Earth,2022,76.30598
Earth,2018,61.845883
Earth,2019,66.011674
Earth,2021,72.736395
Earth,2012,33.704391
Earth,2016,53.235348
Earth,2017,58.243596
Earth,2013,38.55014
Earth,2015,48.033093
