dcid,date,SdrAllocationsSdr
country/ISR,2022-04-30,2724481799.0
country/ITA,2022-04-30,21020028442.0
country/JAM,2022-04-30,628636079.0
country/JPN,2022-04-30,41825032947.0
country/JOR,2022-04-30,490916555.0
country/KAZ,2022-04-30,1453927872.0
country/KEN,2022-04-30,779896551.0
country/KIR,2022-04-30,16058663.0
country/KOR,2022-04-30,10630577170.0
country/XKX,2022-04-30,134536798.0
country/KWT,2022-04-30,3168746487.0
country/KGZ,2022-04-30,254958607.0
country/LAO,2022-04-30,152082303.0
country/LVA,2022-04-30,439316635.0
country/LBN,2022-04-30,800468200.0
country/LSO,2022-04-30,99778347.0
country/LBR,2022-04-30,371643794.0
country/LBY,2022-04-30,2580537157.0
country/LTU,2022-04-30,560492453.0
country/LUX,2022-04-30,1513508312.0
country/MDG,2022-04-30,351335939.0
country/MWI,2022-04-30,199402195.0
country/MYS,2022-04-30,4828977592.0
country/MDV,2022-04-30,28010355.0
country/MLI,2022-04-30,268210490.0
country/MLT,2022-04-30,256709738.0
country/MHL,2022-04-30,8023909.0
country/MRT,2022-04-30,185114358.0
country/MUS,2022-04-30,233097854.0
country/MEX,2022-04-30,11393617366.0
country/FSM,2022-04-30,11707609.0
country/MDA,2022-04-30,283047069.0
country/MNG,2022-04-30,118053387.0
country/MNE,2022-04-30,83808875.0
country/MAR,2022-04-30,1418664228.0
country/MOZ,2022-04-30,326599038.0
country/MMR,2022-04-30,741088903.0
country/NAM,2022-04-30,313548069.0
country/NRU,2022-04-30,3545044.0
country/NPL,2022-04-30,218481192.0
country/NLD,2022-04-30,13210174438.0
country/NZL,2022-04-30,2053839227.0
country/NIC,2022-04-30,373741054.0
country/NER,2022-04-30,189070392.0
country/NGA,2022-04-30,4027903350.0
country/MKD,2022-04-30,200088116.0
country/NOR,2022-04-30,5161780879.0
country/OMN,2022-04-30,700600069.0
country/PAK,2022-04-30,2935186408.0
country/PLW,2022-04-30,7654095.0
country/PAN,2022-04-30,558156879.0
country/PNG,2022-04-30,377759680.0
country/PRY,2022-04-30,288226375.0
country/PER,2022-04-30,1888951299.0
country/PHL,2022-04-30,2795992470.0
country/POL,2022-04-30,5229896399.0
country/PRT,2022-04-30,2780990156.0
country/QAT,2022-04-30,955964392.0
country/ROU,2022-04-30,2720913152.0
country/RUS,2022-04-30,18039418682.0
country/RWA,2022-04-30,230366304.0
country/WSM,2022-04-30,26618007.0
country/SMR,2022-04-30,62689833.0
country/STP,2022-04-30,21283195.0
country/SAU,2022-04-30,16259953154.0
country/SEN,2022-04-30,464956445.0
country/SRB,2022-04-30,1072632100.0
country/SYC,2022-04-30,30231093.0
country/SLE,2022-04-30,298289187.0
country/SGP,2022-04-30,4474424076.0
country/SVK,2022-04-30,1299890573.0
country/SVN,2022-04-30,778015615.0
country/SLB,2022-04-30,29844171.0
country/SOM,2022-04-30,207230759.0
country/ZAF,2022-04-30,4709853114.0
country/SSD,2022-04-30,341186048.0
country/ESP,2022-04-30,11966905120.0
country/LKA,2022-04-30,950213975.0
country/KNA,2022-04-30,20483871.0
country/LCA,2022-04-30,35077715.0
country/VCT,2022-04-30,19125742.0
country/SDN,2022-04-30,798153734.0
country/SUR,2022-04-30,211636959.0
country/SWE,2022-04-30,6494920218.0
country/CHE,2022-04-30,8819376987.0
country/SYR,2022-04-30,560584793.0
country/TJK,2022-04-30,248854600.0
country/TZA,2022-04-30,571784822.0
country/THA,2022-04-30,4048728080.0
country/TLS,2022-04-30,32264357.0
country/TGO,2022-04-30,211031810.0
country/TON,2022-04-30,19807506.0
country/TTO,2022-04-30,771417107.0
country/TUN,2022-04-30,795325463.0
country/TKM,2022-04-30,298505445.0
country/TUV,2022-04-30,4084851.0
country/TUR,2022-04-30,5536388310.0
country/UGA,2022-04-30,519062524.0
country/UKR,2022-04-30,3237663227.0
country/ARE,2022-04-30,2783587668.0
country/GBR,2022-04-30,29451960644.0
country/USA,2022-04-30,114861888878.0
country/URY,2022-04-30,704532977.0
country/UZB,2022-04-30,791090390.0
country/VUT,2022-04-30,39077971.0
country/VEN,2022-04-30,6111296399.0
country/VNM,2022-04-30,1419986491.0
country/YEM,2022-04-30,699018900.0
country/ZMB,2022-04-30,1406698221.0
country/ZWE,2022-04-30,1016017051.0
Earth,2022-04-30,660698906854.0
country/AFG,1984-09-30,26703000.0
country/DZA,1984-09-30,128640000.0
country/ATG,1984-09-30,0.0
country/ARG,1984-09-30,318370000.0
country/AUS,1984-09-30,470545000.0
country/AUT,1984-09-30,179045000.0
country/BHS,1984-09-30,10230000.0
country/BHR,1984-09-30,6200000.0
country/BGD,1984-09-30,47120000.0
country/BRB,1984-09-30,8039000.0
country/BEL,1984-09-30,485246000.0
country/BLZ,1984-09-30,0.0
country/BEN,1984-09-30,9409000.0
country/BTN,1984-09-30,0.0
country/BOL,1984-09-30,26703000.0
country/BWA,1984-09-30,4359000.0
country/BRA,1984-09-30,358670000.0
country/BFA,1984-09-30,9409000.0
country/BDI,1984-09-30,13697000.0
country/CPV,1984-09-30,620000.0
country/KHM,1984-09-30,15417000.0
country/CMR,1984-09-30,24462600.0
country/CAN,1984-09-30,779290000.0
country/CAF,1984-09-30,9325000.0
country/TCD,1984-09-30,9409000.0
country/CHL,1984-09-30,121924000.0
country/CHN,1984-09-30,236800000.0
country/COL,1984-09-30,114271000.0
country/COM,1984-09-30,716400.0
country/COD,1984-09-30,86309000.0
country/COG,1984-09-30,9719000.0
country/CRI,1984-09-30,23726000.0
country/CIV,1984-09-30,37828000.0
country/CYP,1984-09-30,19438000.0
country/DNK,1984-09-30,178864000.0
country/DJI,1984-09-30,1178000.0
country/DMA,1984-09-30,592400.0
country/DOM,1984-09-30,31585000.0
country/ECU,1984-09-30,32929000.0
country/EGY,1984-09-30,135924000.0
country/SLV,1984-09-30,24985000.0
country/GNQ,1984-09-30,5812000.0
country/SWZ,1984-09-30,6432000.0
country/ETH,1984-09-30,11160000.0
country/FJI,1984-09-30,6958000.0
country/FIN,1984-09-30,142690000.0
country/FRA,1984-09-30,1079870000.0
country/GAB,1984-09-30,14091000.0
country/GMB,1984-09-30,5121000.0
country/DEU,1984-09-30,1210760000.0
country/GHA,1984-09-30,62983000.0
country/GRC,1984-09-30,103544000.0
country/GRD,1984-09-30,930000.0
country/GTM,1984-09-30,27678000.0
country/GIN,1984-09-30,17604000.0
country/GNB,1984-09-30,1212400.0
country/GUY,1984-09-30,14530000.0
country/HTI,1984-09-30,13697000.0
country/HND,1984-09-30,19057000.0
country/HUN,1984-09-30,0.0
country/ISL,1984-09-30,16409000.0
country/IND,1984-09-30,681170000.0
country/IDN,1984-09-30,238956000.0
country/IRN,1984-09-30,244056000.0
country/IRQ,1984-09-30,68463800.0
country/IRL,1984-09-30,87263000.0
country/ISR,1984-09-30,106360000.0
country/ITA,1984-09-30,702400000.0
country/JAM,1984-09-30,40613000.0
country/JPN,1984-09-30,891690000.0
country/JOR,1984-09-30,16887000.0
country/KEN,1984-09-30,36990000.0
country/KOR,1984-09-30,72911200.0
country/KWT,1984-09-30,26744400.0
country/LAO,1984-09-30,9409000.0
country/LBN,1984-09-30,4393200.0
country/LSO,1984-09-30,3739000.0
country/LBR,1984-09-30,21007000.0
country/LBY,1984-09-30,58771200.0
country/LUX,1984-09-30,16955000.0
country/MDG,1984-09-30,19270000.0
country/MWI,1984-09-30,10975000.0
country/MYS,1984-09-30,139048000.0
country/MDV,1984-09-30,282400.0
country/MLI,1984-09-30,15912000.0
country/MLT,1984-09-30,11288000.0
country/MRT,1984-09-30,9719000.0
country/MUS,1984-09-30,15744000.0
country/MEX,1984-09-30,290020000.0
