dcid,year,principalRepaymentsPPGCurrentUSD
country/BFA,1997,31203405.1
country/BFA,1998,32385713.0
country/BFA,2001,18357359.7
country/BFA,2012,43909778.7
country/BFA,2015,75289798.7
country/BFA,2018,83665554.5
country/BFA,2022,237583624.9
country/BFA,2024,303589570.4
country/BFA,2025,328931228.4
country/BFA,2026,346776953.8
country/BFA,2028,379831801.9
country/BDI,1985,12401935.8
country/BDI,1995,17748726.2
country/BDI,1996,12658909.2
country/BDI,2002,14010539.0
country/BDI,2005,27177212.0
country/BDI,2006,13672302.1
country/BDI,2007,11291304.9
country/BDI,2011,5822401.3
country/BDI,2012,10234746.9
country/BDI,1973,666731.0
country/BDI,1974,742504.7
country/BDI,1983,3569279.9
country/BDI,1986,16428825.6
country/BDI,1994,21744335.1
country/BDI,1997,12495029.9
country/BDI,2000,9434516.1
country/BDI,2001,12144427.2
country/BDI,2013,18237138.9
country/BDI,2017,8049168.3
country/BDI,2019,18299478.3
country/BDI,2020,10289174.6
country/BDI,2023,56136936.0
country/BDI,2014,9643125.2
country/BDI,2015,5723735.0
country/BDI,2016,11542916.0
country/BDI,2027,56835324.3
country/CPV,1981,95140.3
country/CPV,1983,974014.7
country/CPV,1990,3730156.6
country/CPV,1991,5173218.8
country/CPV,1997,10377255.4
country/CPV,2005,28845034.2
country/CPV,2007,22777426.0
country/CPV,2013,21632444.6
country/CPV,2014,24095481.8
country/CPV,2024,130060713.0
country/CPV,2028,122039326.4
country/CPV,1988,4205537.0
country/CPV,1995,5614520.1
country/CPV,1998,15743229.0
country/CPV,2000,11317450.7
country/CPV,2001,9996358.3
country/CPV,2003,14173134.8
country/CPV,2017,32615569.8
country/CPV,2019,42082553.2
country/CPV,2027,120219102.1
country/KHM,2003,3195484.3
country/KHM,2009,26066546.3
country/KHM,2011,40933711.2
country/KHM,2012,47101754.5
country/KHM,2017,140449987.6
country/KHM,1997,4188000.0
country/KHM,1998,4192000.0
country/KHM,2001,921060.0
country/KHM,2002,1282400.9
country/KHM,2005,7712549.3
country/KHM,2008,19425841.5
country/KHM,2010,33396100.2
country/KHM,2014,77082544.5
country/KHM,2016,113679508.6
country/KHM,2026,566739370.6
country/KHM,2028,637936116.6
country/KHM,2022,455678962.0
country/KHM,2023,495731769.2
country/KHM,2025,610568356.6
country/KHM,2027,596950286.5
country/CMR,1975,20844842.7
country/CMR,1978,63385760.9
country/CMR,1979,74688179.0
country/CMR,1983,112938967.4
country/CMR,1987,192532302.8
country/CMR,1989,72447661.1
country/CMR,1992,91393779.8
country/CMR,2001,96932381.0
country/CMR,2003,179835070.1
country/CMR,2004,289997244.2
country/CMR,2005,395831533.0
country/CMR,2016,277114332.8
country/CMR,2025,1963008398.4
country/CMR,2026,1207355437.0
country/CMR,2028,1005896476.1
country/CAF,1970,2435504.9
country/CAF,1971,1624873.6
country/CAF,1972,1114753.7
country/CAF,1989,8166555.1
country/CAF,1992,5146692.7
country/CAF,1999,7053927.7
country/CAF,2000,7451472.5
country/CAF,2002,307408.1
country/CAF,2003,124123.3
country/CAF,2005,712077.9
country/CAF,2009,8374638.7
country/CAF,2014,3787327.1
country/CAF,2015,859506.7
country/CAF,2017,15262789.0
country/CAF,2021,5394995.9
country/CAF,2026,25727182.5
country/TCD,1974,2612027.2
country/TCD,1975,5072792.0
country/TCD,1976,3663084.0
country/TCD,1980,2623948.8
country/TCD,1983,183250.3
country/TCD,1984,3034018.7
country/TCD,1985,10283939.4
country/TCD,1987,2351796.6
country/TCD,1992,3875109.3
country/TCD,2004,14510772.2
country/TCD,2011,56890942.0
country/TCD,2016,106558964.4
country/TCD,2017,128280961.6
country/TCD,2025,363034918.8
country/TCD,2026,322451147.2
country/TCD,2027,359053484.8
country/TCD,2028,254019282.6
country/CHN,1986,1876569874.6
country/CHN,1987,1955858024.1
country/CHN,1988,2284959356.1
country/CHN,1998,8181973686.9
country/CHN,2003,10679132804.6
country/CHN,2017,15445101944.4
country/CHN,2020,24177826032.7
country/CHN,2023,29327044481.5
country/CHN,2026,24762166963.6
country/COL,1971,95129456.3
country/COL,1974,202220212.0
country/COL,1983,409905842.2
country/COL,1985,657578684.5
country/COL,1998,1937991641.9
country/COL,2005,4738315864.2
country/COL,2009,1803170911.8
country/COL,2012,2784157157.8
country/COL,2013,2007632773.7
country/COL,2018,6753908770.5
country/COL,2021,9538460362.2
country/COL,2022,2176384988.5
country/COL,2023,7591181267.6
country/COL,2024,5025204865.4
country/COL,2025,3931310002.5
country/COL,2028,3748407679.2
country/COM,1972,55687.5
country/COM,1974,111810.2
country/COM,1981,75880.1
country/COM,1982,133129.3
country/COM,1985,350462.3
country/COM,1991,5848678.3
country/COM,2001,1343129.9
country/COM,2002,3449785.6
country/COM,2004,1998053.7
country/COM,2011,2214224.1
country/COM,2015,6895212.8
country/COM,2017,1863427.8
country/COM,2022,10312904.2
country/COM,2024,31077424.3
country/COM,2025,33080727.6
country/CMR,1970,4646235.2
country/CMR,1973,14890105.7
country/CMR,1981,89025316.5
country/CMR,1985,145805530.9
country/CMR,1988,151124893.2
country/CMR,1994,155354030.7
country/CMR,1995,182608573.0
country/CMR,1996,228832024.3
country/CMR,2008,148865130.7
country/CMR,2010,121739398.1
country/CMR,2013,117724327.2
country/CMR,2015,270071004.3
country/CMR,2022,1404971935.3
country/CMR,2023,1291373732.1
country/CMR,2027,1073192527.6
country/CAF,1973,3495781.8
country/CAF,1975,3558935.9
country/CAF,1976,1887247.2
country/CAF,1981,2671789.3
country/CAF,1984,8356855.7
country/CAF,1985,4870983.0
country/CAF,1987,9301737.6
country/CAF,1994,7681011.5
country/CAF,1997,4093231.5
country/CAF,2006,46988995.6
country/CAF,2008,12476708.5
country/CAF,2010,1842995.2
country/CAF,2012,2375415.7
country/CAF,2013,3557847.4
country/CAF,2018,10345681.9
country/CAF,2020,3981388.9
country/CAF,2025,23255258.3
country/TCD,1973,2821096.9
country/TCD,1978,2456860.3
country/TCD,1981,558000.0
country/TCD,1982,1042802.2
country/TCD,1986,3330603.1
country/TCD,1990,3215081.1
country/TCD,1991,4058681.1
country/TCD,1993,6282742.9
country/TCD,1994,7662382.6
country/TCD,1995,3273452.7
country/TCD,1998,8486420.2
country/TCD,2005,24091837.8
country/TCD,2006,24000746.0
country/TCD,2007,33825346.9
country/TCD,2010,45222319.9
country/TCD,2015,42182387.9
country/TCD,2020,60801020.2
country/TCD,2021,100453812.6
country/TCD,2024,361392422.9
country/CHN,1981,1204458460.6
country/CHN,1983,1389316005.1
country/CHN,1985,1299859854.3
country/CHN,1989,2364558849.3
country/CHN,1990,3318938886.0
country/CHN,1992,5213029119.7
country/CHN,1993,6727042359.1
country/CHN,1994,6343425261.8
country/CHN,2001,8945146899.3
country/CHN,2004,4927284472.1
country/CHN,2006,6531449587.6
country/CHN,2007,5354285770.8
country/CHN,2013,10089092867.7
country/CHN,2021,32777376270.2
country/CHN,2022,35051991924.6
country/CHN,2024,38062227724.7
country/CMR,1971,7501205.3
country/CMR,1976,20512739.1
country/CMR,1982,145862232.9
country/CMR,1984,119322516.7
country/CMR,1986,182007643.0
country/CMR,1991,126043908.5
country/CMR,1997,240668026.7
country/CMR,1998,248975468.9
country/CMR,1999,165365805.6
country/CMR,2002,145178471.5
country/CMR,2006,182077912.9
country/CMR,2011,133060674.5
country/CMR,2012,80418930.2
country/CMR,2014,347146843.1
country/CMR,2018,372309960.5
country/CAF,1974,3477270.9
country/CAF,1977,3103153.3
country/CAF,1978,2553726.2
country/CAF,1980,1005970.6
country/CAF,1991,3521163.1
country/CAF,1995,2580475.5
country/CAF,2004,5165262.6
country/CAF,2016,4296284.4
country/CAF,2027,25789039.9
country/CAF,2028,26919474.7
country/TCD,1972,3580960.9
country/TCD,1979,1824061.8
country/TCD,2000,13161412.9
country/TCD,2003,15795195.3
country/TCD,2008,104673879.7
country/TCD,2009,41728044.4
country/TCD,2012,58469549.7
country/TCD,2013,94036367.2
country/TCD,2019,29751121.2
country/TCD,2023,357547652.4
country/CHN,1984,1288230098.5
country/CHN,1995,9069521750.7
country/CHN,1997,11319545965.1
country/CHN,2005,6666431458.4
country/CHN,2009,6489914957.8
country/CHN,2015,32251719210.7
country/CHN,2016,16474009801.4
country/CHN,2018,15291168064.5
country/CHN,2027,7591754302.7
country/COL,1976,154511799.8
country/COL,1979,419597644.2
country/COL,1986,960973064.2
country/COL,1987,1267151810.1
country/COL,1989,1730506009.7
country/COL,1992,2378027645.5
country/COL,1993,1915279161.2
country/COL,1996,2035889664.3
country/COL,1999,3134016361.8
country/COL,2003,3927349646.2
country/COL,2004,2097192247.5
country/COL,2016,2742038864.2
country/COM,1973,84942.8
country/COM,1980,1895.9
country/COM,1984,994212.5
country/COM,1986,1058483.0
country/COM,1996,785017.6
country/COM,1997,1664746.6
country/COM,1998,1702940.3
country/COM,2007,12820752.1
country/COM,2008,8135672.7
country/COM,2018,1978104.1
country/COM,2020,1813562.5
country/COM,2026,36217760.6
country/COM,2028,16817928.0
country/CMR,1972,9032273.2
country/CMR,1974,14075880.8
country/CMR,1977,28978254.0
country/CMR,1980,81972153.8
country/CMR,1990,137718362.9
country/CMR,1993,170008451.0
country/CMR,2000,166328842.7
country/CMR,2007,180243418.9
country/CMR,2009,114620274.4
country/CMR,2017,175330869.3
country/CMR,2019,436126901.5
country/CMR,2020,513860052.8
country/CMR,2021,463032119.7
country/CMR,2024,1231025754.7
country/COL,1970,94053668.7
country/COL,1973,137968917.9
country/COL,1975,131446399.3
country/COL,1977,186637078.3
country/COL,1978,230685185.8
country/COL,1980,264831526.3
country/COL,1982,321578346.4
country/COL,1984,560503026.0
country/COL,1994,2339702269.0
country/COL,1997,1852020064.9
country/COL,2001,2741889783.9
country/COL,2006,3475661923.7
country/COL,2007,2872489670.1
country/COL,2008,2211715599.7
country/COL,2015,1754401291.8
country/COL,2026,6937603447.3
country/COM,1975,409833.7
country/COM,1976,407017.3
country/COM,1977,250415.4
country/COM,1987,246297.6
country/COM,1989,169219.5
country/COM,1990,243263.7
country/COM,1992,3173132.5
country/COM,1993,1522861.5
country/COM,1994,1986824.6
country/COM,1995,405000.0
country/COM,2006,2351167.1
country/COM,2009,7211407.3
country/COM,2013,453690.4
country/COM,2016,4407149.2
country/COM,2023,26627154.3
country/COM,2027,20092276.2
country/CAF,1979,286218.2
country/CAF,1982,2373710.5
country/CAF,1983,10852475.3
country/CAF,1986,6319390.0
country/CAF,1988,4812394.0
country/CAF,1990,7598113.8
country/CAF,1993,1727921.5
country/CAF,1996,1830796.4
country/CAF,1998,12277310.0
country/CAF,2001,9060494.8
country/CAF,2007,42385717.7
country/CAF,2011,850878.3
country/CAF,2019,14556573.4
country/CAF,2022,16479206.7
country/CAF,2023,18593102.2
country/CAF,2024,18608808.4
country/TCD,1970,2543102.1
country/TCD,1971,5834845.6
country/TCD,1977,2830326.1
country/TCD,1988,3110781.8
country/TCD,1989,3357398.0
country/TCD,1996,9864466.2
country/TCD,1997,10938519.5
country/TCD,1999,13406723.4
country/TCD,2001,12338323.1
country/TCD,2002,9257357.0
country/TCD,2014,538815369.5
country/TCD,2018,42706863.8
country/TCD,2022,451348611.9
country/CHN,1982,1302172185.8
country/CHN,1991,4122736405.5
country/CHN,1996,10259677910.4
country/CHN,1999,10759641640.2
country/CHN,2000,10236540704.6
country/CHN,2002,9939770835.2
country/CHN,2008,6765072669.7
country/CHN,2010,11978482011.3
country/CHN,2011,12225790042.9
country/CHN,2012,8173443275.8
country/CHN,2014,12864032290.6
country/CHN,2019,20631932835.1
country/CHN,2025,16707548535.6
country/CHN,2028,10058380664.4
country/COL,1972,103712492.5
country/COL,1981,280018072.2
country/COL,1988,1655936185.5
country/COL,1990,1877232390.6
country/COL,1991,1925738130.3
country/COL,1995,2217958733.3
country/COL,2000,2092461094.5
country/COL,2002,3332574061.0
country/COL,2010,2318217879.3
country/COL,2011,2351284537.7
country/COL,2014,2622475846.3
country/COL,2017,6651432711.8
country/COL,2019,4673509679.8
country/COL,2020,3596022844.9
country/COL,2027,7192717385.2
country/COM,1970,47431.3
country/COM,1971,45058.9
country/COM,1978,81855.8
country/COM,1983,302104.2
country/COM,1988,117129.0
country/COM,1999,2227351.8
country/COM,2000,1210521.9
country/COM,2003,1758382.0
country/COM,2005,2578111.2
country/COM,2010,3121072.7
country/COM,2012,5505900.2
country/COM,2014,596457.6
country/COM,2019,1808432.0
country/COM,2021,1924200.6
country/COD,1971,29939273.2
country/COD,1974,126650974.0
country/COD,1977,45721668.7
country/COD,1980,191960485.9
country/COD,1987,81407710.5
country/COD,1990,48778067.1
country/COD,1991,41305172.3
country/COD,1992,29083778.4
country/COD,1993,4430365.7
country/COD,1999,0.0
country/COD,2001,0.0
country/COD,2011,132412717.7
country/COD,2012,108785673.5
country/COD,2018,180026623.1
country/COD,2020,145921645.0
country/COD,2027,465833089.3
country/COD,1972,44177040.1
country/COD,1976,37796247.3
country/COD,1979,82703834.5
country/COD,1985,104973669.7
country/COD,1996,0.0
country/COD,2004,58516847.1
country/COD,2005,111911065.4
country/COD,2008,169449506.7
country/COD,2010,88572341.4
country/COD,2014,263002118.6
country/COD,2015,222270850.5
country/COD,2016,271174602.3
country/COD,2017,182206904.9
country/COD,2023,631666330.6
country/COD,2025,405660949.5
country/COD,2026,422247922.1
country/COG,1970,5818960.3
country/COG,1989,207035281.9
country/COG,1992,116807557.4
country/COG,1994,301941516.3
country/COG,1996,154652518.9
country/COG,2003,28118038.2
country/COG,2008,106845914.7
country/COG,2009,114033268.5
country/COG,2014,440020580.3
country/COG,2015,368372140.5
country/COG,2021,388515387.8
country/COG,1983,216561677.3
country/COG,1991,220827198.3
country/COG,1997,67454865.2
country/COG,2000,6486623.6
country/COG,2005,65350247.5
country/COG,2006,49667286.3
country/COG,2010,94660601.4
country/COG,2025,510526270.9
country/COG,2026,490392488.6
country/CRI,1975,44202561.6
country/CRI,1976,45372109.5
country/CRI,1978,181691793.5
country/CRI,1983,118089620.6
country/CRI,1985,144467692.9
country/CRI,1987,76069475.1
country/CRI,1988,115925621.5
country/CRI,1990,271903411.2
country/CRI,1994,228509440.5
country/CRI,1995,339439412.9
country/CRI,1998,317692477.2
country/CRI,2006,276090409.0
country/CRI,2011,640710533.0
country/CRI,2012,741955115.3
country/CRI,2017,484630328.2
country/CRI,2019,1073065181.9
country/CRI,2020,1311041377.3
country/CRI,1970,22436508.0
country/CRI,1971,22699934.1
country/CRI,1984,115663678.0
country/CRI,1986,202689104.3
country/CRI,1991,176430271.6
country/CRI,1999,344016721.5
country/CRI,2001,400909021.8
country/CRI,2003,512627865.8
country/CRI,2004,489441750.5
country/CRI,2005,365447185.5
country/CRI,2009,573193343.5
country/CRI,2014,755913636.2
country/CRI,2028,520075173.0
country/CRI,2023,1421750467.8
country/CRI,2024,285783988.6
country/CRI,2027,754098413.6
country/CIV,1978,221998779.6
country/CIV,1979,351190895.6
country/CIV,1980,517403924.9
country/CIV,1983,378146611.1
country/CIV,1985,158613808.7
country/CIV,1989,206438323.1
country/CIV,1994,397108101.7
country/CIV,1999,533411416.5
country/CIV,2000,328814214.7
country/CIV,2009,532695001.3
country/CIV,2015,134473608.4
country/CIV,2018,702050101.3
country/CIV,2019,1945688010.4
country/CIV,2020,1225944047.0
country/CIV,2028,1983469523.0
country/COD,1978,50751072.6
country/COD,1982,59246322.8
country/COD,1986,104012495.8
country/COD,1988,79982007.7
country/COD,1989,97581228.5
country/COD,1994,429618.8
country/COD,2000,0.0
country/COD,2003,55588713.0
country/COD,2007,154927584.4
country/COD,2009,225246192.1
country/COD,2021,242183575.1
country/COD,2024,478211662.3
country/COD,2028,475237286.0
country/COG,1973,7414593.7
country/COG,1974,12740572.3
country/COG,1977,21901487.7
country/COG,1979,41810711.8
country/COG,1980,33622055.8
country/COG,1984,243357466.8
country/COG,1985,252552889.7
country/COG,1987,312097253.7
country/COG,1990,349772552.4
country/COG,1998,10191295.7
country/COG,1999,911436.9
country/COG,2002,11452911.2
country/COG,2004,110746270.9
country/COG,2013,393948112.1
country/COG,2017,369900906.0
country/COG,2018,390416146.8
country/COG,2019,456497978.8
country/COG,2020,618308096.6
country/COG,2023,598973625.5
country/COG,2024,519442399.1
country/COG,2027,471131407.5
country/COD,1970,25430631.8
country/COD,1973,63831173.9
country/COD,1975,89150616.4
country/COD,1981,84045479.6
country/COD,1983,84199358.3
country/COD,1984,102188825.9
country/COD,2002,248346416.6
country/COD,2006,141728063.6
country/COD,2013,240933524.8
country/COD,2019,183868393.1
country/COD,2022,693572999.9
country/CRI,1972,26209704.2
country/CRI,1974,36223855.6
country/CRI,1977,57576825.8
country/CRI,1979,180019580.2
country/CRI,1980,84480508.5
country/CRI,1981,91946495.2
country/CRI,1982,66409968.6
country/CRI,1992,292337821.8
country/CRI,1993,293730926.8
country/CRI,2000,374967371.7
country/CRI,2008,846719978.5
country/CRI,2013,1126044608.1
country/CRI,2015,318312669.0
country/CRI,2016,443555789.3
country/CRI,2018,897319862.7
country/CRI,2025,924968639.9
country/COG,1971,5537842.8
country/COG,1972,4730316.1
country/COG,1975,19899176.2
country/COG,1976,11522515.7
country/COG,1978,12272403.3
country/COG,1981,107517872.0
country/COG,1982,125786805.2
country/COG,1986,223324780.3
country/COG,1988,299766614.3
country/COG,1993,102942557.7
country/COG,1995,85463871.0
country/COG,2001,55645308.6
country/COG,2007,73601206.7
country/COG,2011,107729596.2
country/COG,2012,141307329.9
country/COG,2016,319961172.9
country/COG,2022,717910151.6
country/COG,2028,391784092.3
country/CIV,1971,29493125.5
country/CIV,1975,74393950.5
country/CIV,1984,215319510.8
country/CIV,1986,272221031.1
country/CIV,1988,250696301.1
country/CIV,1992,314846194.3
country/CIV,1995,514089790.2
country/CIV,1997,331518035.4
country/CIV,2004,73430143.1
country/CIV,2007,111923946.7
country/CIV,2021,602486111.5
country/CIV,2023,1635270134.4
country/CIV,2024,1760448521.8
country/CIV,2025,2069780360.6
country/CIV,2026,1785794431.6
country/CRI,1973,33061560.9
country/CRI,1989,148367080.5
country/CRI,1996,344985656.4
country/CRI,1997,343456611.6
country/CRI,2002,378525580.9
country/CRI,2007,266548455.1
country/CRI,2010,341789518.7
country/CRI,2021,912830722.5
country/CRI,2022,434411246.6
country/CRI,2026,480169298.0
country/CIV,1973,44328401.1
country/CIV,1991,328888790.1
country/CIV,1996,520579505.1
country/CIV,1998,380087294.7
country/CIV,2003,208995633.9
country/CIV,2005,20604099.9
country/CIV,2008,586296125.7
country/CIV,2012,248901760.8
country/CIV,1970,28471506.2
country/CIV,1972,39412050.4
country/CIV,1974,75004691.0
country/CIV,1976,113235455.9
country/CIV,1977,166386381.8
country/CIV,1981,528273683.1
country/CIV,1982,481535921.0
country/CIV,1987,253521006.9
country/CIV,1990,318826196.8
country/CIV,1993,346196454.8
country/CIV,2001,191103621.4
country/CIV,2002,321461851.6
country/CIV,2006,14034616.6
country/CIV,2010,438384281.1
country/CIV,2011,347590897.8
country/CIV,2013,341132903.3
country/CIV,2014,270927279.4
country/CIV,2016,725890435.7
country/CIV,2017,1418019806.1
country/CIV,2022,1446207470.2
country/CIV,2027,1776558756.1
country/DJI,1973,221253.2
country/DJI,1974,231083.1
country/DJI,1979,1284737.9
country/DJI,1983,3052506.7
country/DJI,1985,1904946.8
country/DJI,1986,4231688.4
country/DJI,1988,9519467.1
country/DJI,1990,8906715.7
country/DJI,1997,5046525.7
country/DJI,1998,3270260.5
country/DJI,2002,7624033.0
country/DJI,2004,13351545.5
country/DJI,2007,16924759.8
country/DJI,2009,19949699.9
country/DJI,2014,26816205.2
country/DJI,2015,27528638.6
country/DJI,2017,25072467.7
country/DJI,2021,23202986.8
country/DJI,2023,182479741.3
country/DJI,2027,195672264.9
country/DJI,1971,118466.8
country/DJI,1987,9305544.3
country/DJI,1991,8218625.1
country/DJI,1992,7660873.9
country/DJI,1999,6323797.2
country/DJI,2000,8401333.9
country/DJI,2001,6836128.5
country/DJI,2008,17625538.3
country/DJI,2010,22423013.4
country/DJI,2011,26573667.4
country/DJI,2020,28149459.7
country/DJI,1970,86252.5
country/DJI,1977,725476.4
country/DJI,1978,980356.6
country/DJI,1981,2178685.4
country/DJI,1989,9109537.7
country/DJI,1994,8896840.5
country/DJI,1995,9165860.0
country/DJI,1996,8786448.5
country/DJI,2005,11094500.2
country/DJI,2006,16909825.1
country/DJI,2016,30991508.9
country/DJI,2022,171921929.7
country/DJI,2025,202585151.3
country/DJI,2028,197012929.4
country/DJI,1972,163765.3
country/DJI,1975,428917.0
country/DJI,1976,683372.8
country/DJI,1980,2243501.5
country/DJI,1982,2449897.6
country/DJI,1984,2991398.5
country/DJI,1993,6440874.8
country/DJI,2003,10900343.3
country/DJI,2012,30218316.8
country/DJI,2013,30768881.3
country/DJI,2018,27189644.2
country/DJI,2019,34723610.8
country/DJI,2024,207873588.7
country/DJI,2026,203381145.7
country/DMA,1992,3010543.5
country/DMA,1998,7179344.2
country/DMA,2007,10505745.7
country/DMA,2009,14763310.9
country/DMA,2010,9835524.8
country/DMA,2012,7848885.7
country/DMA,1981,391382.3
country/DMA,1984,911545.8
country/DMA,1986,1569917.0
country/DMA,1987,1859125.4
country/DMA,1993,4370261.5
country/DMA,1996,3132336.6
country/DMA,2004,7612141.3
country/DMA,2005,9613084.6
country/DMA,2011,9436955.6
country/DMA,2015,14308102.3
country/DMA,2016,18059245.7
country/DMA,2018,23473363.5
country/DMA,2019,18539080.5
country/DMA,2026,33618328.8
country/DMA,1988,2153475.6
country/DMA,1989,2876187.5
country/DMA,1991,2945925.3
country/DMA,1995,3745594.3
country/DMA,1999,7447694.1
country/DMA,2000,6834338.5
country/DMA,2001,7573623.1
country/DMA,2008,12923281.9
country/DMA,2013,9925391.2
country/DMA,2020,19108180.9
country/DMA,2023,22890021.5
country/DMA,1982,531013.7
country/DMA,1983,338666.9
country/DMA,1985,1084258.8
country/DMA,1990,2773863.2
country/DMA,1994,4560845.3
country/DMA,1997,6398004.4
country/DMA,2002,6074240.8
country/DMA,2003,6890294.3
country/DMA,2006,10561230.3
country/DMA,2014,11513747.8
country/DMA,2017,19531734.2
country/DMA,2021,10588087.0
country/DMA,2022,21970817.0
country/DMA,2024,38663018.9
country/DMA,2025,17943911.4
country/DMA,2027,18099744.7
country/DMA,2028,15898848.1
country/DOM,1970,8026000.0
country/DOM,1972,10619000.0
country/DOM,1982,151012435.1
country/DOM,1984,66859238.3
country/DOM,1994,277478818.2
country/DOM,1999,180286684.0
country/DOM,2010,798440355.0
country/DOM,2018,752279100.3
country/DOM,2024,1533565413.8
country/DOM,2026,3685705321.4
country/DOM,2027,2734874666.9
country/DOM,2028,1932408053.9
country/DOM,1975,33470000.0
country/DOM,1979,193862949.9
country/DOM,1980,64748216.1
country/DOM,1985,75993714.8
country/DOM,1986,103032651.6
country/DOM,1989,104666499.7
country/DOM,1992,173268307.7
country/DOM,1996,182518511.6
country/DOM,1997,194017123.3
country/DOM,2000,263552176.6
country/DOM,2003,425881740.6
country/DOM,2004,473895998.3
country/DOM,2005,461967099.1
country/DOM,2006,934559991.6
country/DOM,2011,788490620.8
country/DOM,2013,931671607.0
country/DOM,1973,21722000.0
country/DOM,1976,39760000.0
country/DOM,1977,48561828.0
country/DOM,1983,117908396.8
country/DOM,1987,88813135.8
country/DOM,1988,100835494.3
country/DOM,1990,88207699.7
country/DOM,1993,158974265.2
country/DOM,1995,190643769.8
country/DOM,2002,368950473.7
country/DOM,2007,944479297.6
country/DOM,2008,822876098.9
country/DOM,2009,895745279.8
country/DOM,2014,1226431495.3
country/DOM,2015,2756656479.0
country/DOM,2016,861073075.6
country/DOM,2017,807600529.0
country/DOM,2020,2789280852.8
country/DOM,2021,548880430.6
country/DOM,2022,626546511.5
country/DOM,2023,616476329.4
country/DOM,2025,1965603065.5
country/DOM,1971,14024000.0
country/DOM,1974,24341000.0
country/DOM,1978,50749137.5
country/DOM,1981,112325317.7
country/DOM,1991,105116861.8
country/DOM,1998,160111040.0
country/DOM,2001,383229997.7
country/DOM,2012,625202609.9
country/DOM,2019,679480696.7
country/ECU,1970,18813163.0
country/ECU,1971,26895633.6
country/ECU,1977,76357580.2
country/ECU,1983,172102351.4
country/ECU,1984,206517029.9
country/ECU,1985,239576454.8
country/ECU,1986,335272788.0
country/ECU,1987,345020171.0
country/ECU,1989,427550190.8
country/ECU,1992,446532717.8
country/ECU,1994,474984039.5
country/ECU,1997,1122234283.9
country/ECU,2002,955913830.5
country/ECU,2004,1310169093.9
country/ECU,2008,963307669.4
country/ECU,2012,1198651451.7
country/ECU,2014,1281521569.6
country/ECU,2021,1749535749.9
country/ECU,2025,1619549194.4
country/ECU,2027,2070560045.1
country/ECU,1974,79472133.3
country/ECU,1978,113922040.6
country/ECU,1981,486464201.1
country/ECU,1990,476467593.7
country/ECU,2005,922422486.9
country/ECU,2007,1028086739.8
country/ECU,2011,1060271519.8
country/ECU,2016,1858233581.2
country/ECU,2019,3917097719.4
country/ECU,1972,28898764.7
country/ECU,1975,35482689.5
country/ECU,1996,496571880.0
country/ECU,1998,671815082.9
country/ECU,2003,739416265.9
country/ECU,2009,6618001646.7
country/ECU,2018,3202489449.9
country/ECU,2020,3812741262.6
country/ECU,2023,2405303053.9
country/ECU,2026,2159128502.3
country/ECU,2028,2087274001.1
country/ECU,1973,32615594.9
country/ECU,1976,59609354.4
country/ECU,1979,744094351.1
country/ECU,1980,276900453.9
country/ECU,1982,550188691.9
country/ECU,1988,543304669.4
country/ECU,1991,479776939.1
country/ECU,1993,467669876.5
country/ECU,1995,715742070.3
country/ECU,1999,638108038.2
country/ECU,2000,1280678321.6
country/ECU,2001,564204164.6
country/ECU,2006,1585527104.2
country/ECU,2010,636252775.9
country/ECU,2013,1191211467.4
country/ECU,2015,2115726527.0
country/ECU,2017,2904692005.4
country/ECU,2022,1592784522.5
country/ECU,2024,1814727974.4
country/EGY,1971,186575473.9
country/EGY,1973,386626131.2
country/EGY,1975,191885499.7
country/EGY,1985,1252957879.1
country/EGY,1987,670916254.6
country/EGY,1988,1056207143.0
country/EGY,1989,1292443329.8
country/EGY,1996,842347324.1
country/EGY,1997,997037797.5
country/EGY,2002,1144164739.1
country/EGY,2018,5679796501.8
country/EGY,2019,4685721984.6
country/EGY,2026,7879525194.8
country/EGY,2028,3590379898.3
country/EGY,1970,224722711.1
country/EGY,1974,242947304.6
country/EGY,1976,169135400.5
country/EGY,1979,188359849.1
country/EGY,1982,520462127.5
country/EGY,1984,839595264.0
country/EGY,1993,851033838.4
country/EGY,1994,732171302.1
country/EGY,1998,930977192.2
country/EGY,2000,985059813.5
country/EGY,2003,1657815924.7
country/EGY,2010,2139067001.5
country/EGY,2014,5118574580.6
country/EGY,2017,4574580057.8
country/EGY,2023,8973545656.7
country/EGY,1972,275285299.6
country/EGY,1978,186403950.8
country/EGY,1981,415172055.8
country/EGY,1983,604383287.5
country/EGY,1986,1093128417.1
country/EGY,1990,1571553112.4
country/EGY,1991,1452922152.7
country/EGY,1992,1158771598.3
country/EGY,1995,831729170.7
country/EGY,1999,963962120.0
country/EGY,2004,1319617450.0
country/EGY,2005,1577159092.0
country/EGY,2006,1629765702.5
country/EGY,2008,2335028619.1
country/EGY,2009,2034764542.8
country/EGY,2013,2589114621.1
country/EGY,2015,2858935944.9
country/EGY,2016,5102183590.3
country/EGY,2020,9455743414.2
country/EGY,2025,5278510102.2
country/EGY,1977,183014068.5
country/EGY,1980,296715193.0
country/EGY,2001,997567291.3
country/EGY,2007,1907773940.0
country/EGY,2011,2787542754.4
country/EGY,2012,2230849278.0
country/EGY,2021,13394635184.9
country/EGY,2022,11783825039.3
country/EGY,2024,10761299928.7
country/EGY,2027,5086536314.9
country/SLV,1972,7555798.3
country/SLV,1974,20488195.1
country/SLV,1978,15825469.0
