dcid,year,climateFinanceReceivedCommitmentsMitigationOtherOfficialFlowsCurrentUSD
country/SRB,2018,144141905.75305882
country/SRB,2019,381479478.0607919
country/SRB,2020,92919791.29428825
country/SRB,2021,273088215.90230733
country/SLE,2020,10045000.0
country/SLE,2021,130802.0
country/ZAF,2018,145166387.99962002
country/ZAF,2019,100168544.8
country/ZAF,2020,84778905.50775
country/ZAF,2021,99968106.0
country/LKA,2014,128540000.0
country/LKA,2016,39213000.0
country/LKA,2017,198000000.0
country/LKA,2018,50006408.4
country/LKA,2019,153046248.0
country/LKA,2020,5364290.0
country/LKA,2021,18362753.0
country/SUR,2013,4900000.0
country/SUR,2014,20001300.0
country/SUR,2016,7700000.0
country/SUR,2017,6800000.000000001
country/SUR,2018,3960000.0
country/SUR,2019,46234607.759936005
country/TJK,2013,4818852.536759157
country/TJK,2014,2183743.31962319
country/TJK,2015,122117476.20355543
country/TJK,2016,6806382.395222831
country/TJK,2017,48761323.4133694
country/TJK,2018,11336008.4975805
country/TJK,2019,3190721.7216724004
country/TJK,2020,3294393.7699446166
country/TJK,2021,52786983.028618686
country/TZA,2015,159320563.0
country/TZA,2018,64094429.526300006
country/TZA,2019,168683779.5867232
country/TZA,2020,9600305.195
country/TZA,2021,122174172.29999998
country/THA,2013,52000000.0
country/THA,2015,53000000.0
country/THA,2018,187899360.0
country/THA,2019,409134621.60999995
country/THA,2020,104334452.44
country/THA,2021,11297165.87
country/TLS,2021,30800000.0
country/TGO,2021,23640190.0
country/TUN,2014,163780.74889213202
country/TUN,2015,1331114.80865225
country/TUN,2016,51420988.6099746
country/TUN,2017,224412980.498253
country/TUN,2018,119376241.47291397
country/TUN,2019,352087613.1297743
country/TUN,2020,19250000.0
country/TUN,2021,3594538.6975118304
country/TKM,2015,510545.55740432604
country/TKM,2017,2730720.8013797803
country/TKM,2018,3400000.0
country/TKM,2020,155976.203760684
country/TUR,2013,1166694812.215072
country/TUR,2014,740383663.964719
country/TUR,2015,918717132.5959525
country/TUR,2016,1233094630.6608827
country/TUR,2017,792119641.4157885
country/TUR,2018,768463819.1417446
country/TUR,2019,1505873925.3239608
country/TUR,2020,1020771761.695144
country/TUR,2021,2399505574.785989
country/UGA,2015,78435000.0
country/UGA,2018,381966749.9
country/UGA,2020,428761.0
country/UGA,2021,1469359.0
country/UKR,2013,211349507.51627725
country/UKR,2014,730861877.2943345
country/UKR,2015,166077298.39438888
country/UKR,2016,179156507.87933934
country/UKR,2017,482963343.2167882
country/UKR,2018,572114033.8186008
country/UKR,2019,919534419.0050169
country/UKR,2020,404323679.8781716
country/UKR,2021,638776927.3019991
country/URY,2013,106650000.0
country/URY,2014,169050000.0
country/URY,2015,199700000.0
country/URY,2016,2650000.0
country/URY,2017,18400000.0
country/UZB,2013,101351133.793
country/UZB,2014,163269000.0
country/UZB,2015,61155000.0
country/UZB,2016,45770000.0
country/UZB,2017,87497000.0
country/UZB,2018,446649665.9978756
country/UZB,2019,471720135.46400183
country/UZB,2020,544397308.3106649
country/UZB,2021,486736827.65062356
country/VNM,2014,141156000.0
country/VNM,2016,59000000.0
country/VNM,2017,100000000.0
country/VNM,2018,101045200.0
country/VNM,2019,17600000.0
country/VNM,2020,204963128.0
country/VNM,2021,147906074.0
country/PSE,2021,62070158.25
country/ZMB,2018,70000000.0
country/ZMB,2021,1880.0
country/ZWE,2021,180072.80000000002
