dcid,year,debtOutstandingAndDisbursedPPGCurrentUSD
country/BTN,1984,2731924.9
country/BTN,1986,20953606.6
country/BTN,1995,105193702.9
country/BTN,2002,376884137.7
country/BTN,2004,592015125.5
country/BTN,2015,1945060882.4
country/BTN,2020,2985320870.6
country/BTN,1981,325908.8
country/BTN,1983,1764110.8
country/BTN,1985,8833074.5
country/BTN,1987,40242793.9
country/BTN,1988,67083431.5
country/BTN,1992,88307538.3
country/BTN,1993,94909516.3
country/BTN,1997,117619860.0
country/BTN,2005,635565991.7
country/BTN,2006,696102067.0
country/BTN,2010,919405320.9
country/BTN,2013,1513834794.5
country/BTN,2021,2986905928.8
country/BTN,1989,71849715.5
country/BTN,1994,103804908.6
country/BTN,1998,171042023.7
country/BTN,1999,181803502.5
country/BTN,2001,265155373.6
country/BTN,2008,675850415.6
country/BTN,2011,1043414808.3
country/BTN,2012,1357737704.1
country/BTN,2016,2221213149.5
country/BTN,2017,2540779737.0
country/BTN,2018,2484230634.3
country/BTN,2019,2616292989.2
country/BTN,1990,80282480.8
country/BTN,1991,84847193.4
country/BTN,1996,112936448.6
country/BTN,2000,202238252.9
country/BTN,2003,480325008.4
country/BTN,2007,773773425.9
country/BTN,2009,772159260.6
country/BTN,2014,1827205748.0
country/BOL,1980,2263829582.5
country/BOL,1985,3604912459.7
country/BOL,1993,3788247141.9
country/BOL,1994,4211031072.5
country/BOL,2006,3198539466.3
country/BOL,2008,2421319357.7
country/BOL,2011,3433273512.9
country/BOL,2014,5744904672.7
country/BOL,2019,10999855991.6
country/BOL,1972,668578038.4
country/BOL,1974,776623504.0
country/BOL,1976,1136414695.7
country/BOL,1977,1498162861.4
country/BOL,1978,1774509916.2
country/BOL,1979,1964847026.9
country/BOL,1981,2814205136.1
country/BOL,1991,3627113833.9
country/BOL,1995,4545748451.6
country/BOL,1996,4340220518.2
country/BOL,1998,4368377526.1
country/BOL,1999,4315702864.8
country/BOL,2001,3194375307.7
country/BOL,2003,4182918936.6
country/BOL,2004,4578512066.8
country/BOL,2016,7010094456.4
country/BOL,2020,11877490891.3
country/BOL,1975,891599347.2
country/BOL,1982,2930924593.2
country/BOL,1983,3350460998.6
country/BOL,1984,3467123725.6
country/BOL,1988,4235875571.1
country/BOL,1997,4209465571.8
country/BOL,2002,3582211732.6
country/BOL,2005,4589843582.9
country/BOL,2007,2178149345.9
country/BOL,2010,2829604751.5
country/BOL,2012,4189264509.5
country/BOL,2013,5281733923.8
country/BOL,2015,6335483734.8
country/BOL,2018,9905105772.1
country/BOL,1970,608141874.1
country/BOL,1971,574399834.3
country/BOL,1973,693142204.6
country/BOL,1986,4165389848.6
country/BOL,1987,4719575810.8
country/BOL,1989,3523143762.5
country/BOL,1990,3782128620.3
country/BOL,1992,3767038817.3
country/BOL,2000,4209341524.7
country/BOL,2009,2572014064.4
country/BOL,2017,9150676176.4
country/BOL,2021,12281356255.9
country/BIH,2000,1959013988.0
country/BIH,2001,1781924562.4
country/BIH,2002,2035276908.2
country/BIH,2003,2319678029.5
country/BIH,2009,3569910385.6
country/BIH,2010,3733349191.8
country/BIH,2011,3874321851.3
country/BIH,2012,4201093990.3
country/BIH,2014,4731410064.5
country/BIH,2017,4836936101.8
country/BIH,2004,2689895300.4
country/BIH,2013,4790589134.6
country/BWA,1972,74756512.0
country/BWA,1982,201807763.8
country/BWA,1985,343662733.4
country/BWA,1989,546281480.1
country/BWA,2001,378874794.3
country/BWA,2005,412308772.5
country/BWA,2013,1822894112.1
country/BWA,1971,33201565.7
country/BWA,1973,114920842.5
country/BWA,1974,134055048.0
country/BWA,1975,147979450.1
country/BWA,1983,224122753.2
country/BWA,1984,261914783.7
country/BWA,1986,403923150.5
country/BWA,1991,605924888.2
country/BWA,1995,706959662.4
country/BWA,1998,524739048.7
country/BWA,2002,472423923.3
country/BWA,2006,358173807.6
country/BWA,2007,396301237.0
country/BWA,2009,1395265160.6
country/BWA,2010,1358491275.9
country/BWA,2011,1900015194.7
country/BWA,2015,1772453335.7
country/BWA,2018,1451298407.2
country/BWA,2020,1278429299.9
country/BIH,1999,2244166639.4
country/BIH,2006,2722495334.7
country/BIH,2008,3008225226.4
country/BIH,2015,4385581276.0
country/BIH,2016,4395638601.0
country/BIH,2018,4918697830.3
country/BIH,2020,5206551537.1
country/BIH,2005,2562973489.4
country/BIH,2007,2966842787.1
country/BIH,2019,4875811442.7
country/BIH,2021,5057772736.0
country/BWA,1970,17358400.0
country/BWA,1976,166353134.3
country/BWA,1977,182561932.5
country/BWA,1978,122537379.1
country/BWA,1979,112896348.0
country/BWA,1980,131629101.5
