dcid,year,healthExpenditurePrivateCurrentUSD
country/SLE,2002,98876038949.01093
country/SLE,2003,107031403022.46562
country/SLE,2004,107195003928.78966
country/SLE,2005,122538697790.3455
country/SLE,2006,136100580686.37473
country/SLE,2007,158604506581.76575
country/SLE,2008,187544656943.735
country/SLE,2009,191010158855.44867
country/SLE,2010,181211741517.41354
country/SLE,2011,274238117695.24222
country/SLE,2012,295696882581.8718
country/SLE,2013,359625329844.73785
country/SLE,2014,398074380739.1757
country/SLE,2015,362366970336.58527
country/SLE,2016,305329095146.1109
country/SLE,2017,196446147886.9738
country/SLE,2018,209476457313.46942
country/SLE,2019,202008974367.98267
country/SLE,2020,201057332862.74615
country/ZAF,2000,6987452796.366005
country/ZAF,2001,6331094265.042447
country/ZAF,2002,5588411773.461951
country/ZAF,2003,7604274234.742084
country/ZAF,2004,9794021905.618572
country/ZAF,2005,9556782942.057041
country/ZAF,2006,9736525329.902473
country/ZAF,2007,10328782248.231283
country/ZAF,2008,10074819957.795198
country/ZAF,2009,10636414514.537533
country/ZAF,2010,13345797039.568775
country/ZAF,2011,14937679980.550745
country/ZAF,2012,14478232489.378323
country/ZAF,2013,13671027430.601124
country/ZAF,2014,12804203693.819193
country/ZAF,2015,11510104361.154566
country/ZAF,2016,10811933711.048357
country/ZAF,2017,12672447593.477728
country/ZAF,2018,13586798183.711535
country/ZAF,2019,12928149093.499723
country/ZAF,2020,10525134088.914293
country/SSD,2017,67471927.77359816
country/SSD,2018,77821904.48408923
country/SSD,2019,69355853.76787837
country/SSD,2020,100447985.46119958
country/TGO,2000,48147604.23448433
country/TGO,2001,48600022.47104691
country/TGO,2002,55637769.2473069
country/TGO,2003,68257388.2946808
country/TGO,2004,73976412.01873383
country/TGO,2005,78052035.0544111
country/TGO,2006,81280741.92943764
country/TGO,2007,102718804.91415472
country/TGO,2008,126160104.21373351
country/TGO,2009,133819481.88019694
country/TGO,2010,140728112.04204118
country/TGO,2011,161996612.4743911
country/TGO,2012,162473831.6033521
country/TGO,2013,183123957.03595218
country/TGO,2014,202765572.69833833
country/TGO,2015,182960138.72729847
country/TGO,2016,277626116.0205231
country/TGO,2017,280536446.3356723
country/TGO,2018,313315215.08780545
country/TGO,2019,307388937.98955876
country/TGO,2020,311929041.7797779
country/UGA,2000,171775684.30683297
country/UGA,2001,173952250.36436608
country/UGA,2002,181445848.2573313
country/UGA,2003,176667340.73934788
country/UGA,2004,203108973.94447234
country/UGA,2005,363315100.6423066
country/UGA,2006,505721096.4303993
country/UGA,2007,600474852.1713773
country/UGA,2008,664473811.0711552
country/UGA,2009,617069697.5051761
country/UGA,2010,651270727.0114608
country/UGA,2011,667357219.6991843
country/UGA,2012,734153619.7554241
country/UGA,2013,854744375.2768375
country/UGA,2014,857012238.1897373
country/UGA,2015,630897187.0205975
country/UGA,2016,652919055.0240462
country/UGA,2017,516448059.094022
country/UGA,2018,543926829.8717662
country/UGA,2019,614965197.5119543
country/UGA,2020,631392503.3162535
country/TZA,2000,171224893.26044354
country/TZA,2001,228106489.54323593
country/TZA,2002,271865502.6806751
country/TZA,2003,340658094.78178424
country/TZA,2004,345730839.53416204
country/TZA,2005,378753179.48748404
country/TZA,2006,382265520.287708
country/TZA,2007,441385536.189585
country/TZA,2008,518697268.5872989
country/TZA,2009,523744021.7252993
country/TZA,2010,546341603.2243619
country/TZA,2011,514931959.2919986
country/TZA,2012,561777267.8599277
country/TZA,2013,551985245.5555129
country/TZA,2014,532720588.4048003
country/TZA,2015,479125736.6257861
country/TZA,2016,452974113.36319107
country/TZA,2017,481562018.218989
country/TZA,2018,512499515.5924909
country/TZA,2019,538293916.5742233
country/TZA,2020,581034465.4617733
country/ZMB,2000,135258549.7077025
country/ZMB,2001,122301525.58270921
country/ZMB,2002,122222363.31828687
country/ZMB,2003,163941105.64701417
country/ZMB,2004,169698083.5013653
country/ZMB,2005,217419762.78163493
country/ZMB,2006,297209771.7945393
country/ZMB,2007,255897259.52936253
country/ZMB,2008,313310318.70226973
country/ZMB,2009,223398366.3111992
country/ZMB,2010,239353069.51745695
country/ZMB,2011,230271366.03085345
country/ZMB,2012,226641155.66974258
country/ZMB,2013,227984699.29491135
country/ZMB,2014,187045018.82193628
country/ZMB,2015,155503614.98358747
country/ZMB,2016,180449065.24375454
country/ZMB,2017,216012194.7412661
country/ZMB,2018,220149434.36079755
country/ZMB,2019,200765461.87432116
country/ZMB,2020,146638128.78276327
country/ZWE,2020,3439600.5155642917
country/ATG,2000,16288679.688888894
country/ATG,2001,17780179.288888887
country/ATG,2002,17840607.066666666
country/ATG,2003,19161110.377777774
country/ATG,2004,19726993.185185183
country/ATG,2005,22577916.84814814
country/ATG,2006,25146614.04444444
country/ATG,2007,28318752.092592593
country/ATG,2008,28224185.977777775
country/ATG,2009,23126622.974074073
country/ATG,2010,25673299.288888887
country/ATG,2011,26626444.444444444
country/ATG,2012,28736115.566666666
country/ATG,2013,28432617.962962963
country/ATG,2014,29971402.888888884
country/ATG,2015,28378408.0074074
country/ATG,2016,32477719.155555554
country/ATG,2017,31359028.803703707
country/ATG,2018,31013060.440740738
country/ATG,2019,30651859.71111111
country/ATG,2020,30495268.329629626
country/ARG,2000,11821910955.477737
country/ARG,2001,11310168342.981491
country/ARG,2002,3667247377.479521
country/ARG,2003,4489888822.060725
country/ARG,2004,5027566583.056488
country/ARG,2005,7237138718.158048
country/ARG,2006,8429678029.104204
country/ARG,2007,10320092150.707129
country/ARG,2008,13157356793.894682
country/ARG,2009,12643566155.33194
country/ARG,2010,16408145388.345999
country/ARG,2011,19522410579.53713
country/ARG,2012,21171136319.63396
country/ARG,2013,21569955149.244358
country/ARG,2014,18672333821.58352
country/ARG,2015,21771459452.1594
country/ARG,2016,18860954989.70785
country/ARG,2017,24442444240.65429
country/ARG,2018,18409281652.2253
country/ARG,2019,15347889099.74652
country/ARG,2020,13009221094.79485
country/BHS,2000,183663527.94
country/BHS,2001,194157369.20000002
country/BHS,2002,202537104.14999998
country/BHS,2003,210127831.59
country/BHS,2004,218453390.64999998
country/BHS,2005,238422244.03000006
country/BHS,2006,266637273.15000007
country/BHS,2007,283156738.90999997
country/BHS,2008,289329606.91999996
country/BHS,2009,276872948.5300001
country/BHS,2010,288451030.84000003
country/BHS,2011,293924013.20000005
country/BHS,2012,318912909.4199999
country/BHS,2013,318050899.9800001
country/BHS,2014,337346871.31
country/BHS,2015,337037041.1
country/BHS,2016,340576577.24000007
country/BHS,2017,364688272.33000004
country/BHS,2018,382417197.33000004
country/BHS,2019,368200502.71999997
country/BHS,2020,293961657.51
country/BRB,2000,78540768.40999998
country/BRB,2001,78834654.77000001
country/BRB,2002,80854492.72000001
country/BRB,2003,89946337.15500002
country/BRB,2004,99279072.14999999
country/BRB,2005,107602516.39000003
country/BRB,2006,117191686.44500001
country/BRB,2007,123344709.32
country/BRB,2008,128855103.31999998
country/BRB,2009,133928246.11999999
country/BRB,2010,135801994.555
country/BRB,2011,155838749.15500003
country/BRB,2012,158834999.99999997
country/BRB,2013,166270508.87500003
country/BRB,2014,166991550.28
country/BRB,2015,163052177.52499998
country/BRB,2016,164990839.63000003
country/BRB,2017,173518745.04500002
country/BRB,2018,180377713.83499998
country/BRB,2019,178116082.17
country/BRB,2020,158770448.15000004
country/BLZ,2000,15237176.620000003
country/BLZ,2001,16844670.935
country/BLZ,2002,18108501.119999997
country/BLZ,2003,18913481.894999996
country/BLZ,2004,19595176.080000002
country/BLZ,2005,19687776.580000002
country/BLZ,2006,19884492.875000004
country/BLZ,2007,20953736.755000003
country/BLZ,2008,21871769.115
country/BLZ,2009,23038846.77
country/BLZ,2010,23951120.0
country/BLZ,2011,25496784.615000006
country/BLZ,2012,26232053.735
country/BLZ,2013,27677188.055
country/BLZ,2014,28658336.375000004
country/BLZ,2015,29600653.875
country/BLZ,2016,32070730.055
country/BLZ,2017,31428767.965
country/BLZ,2018,31612284.215
country/BLZ,2019,35171693.864999995
country/BLZ,2020,29951065.639999997
country/BOL,2000,141794091.07024688
country/BOL,2001,154879289.46987367
country/BOL,2002,154398350.50906557
country/BOL,2003,159894207.05255133
country/BOL,2004,164909368.66284725
country/BOL,2005,184689300.39904848
country/BOL,2006,204060573.16147175
country/BOL,2007,223869295.12848935
country/BOL,2008,272047381.27100635
country/BOL,2009,313702880.7478633
country/BOL,2010,384787056.4916863
country/BOL,2011,458097267.9944573
country/BOL,2012,548527171.5224313
country/BOL,2013,648603221.1968162
country/BOL,2014,675246999.9696091
country/BOL,2015,674141502.8712013
country/BOL,2016,740791210.6020262
country/BOL,2017,710072152.7206947
country/BOL,2018,684243400.6613601
country/BOL,2019,782419424.1244572
country/BOL,2020,727789903.7713456
country/BRA,2000,31709996063.77688
country/BRA,2001,28068654222.843376
country/BRA,2002,25403415448.59921
country/BRA,2003,26032262017.078735
country/BRA,2004,30886866240.72517
country/BRA,2005,41770572271.2563
country/BRA,2006,52052523464.85883
country/BRA,2007,65811093173.85981
country/BRA,2008,76357190679.3211
country/BRA,2009,77929894604.63995
country/BRA,2010,96053805116.65785
country/BRA,2011,112392793108.03163
country/BRA,2012,107782419561.39923
country/BRA,2013,109299662949.28133
country/BRA,2014,115089990176.243
country/BRA,2015,90981303944.99101
country/BRA,2016,93623230084.95691
country/BRA,2017,113737427844.02382
country/BRA,2018,106723852852.58536
country/BRA,2019,106467329379.20134
country/BRA,2020,82318544174.86496
country/CAN,2000,16673933461.68513
country/CAN,2001,17334701458.130966
country/CAN,2002,18555775139.084885
country/CAN,2003,21676491808.904644
country/CAN,2004,25069232385.98483
country/CAN,2005,28590326187.279346
country/CAN,2006,37672158952.81451
country/CAN,2007,42190966163.67337
country/CAN,2008,45125076812.476166
country/CAN,2009,43992999724.76769
country/CAN,2010,52060882243.29964
country/CAN,2011,55552867952.47044
country/CAN,2012,56774379060.73758
country/CAN,2013,56264507747.563286
country/CAN,2014,54474549496.47405
country/CAN,2015,49069338456.44968
country/CAN,2016,51112774493.66911
country/CAN,2017,54220781624.09214
country/CAN,2018,56399645039.15776
country/CAN,2019,57645816868.60809
country/CAN,2020,53295678538.900345
country/CAN,2021,59122512315.394165
country/CHL,2000,3516307494.150624
country/CHL,2001,3230042557.413714
country/CHL,2002,3164828239.654345
country/CHL,2003,3425514946.177849
country/CHL,2004,4144532580.475364
country/CHL,2005,4914350565.190012
country/CHL,2006,5477148949.50733
country/CHL,2007,6190212950.534085
country/CHL,2008,6836804108.085623
country/CHL,2009,6602372311.801674
country/CHL,2010,7830029056.000414
country/CHL,2011,9026207909.359219
country/CHL,2012,9764100858.13781
country/CHL,2013,10849173116.130135
country/CHL,2014,10630687448.920197
country/CHL,2015,10527286756.076706
country/CHL,2016,10741140138.891863
country/CHL,2017,12461140482.158882
country/CHL,2018,13402605627.371054
country/CHL,2019,12797986345.989346
country/CHL,2020,10756570901.810331
country/CHL,2021,12438901179.960215
country/COL,2000,1340146471.29068
country/COL,2001,1369299445.3936667
country/COL,2002,1221665275.2645519
country/COL,2003,1102493021.6778793
country/COL,2004,1672441682.8902857
country/COL,2005,2405413198.385948
country/COL,2006,2788448100.2932982
country/COL,2007,3866038280.2834435
country/COL,2008,5073577445.813343
country/COL,2009,4741942050.179442
country/COL,2010,5614247938.521087
country/COL,2011,5984335576.795886
country/COL,2012,7405013901.77276
country/COL,2013,8081953558.447692
country/COL,2014,8107488302.545243
country/COL,2015,6440669123.574115
country/COL,2016,6317484011.415186
country/COL,2017,6934863048.323056
country/COL,2018,7233771313.404163
country/COL,2019,7570197404.8213625
country/COL,2020,6648744259.833022
country/CRI,2000,334779732.798347
country/CRI,2001,343217128.4574039
country/CRI,2002,372976267.2356581
country/CRI,2003,400707900.4849973
country/CRI,2004,416453177.9483484
country/CRI,2005,479112971.3156983
country/CRI,2006,532452246.54732585
country/CRI,2007,633777899.1823438
country/CRI,2008,737068148.8417642
country/CRI,2009,695358353.4953797
country/CRI,2010,830756202.5345792
country/CRI,2011,1030754800.998238
country/CRI,2012,1075938201.5473897
country/CRI,2013,1133548365.0288005
country/CRI,2014,1154241908.911511
country/CRI,2015,1169280387.773281
country/CRI,2016,1147446505.123269
country/CRI,2017,1127148224.8820586
country/CRI,2018,1255201037.4730315
country/CRI,2019,1277516367.051642
country/CRI,2020,1369990302.5644288
country/DMA,2000,6026719.185185187
country/DMA,2001,6689574.714814816
country/DMA,2002,6652004.833333335
country/DMA,2003,6857924.21111111
country/DMA,2004,7284536.762962962
country/DMA,2005,7459227.099999998
country/DMA,2006,7663328.937037038
country/DMA,2007,8921285.566666666
country/DMA,2008,10551485.503703702
country/DMA,2009,10590862.666666668
country/DMA,2010,10159252.562962962
country/DMA,2011,10111958.888888888
country/DMA,2012,10271925.544444446
country/DMA,2013,9687051.848148147
country/DMA,2014,10064100.407407409
country/DMA,2015,9770426.011111109
country/DMA,2016,9784170.433333332
country/DMA,2017,8365620.181481481
country/DMA,2018,10908764.785185184
country/DMA,2019,11005816.95185185
country/DMA,2020,9254066.148148147
country/DOM,2000,749561642.7854663
country/DOM,2001,777486664.3853828
country/DOM,2002,825553568.6115026
country/DOM,2003,660980601.0802583
country/DOM,2004,680059623.3380824
country/DOM,2005,1032852067.8718672
country/DOM,2006,964891401.6450499
country/DOM,2007,1026007973.3410153
country/DOM,2008,1135473739.7838693
country/DOM,2009,1152844064.4061754
country/DOM,2010,1278672502.2315686
country/DOM,2011,1326795838.4259877
country/DOM,2012,1342648905.2706563
country/DOM,2013,1321389633.2873223
country/DOM,2014,1323858371.0689867
country/DOM,2015,1370105292.567648
country/DOM,2016,1420205688.074801
country/DOM,2017,1414411807.0721438
country/DOM,2018,1322863840.8527043
country/DOM,2019,1420938685.4611003
country/DOM,2020,1306662146.7886517
country/ECU,2000,417173594.64000005
country/ECU,2001,593273467.3399998
country/ECU,2002,860259975.6200001
country/ECU,2003,1213571499.7300003
country/ECU,2004,1378927121.0799997
country/ECU,2005,1609529159.78
country/ECU,2006,1793255059.05
country/ECU,2007,1667094877.7499998
country/ECU,2008,2010005759.67
country/ECU,2009,2058040128.8099997
country/ECU,2010,2211194000.0
country/ECU,2011,2693972551.2599998
country/ECU,2012,2911376857.56
country/ECU,2013,2820950808.9300003
country/ECU,2014,2640901394.68
country/ECU,2015,3139250855.37
country/ECU,2016,2847870061.12
country/ECU,2017,2997344652.9700003
country/ECU,2018,3147785891.3699994
country/ECU,2019,3222397933.44
country/ECU,2020,3468661807.39
country/SLV,2000,51414939.73729296
country/SLV,2001,477790769.1899999
country/SLV,2002,486672414.3899999
country/SLV,2003,509222875.83000016
country/SLV,2004,541555806.22
country/SLV,2005,700590752.2299999
country/SLV,2006,626872713.0699999
country/SLV,2007,697318604.7
country/SLV,2008,742589347.8399999
country/SLV,2009,712910608.5800002
country/SLV,2010,736904311.02
country/SLV,2011,813050241.7600001
country/SLV,2012,851193334.4000001
country/SLV,2013,883124881.75
country/SLV,2014,842498764.3899997
country/SLV,2015,892454429.4799998
country/SLV,2016,901682552.99
country/SLV,2017,956828373.6999999
country/SLV,2018,979480092.4499999
country/SLV,2019,1012329259.4000002
country/SLV,2020,979281645.8299998
country/GRD,2000,17769135.803703703
country/GRD,2001,17660692.951851852
country/GRD,2002,18295858.222222224
country/GRD,2003,18040621.26666667
country/GRD,2004,16328156.114814816
country/GRD,2005,18692751.892592587
country/GRD,2006,20284838.711111113
country/GRD,2007,23657925.129629623
country/GRD,2008,26405068.62962962
country/GRD,2009,24594113.329629622
country/GRD,2010,25417541.181481473
country/GRD,2011,26373215.985185176
country/GRD,2012,27428614.42962963
country/GRD,2013,28101043.318518516
country/GRD,2014,24277325.86296296
country/GRD,2015,26890520.207407407
country/GRD,2016,28243518.181481477
country/GRD,2017,31061458.777777776
country/GRD,2018,31574711.337037034
country/GRD,2019,35016865.01111111
country/GRD,2020,36444318.64814815
country/GTM,2000,605086152.3746076
country/GTM,2001,783561625.694423
country/GTM,2002,863383002.2942744
country/GTM,2003,912245441.6376251
country/GTM,2004,1010792147.9008311
country/GTM,2005,1162317491.710761
country/GTM,2006,1279904100.0881608
country/GTM,2007,1411137846.746376
country/GTM,2008,1566916009.3024352
country/GTM,2009,1459943548.506404
country/GTM,2010,1618753298.0029118
country/GTM,2011,1791112040.335234
country/GTM,2012,1897841892.5414972
country/GTM,2013,1804715022.3065932
country/GTM,2014,2016921997.1776168
country/GTM,2015,2255531023.140337
country/GTM,2016,2432412111.041052
country/GTM,2017,2772946179.279189
country/GTM,2018,2790122586.3165765
country/GTM,2019,2892694889.403012
country/GTM,2020,3048856187.343378
country/GUY,2000,20872783.25379598
country/GUY,2001,21104745.153973836
country/GUY,2002,21760675.094904676
country/GUY,2003,21757580.99156691
country/GUY,2004,22993408.518437274
country/GUY,2005,24792731.131707314
country/GUY,2006,28633035.78953158
country/GUY,2007,34141230.69672504
country/GUY,2008,40190804.90502544
country/GUY,2009,40341222.68614856
country/GUY,2010,46044214.41923702
country/GUY,2011,52552051.50896369
country/GUY,2012,63702546.84498644
country/GUY,2013,65385290.01183892
country/GUY,2014,63680466.43775898
country/GUY,2015,63094277.34687652
country/GUY,2016,58614470.946440674
country/GUY,2017,64291779.98861986
country/GUY,2018,86100535.79528187
country/GUY,2019,96580501.19529979
country/GUY,2020,76909737.1666187
country/HTI,2000,117696294.70163098
country/HTI,2001,110259508.44642161
country/HTI,2002,97967905.2138741
country/HTI,2003,83148247.75532554
country/HTI,2004,106026480.09814352
country/HTI,2005,112915648.23386747
country/HTI,2006,124677953.27230923
country/HTI,2007,152866966.1374019
country/HTI,2008,161990215.57238132
country/HTI,2009,170675043.67822337
country/HTI,2010,196601961.8580611
country/HTI,2011,215508226.72086644
country/HTI,2012,234671135.83301023
country/HTI,2013,242957534.35747916
country/HTI,2014,234340899.80752498
country/HTI,2015,274440943.28482544
country/HTI,2016,253511791.4357389
country/HTI,2017,313571718.4434803
country/HTI,2018,320572750.04258657
country/HTI,2019,259254101.1515216
country/HTI,2020,284028807.0375913
country/HND,2000,220700916.41895136
country/HND,2001,254703696.07590702
country/HND,2002,270123290.58393
country/HND,2003,298009257.830311
country/HND,2004,331261534.99572355
country/HND,2005,384879140.3380968
country/HND,2006,456599722.78104085
country/HND,2007,529106818.6053527
country/HND,2008,648035157.0300626
country/HND,2009,624156527.3536526
country/HND,2010,692449365.1793323
country/HND,2011,771955946.4806377
country/HND,2012,863767022.8501229
country/HND,2013,839367463.9046338
country/HND,2014,835015380.4370066
country/HND,2015,872697529.1835221
country/HND,2016,919559583.4862065
country/HND,2017,900908024.3044078
country/HND,2018,1002537545.0226629
country/HND,2019,1063651537.1016045
country/HND,2020,1212021463.5349274
country/HND,2021,1500798364.1493359
country/JAM,2000,220049923.5792368
country/JAM,2001,250955240.91637903
country/JAM,2002,189668933.08040917
country/JAM,2003,202118415.06416416
country/JAM,2004,228269457.10375637
country/JAM,2005,252996661.90676582
country/JAM,2006,255296463.7593588
country/JAM,2007,327625775.8048587
country/JAM,2008,352313696.2100269
country/JAM,2009,251305459.84343216
country/JAM,2010,281993060.8479701
country/JAM,2011,292229488.2327523
country/JAM,2012,287853091.2941657
country/JAM,2013,275591261.32903755
country/JAM,2014,282329956.82378787
country/JAM,2015,281938067.76080513
country/JAM,2016,279528729.9214895
country/JAM,2017,295495551.30839825
country/JAM,2018,312999098.14612705
country/JAM,2019,320081769.74883235
country/JAM,2020,279957661.83026725
country/MEX,2000,17254212252.499107
country/MEX,2001,20514851395.38284
country/MEX,2002,22442027779.695618
country/MEX,2003,24805859858.679386
country/MEX,2004,26333871875.867294
country/MEX,2005,29581022206.03487
country/MEX,2006,31536816889.114975
country/MEX,2007,34104075620.928333
country/MEX,2008,34213304713.835384
country/MEX,2009,29423506776.916374
country/MEX,2010,30209676129.83855
country/MEX,2011,30747871447.861183
country/MEX,2012,31925091185.020985
country/MEX,2013,34240538963.186935
country/MEX,2014,35002935737.46751
country/MEX,2015,32055692459.32251
country/MEX,2016,29180362520.90588
country/MEX,2017,31285724102.383633
country/MEX,2018,33148433222.579216
country/MEX,2019,35143284394.255905
country/MEX,2020,31963646041.827267
country/NIC,2000,126911880.5461039
country/NIC,2001,130785793.38702337
country/NIC,2002,145453139.52469087
country/NIC,2003,143181136.5732351
country/NIC,2004,153928714.9962163
country/NIC,2005,162615574.77027553
country/NIC,2006,189305651.49973068
country/NIC,2007,225736434.37239075
country/NIC,2008,260294598.63866496
country/NIC,2009,258721283.3548121
country/NIC,2010,268089188.8664375
country/NIC,2011,291114628.85118496
country/NIC,2012,314149471.15904593
country/NIC,2013,329424103.71696186
country/NIC,2014,356304369.1804232
country/NIC,2015,382706259.22846645
country/NIC,2016,395590759.5833085
country/NIC,2017,408971386.5700959
country/NIC,2018,386579144.9539505
country/NIC,2019,376168449.13752365
country/NIC,2020,369096228.2694206
country/PAN,2000,317950569.9800001
country/PAN,2001,329748207.01
country/PAN,2002,356282408.32
country/PAN,2003,363713047.8
country/PAN,2004,408885216.6399999
country/PAN,2005,432483609.4699999
country/PAN,2006,472574755.25
country/PAN,2007,549458814.9300001
country/PAN,2008,582210572.4100002
country/PAN,2009,654453051.0
country/PAN,2010,769738650.9900001
country/PAN,2011,927155213.14
country/PAN,2012,1085763102.29
country/PAN,2013,1149292797.3799999
country/PAN,2014,1368459017.7200003
country/PAN,2015,1521982538.2699995
country/PAN,2016,1654221822.8099997
country/PAN,2017,1771054716.3999999
country/PAN,2018,2143972296.1699998
country/PAN,2019,2355527083.35
country/PAN,2020,2037062849.81
country/PRY,2000,311481108.39148104
country/PRY,2001,302943324.2448413
country/PRY,2002,230957178.79481202
country/PRY,2003,246339350.7896206
country/PRY,2004,314788134.73605454
country/PRY,2005,344805248.77667475
country/PRY,2006,433858452.1453327
country/PRY,2007,582800796.4471898
country/PRY,2008,834053610.223826
country/PRY,2009,750037000.1263298
country/PRY,2010,891804528.5010782
country/PRY,2011,1117986458.1030345
country/PRY,2012,1153313281.9388156
country/PRY,2013,1305923403.8056152
country/PRY,2014,1389999162.6767714
country/PRY,2015,1272295146.9583514
country/PRY,2016,1264461660.2815883
country/PRY,2017,1389692683.181363
country/PRY,2018,1492695531.0119333
country/PRY,2019,1456905459.254008
country/PRY,2020,1225896515.6167574
country/PER,2000,1039819169.504298
country/PER,2001,1132887242.0075102
country/PER,2002,1288225919.2407227
country/PER,2003,1255195815.0990076
country/PER,2004,1347243478.2951362
country/PER,2005,1486095374.0607464
country/PER,2006,1848833116.1543164
country/PER,2007,2276768086.814739
country/PER,2008,2813295894.3022695
country/PER,2009,2887523519.426869
country/PER,2010,3296454984.51573
country/PER,2011,3722382363.0623426
country/PER,2012,4284533320.036135
country/PER,2013,4202419183.191614
country/PER,2014,4045813057.7793427
country/PER,2015,3705283854.484593
country/PER,2016,3697231546.233105
country/PER,2017,3957136175.327295
country/PER,2018,4482904778.511272
country/PER,2019,4441546076.772932
country/PER,2020,4123877445.852654
country/KNA,2000,11737879.55925926
country/KNA,2001,11350723.111111108
country/KNA,2002,12125036.007407408
country/KNA,2003,12459398.392592594
country/KNA,2004,11588341.766666664
country/KNA,2005,13692734.422222218
country/KNA,2006,17729359.866666667
country/KNA,2007,18639197.44444444
country/KNA,2008,25889223.599999994
country/KNA,2009,24702055.611111112
country/KNA,2010,24739057.903703704
country/KNA,2011,26445754.444444444
country/KNA,2012,25182219.607407406
country/KNA,2013,27253780.762962963
country/KNA,2014,26756285.55555555
country/KNA,2015,30496507.28148148
country/KNA,2016,32740969.988888886
country/KNA,2017,32601421.325925924
country/KNA,2018,28474308.514814813
country/KNA,2019,29158254.42222222
country/KNA,2020,25705261.666666664
country/LCA,2000,29737159.774074074
country/LCA,2001,29732940.985185184
country/LCA,2002,31893040.35555556
country/LCA,2003,35234852.87407407
country/LCA,2004,33817128.08148148
country/LCA,2005,35761207.66666667
country/LCA,2006,43158146.92592591
country/LCA,2007,52171843.97407408
country/LCA,2008,48241236.462962955
country/LCA,2009,46591696.87777778
country/LCA,2010,46340972.599999994
country/LCA,2011,50846569.92592592
country/LCA,2012,47370654.89259258
country/LCA,2013,50542636.79999999
country/LCA,2014,49631019.25925926
country/LCA,2015,46069272.533333324
country/LCA,2016,51776368.3037037
country/LCA,2017,51357356.69629629
country/LCA,2018,49985900.35185186
country/LCA,2019,47330624.21111111
country/LCA,2020,47959094.43333333
country/VCT,2000,5126123.503703703
country/VCT,2001,5840723.477777777
country/VCT,2002,6248480.577777776
country/VCT,2003,6771385.214814814
country/VCT,2004,7686761.155555553
country/VCT,2005,8231158.225925924
country/VCT,2006,9067421.837037036
country/VCT,2007,10773882.266666668
country/VCT,2008,10810842.103703702
country/VCT,2009,10771980.41111111
country/VCT,2010,11030501.82222222
country/VCT,2011,10886198.607407406
country/VCT,2012,11424891.614814816
country/VCT,2013,11503603.944444444
country/VCT,2014,12085407.185185185
country/VCT,2015,11987342.237037033
country/VCT,2016,12452053.003703702
country/VCT,2017,12435220.959259257
country/VCT,2018,11693206.255555553
country/VCT,2019,12610392.93333333
country/VCT,2020,12305194.370370368
country/SUR,2000,29600227.178815864
country/SUR,2001,22862202.211591516
country/SUR,2002,37676572.804943
country/SUR,2003,42234320.16658128
country/SUR,2004,52902551.957209274
country/SUR,2005,63490268.98185172
country/SUR,2006,74723186.47835992
country/SUR,2007,79552499.24954462
country/SUR,2008,94429474.50273222
country/SUR,2009,104947985.53005467
country/SUR,2010,112547371.03171939
country/SUR,2011,115275437.47858018
country/SUR,2012,130815904.7030303
country/SUR,2013,141365198.14242426
country/SUR,2014,146680701.22424245
country/SUR,2015,134618261.9326828
country/SUR,2016,72985548.9368079
country/SUR,2017,78740313.04134376
country/SUR,2018,81394071.67244141
country/SUR,2019,94556224.68490212
country/SUR,2020,95687603.95761918
country/TTO,2000,221296963.97608587
country/TTO,2001,205365149.24076104
country/TTO,2002,251643196.3533652
country/TTO,2003,261336090.61015713
country/TTO,2004,329424191.96723264
country/TTO,2005,368803814.97644705
country/TTO,2006,424604585.7679606
country/TTO,2007,488642696.730422
country/TTO,2008,534730807.3329344
country/TTO,2009,558645070.0603042
country/TTO,2010,590693376.4497213
country/TTO,2011,607832565.5003203
country/TTO,2012,641796256.5982599
country/TTO,2013,663879435.2446194
country/TTO,2014,713268236.7458576
country/TTO,2015,734583369.9249828
country/TTO,2016,761894624.5250385
country/TTO,2017,747004204.9524119
country/TTO,2018,819071491.5145677
country/TTO,2019,879101403.1028415
country/TTO,2020,840971505.0596296
country/USA,2000,711835128764.6902
country/USA,2001,761510034920.28
country/USA,2002,837767714610.9
country/USA,2003,913972025369.31
country/USA,2004,969820481279.0903
country/USA,2005,1036120631708.6902
country/USA,2006,1090741566335.3699
country/USA,2007,1158211162241.56
country/USA,2008,1178779657930.84
country/USA,2009,1207351531433.48
country/USA,2010,1246213470643.75
country/USA,2011,1285188583156.47
country/USA,2012,1340170832071.76
country/USA,2013,1359203618688.3599
country/USA,2014,1397824787702.1401
country/USA,2015,1459080606135.86
country/USA,2016,1534063973912.5798
country/USA,2017,1598468398958.4402
country/USA,2018,1663568082455.8599
country/USA,2019,1727048880438.76
country/USA,2020,1699547775940.3699
country/URY,2000,1334439130.7403588
country/URY,2001,1225217991.9018624
country/URY,2002,744787727.4731879
country/URY,2003,598628136.3531685
country/URY,2004,587465578.3761005
country/URY,2005,802122569.8030117
country/URY,2006,861544074.0767728
country/URY,2007,980834127.0698658
country/URY,2008,1169317846.117493
country/URY,2009,1110857441.1428006
country/URY,2010,1383332740.610515
country/URY,2011,1593466277.2444322
country/URY,2012,1606225469.9495213
country/URY,2013,1701174152.8400502
country/URY,2014,1597595869.6478217
country/URY,2015,1515360029.1191597
country/URY,2016,1512170854.7224045
country/URY,2017,1739494446.6216118
country/URY,2018,1795900818.0987923
country/URY,2019,1920393791.9199557
