dcid,year,climateFinanceReceivedDisbursementsOdaGrantsCurrentUSD
country/ERI,2018,4942758.0
country/ERI,2019,5051274.0
country/ERI,2020,2655186.797445017
country/ERI,2021,2705823.4
country/SWZ,2013,5211225.6
country/SWZ,2014,3636234.4000000004
country/SWZ,2015,3259309.2
country/SWZ,2016,4244175.4
country/SWZ,2017,3078481.8
country/SWZ,2018,1430016.106542562
country/SWZ,2019,2381488.3991774446
country/SWZ,2020,3315876.5609719143
country/SWZ,2021,6973243.061302018
country/ETH,2013,270454423.6
country/ETH,2014,186689498.4
country/ETH,2015,244186266.8
country/ETH,2016,306360544.73
country/ETH,2017,406194430.77
country/ETH,2018,406762103.0332
country/ETH,2019,654030852.7437406
country/ETH,2020,577709360.7984433
country/ETH,2021,300298311.76157707
country/FJI,2013,4558837.0
country/FJI,2014,4836790.6
country/FJI,2015,12454800.36538122
country/FJI,2016,8453666.24
country/FJI,2017,19709081.0
country/FJI,2018,16733377.87564477
country/FJI,2019,21157141.30829777
country/FJI,2020,35294523.800886795
country/FJI,2021,31379336.238954
country/GAB,2013,2401114.4
country/GAB,2014,1909132.5999999999
country/GAB,2015,1720313.8
country/GAB,2016,2448953.0
country/GAB,2017,1518774.7103353224
country/GAB,2018,1778089.5244559667
country/GAB,2019,118492.8755981693
country/GAB,2020,1477163.0
country/GAB,2021,19919306.0
country/GMB,2013,2920827.0
country/GMB,2014,3759396.419584505
country/GMB,2015,2748693.999167264
country/GMB,2016,5531340.134792349
country/GMB,2017,5199112.9
country/GMB,2018,5674060.309480526
country/GMB,2019,10224723.310547208
country/GMB,2020,15701125.43278787
country/GMB,2021,13076573.110000001
country/GEO,2013,15262385.8
country/GEO,2014,20315648.4
country/GEO,2015,26277164.400000002
country/GEO,2016,29008332.2
country/GEO,2017,27736449.8
country/GEO,2018,37779842.0
country/GEO,2019,29315748.400000002
country/GEO,2020,35208585.400000006
country/GEO,2021,28673478.228
country/GHA,2013,43662464.2
country/GHA,2014,40415821.78
country/GHA,2015,34777430.730000004
country/GHA,2016,42218849.27
country/GHA,2017,57984305.800000004
