dcid,year,climateFinanceReceivedDisbursementsAdaptationOdaGrantsCurrentUSD
country/PNG,2020,46407202.800000004
country/PNG,2021,111624763.0
country/PRY,2013,5881070.800000001
country/PRY,2014,2270352.29
country/PRY,2015,1604079.8
country/PRY,2016,3190903.6
country/PRY,2017,5396486.4
country/PRY,2018,3419754.4000000004
country/PRY,2019,2213527.2
country/PRY,2020,3852611.6
country/PRY,2021,3603111.2
country/PER,2013,30140896.0
country/PER,2014,22781077.2
country/PER,2015,21054249.26268558
country/PER,2016,24634452.51
country/PER,2017,18883354.8
country/PER,2018,19835764.400000002
country/PER,2019,27385570.0
country/PER,2020,27162966.096056405
country/PER,2021,35179475.75680499
country/PHL,2013,38333513.4
country/PHL,2014,42384009.0
country/PHL,2015,47231329.59441866
country/PHL,2016,30786796.64
country/PHL,2017,32258497.0
country/PHL,2018,22883790.98599287
country/PHL,2019,20692516.18162105
country/PHL,2020,55099131.9710659
country/PHL,2021,35441406.4
country/RWA,2013,30404142.0
country/RWA,2014,16886825.0
country/RWA,2015,48695498.25741476
country/RWA,2016,50918599.800000004
country/RWA,2017,64702720.800000004
country/RWA,2018,54960218.800000004
country/RWA,2019,58001108.479602136
country/RWA,2020,70677958.40476678
country/RWA,2021,61301176.112124205
country/SHN,2017,1161516.8
country/SHN,2019,1102173.0
country/SHN,2020,1397643.2000000002
country/SHN,2021,227192.40000000002
country/KNA,2013,30980.6
country/LCA,2013,38490.600000000006
country/LCA,2014,497369.0
country/LCA,2015,277381.0
country/LCA,2016,5462789.0
country/LCA,2017,2563451.6
country/LCA,2018,798679.6
country/LCA,2019,170844.80000000002
country/LCA,2020,604473.8
country/LCA,2021,4879385.6
country/VCT,2013,57332.2
country/VCT,2014,28904.800000000003
country/VCT,2016,5656.8
country/VCT,2017,4497246.2
country/VCT,2018,5676833.4
country/VCT,2019,445560.6
country/VCT,2020,176663.0
country/VCT,2021,1280456.8
country/WSM,2013,10708732.8
country/WSM,2014,7461046.8
country/WSM,2015,8204021.979
country/WSM,2016,15454031.02
country/WSM,2017,10487370.482490456
country/WSM,2018,15565355.576893695
country/WSM,2019,9653512.979208527
country/WSM,2020,21052845.073361326
country/WSM,2021,16524026.34122863
country/STP,2013,365404.8
country/STP,2014,1535753.8000000003
country/STP,2015,1634208.2000000002
country/STP,2016,2841594.0
country/STP,2017,2261631.8
country/STP,2018,1208974.513
country/STP,2019,3618818.14
country/STP,2020,3558938.492
country/STP,2021,2296742.0779
country/SEN,2013,24965192.400000002
country/SEN,2014,22653302.8
country/SEN,2015,28662645.758451987
country/SEN,2016,27729024.28
country/SEN,2017,21812439.2
country/SEN,2018,19438827.2
country/SEN,2019,24592406.0
country/SEN,2020,30862391.8
country/SEN,2021,34667352.95
country/SRB,2013,241871.6
country/SRB,2014,382105.19999999995
country/SRB,2015,1435658.8
country/SRB,2016,817020.4
country/SRB,2017,1025385.2000000001
country/SRB,2018,1233864.6
country/SRB,2019,4113526.4
country/SRB,2020,16621250.600000001
country/SRB,2021,3010153.2
country/SYC,2013,521510.0
country/SYC,2014,1743363.6
country/SYC,2016,1163658.6021684736
country/SYC,2017,84134.8
country/SLE,2013,1593281.2000000002
country/SLE,2014,3811676.4000000004
country/SLE,2015,1178831.4000000001
country/SLE,2016,4272605.600000001
country/SLE,2017,15183609.8
country/SLE,2018,27114180.6848
country/SLE,2019,21560539.6283
country/SLE,2020,57767387.17500235
country/SLE,2021,13033868.436499406
country/SLB,2013,14577334.8
country/SLB,2014,5157936.4
country/SLB,2015,4822732.453706506
country/SLB,2016,6657249.8
country/SLB,2017,5656465.831467474
country/SLB,2018,5550498.6879588505
country/SLB,2019,8424452.1328
country/SLB,2020,15922337.5361
country/SLB,2021,24888788.893967576
country/SOM,2013,15316734.200000001
country/SOM,2014,21027765.400000002
country/SOM,2015,18972247.0
country/SOM,2016,27778995.200000003
country/SOM,2017,35609688.2
country/SOM,2018,72628137.8
country/SOM,2019,68759814.9
country/SOM,2020,100381092.87647
country/SOM,2021,73103490.08
country/ZAF,2013,1635755.2
country/ZAF,2014,3325109.6
country/ZAF,2015,2846362.2
country/ZAF,2016,3565863.6
country/ZAF,2017,3258823.6
country/ZAF,2018,3525990.6
country/ZAF,2019,9965633.8
country/ZAF,2020,14951677.0
country/ZAF,2021,12019518.8
country/SSD,2013,44409145.2
country/SSD,2014,47221597.8
country/SSD,2015,105174948.4
country/SSD,2016,83558761.0
country/SSD,2017,95906393.2
country/SSD,2018,95068758.80000001
country/SSD,2019,98986322.4
country/SSD,2020,88279142.8784
country/SSD,2021,47348373.708875015
country/LKA,2013,2807087.0
country/LKA,2014,4504776.4
country/LKA,2015,7053156.600000001
country/LKA,2016,4599868.4
country/LKA,2017,4269179.0
country/LKA,2018,2577580.0
country/LKA,2019,4930435.265211759
country/LKA,2020,9703935.41980586
country/LKA,2021,6539017.0
country/SDN,2013,15265125.4
country/SDN,2014,10966902.6
country/SDN,2015,5687553.0
country/SDN,2016,7654045.233904881
country/SDN,2017,7524529.8
country/SDN,2018,18333056.14600928
country/SDN,2019,54651876.94773361
country/SDN,2020,47755334.440849625
country/SDN,2021,75748359.20411779
country/SUR,2013,28686.2
country/SUR,2015,2322.0
country/SUR,2016,1163904.0
country/SUR,2017,1571336.4
country/SUR,2018,2307037.8
country/SUR,2019,807893.4
country/SUR,2020,1673641.4
country/SUR,2021,3287143.8
country/SYR,2013,1543282.2
country/SYR,2014,669965.6000000001
country/SYR,2015,523288.00000000006
country/SYR,2016,75596.40000000001
country/SYR,2017,952644.8
country/SYR,2018,1909695.2000000002
country/SYR,2019,1266826.4000000001
country/SYR,2020,18178492.6
country/SYR,2021,25454518.400000002
country/TJK,2013,4093022.0
country/TJK,2014,2814018.4
country/TJK,2015,6653807.0
country/TJK,2016,7387851.0
country/TJK,2017,30282985.791417874
country/TJK,2018,21591991.400000002
country/TJK,2019,17278295.4078
country/TJK,2020,12536377.5104
country/TJK,2021,16426842.1502
country/TZA,2013,20875260.2
country/TZA,2014,31184172.2
country/TZA,2015,57311208.6
country/TZA,2016,66224833.4
country/TZA,2017,59113499.800000004
country/TZA,2018,50087073.0
country/TZA,2019,48930708.2
country/TZA,2020,42346073.29905694
country/TZA,2021,20296929.119666994
country/THA,2013,30709993.4
country/THA,2014,14525713.0
country/THA,2015,26520633.4
country/THA,2016,3190395.08
country/THA,2017,2471453.0
country/THA,2018,1911688.4000000001
country/THA,2019,2647084.8
country/THA,2020,6160816.8
country/THA,2021,5501331.2
country/TLS,2013,11019471.600000001
country/TLS,2014,13723436.8
country/TLS,2015,17272193.8
country/TLS,2016,11607635.6
country/TLS,2017,2075890.6
country/TLS,2018,3086795.0
country/TLS,2019,833850.0
country/TLS,2020,8841981.2
country/TLS,2021,16400492.8
country/TGO,2013,3561832.8000000003
country/TGO,2014,4225465.600000001
country/TGO,2015,5622049.800000001
country/TGO,2016,5102946.0
country/TGO,2017,5247417.720000001
country/TGO,2018,5200648.819
country/TGO,2019,4810931.693602714
country/TGO,2020,11389912.761879286
country/TGO,2021,18676586.29521974
country/TKL,2013,100542.6
country/TKL,2015,8676.800000000001
country/TKL,2016,579.6
country/TKL,2017,743769.6
country/TKL,2018,4074174.8000000003
country/TKL,2019,627685.2
country/TKL,2020,106993.4
country/TKL,2021,296657.80000000005
country/TON,2013,888706.4
country/TON,2014,2271733.0739102904
country/TON,2015,3301058.779137557
country/TON,2016,1110937.06
country/TON,2017,13887529.650358533
country/TON,2018,9123612.456683222
country/TON,2019,6334113.174418659
country/TON,2020,44719799.93822023
country/TON,2021,22143411.161523145
country/TUN,2013,4120507.0576630505
country/TUN,2014,6436852.840684734
country/TUN,2015,6589631.958761517
country/TUN,2016,5726192.083124821
country/TUN,2017,12094238.24668195
country/TUN,2018,11317465.880345283
country/TUN,2019,16361062.686486937
country/TUN,2020,15433085.040981773
country/TUN,2021,8940764.789767433
country/TKM,2014,26535.600000000002
country/TKM,2016,667385.0
country/TKM,2017,1903.2
country/TKM,2018,3640.0
country/TKM,2019,14364.0
country/TKM,2021,1098986.4
country/TUV,2013,3001673.4
country/TUV,2014,758102.8
country/TUV,2015,3999564.258
country/TUV,2016,637147.44
country/TUV,2017,431939.7718
country/TUV,2018,3031143.9359999998
country/TUV,2019,1408718.2709
country/TUV,2020,1989468.0188
country/TUV,2021,4282365.4023
country/TUR,2013,911987.8
country/TUR,2014,1041181.0
country/TUR,2015,197528.6
country/TUR,2016,466374.2
country/TUR,2017,458136.4
country/TUR,2018,684348.8
country/TUR,2019,16967743.59944
country/TUR,2020,13354573.8
country/TUR,2021,51533843.0
country/UGA,2013,30993650.0
country/UGA,2014,44488897.0
country/UGA,2015,39393792.59729695
country/UGA,2016,50964579.78
country/UGA,2017,32808114.0
country/UGA,2018,47601258.0
country/UGA,2019,48387849.535013504
country/UGA,2020,43308881.17846894
country/UGA,2021,48828838.5636
country/UKR,2013,2974469.0
country/UKR,2014,1880681.4000000001
country/UKR,2015,532891.0
country/UKR,2016,411624.80000000005
country/UKR,2017,307908.80000000005
country/UKR,2018,429900.6
country/UKR,2019,712592.8
country/UKR,2020,2130507.4
country/UKR,2021,4278920.600000001
country/URY,2013,201683.0
country/URY,2014,1966449.8
country/URY,2015,2846495.0
country/URY,2016,3027573.3
country/URY,2017,113517.40000000001
country/UZB,2013,853566.0000000001
country/UZB,2014,1536806.6
country/UZB,2015,1569656.6
country/UZB,2016,1449876.4000000001
country/UZB,2017,577905.0
country/UZB,2018,251771.2
country/UZB,2019,12901529.2
country/UZB,2020,7132844.0
country/UZB,2021,9965662.0
country/VUT,2013,4045957.6
country/VUT,2014,5915390.4
country/VUT,2015,17301077.0
country/VUT,2016,10359944.9
country/VUT,2017,4986832.030300001
country/VUT,2018,7381302.542
country/VUT,2019,20916172.5574
country/VUT,2020,21050166.1528
country/VUT,2021,43490859.6
country/VEN,2013,213863.6
country/VEN,2014,159188.0
country/VEN,2015,179584.2
country/VEN,2016,161369.4
country/VEN,2017,310476.6
country/VEN,2018,2286580.4
country/VEN,2019,1371022.2000000002
country/VEN,2020,2433378.6
country/VEN,2021,2433794.2
country/VNM,2013,27928437.6
country/VNM,2014,24477982.2
country/VNM,2015,22915412.6
country/VNM,2016,33577955.7512
country/VNM,2017,30152949.4
country/VNM,2018,30957779.6
country/VNM,2019,23050190.6
country/VNM,2020,30555927.8
country/VNM,2021,43131616.94649687
country/WLF,2018,98345.20000000001
country/WLF,2019,313372.8
country/WLF,2020,27414.4
country/WLF,2021,28502.0
country/PSE,2013,19579991.8
country/PSE,2014,39790353.6
country/PSE,2015,22494574.400000002
country/PSE,2016,22288535.8
country/PSE,2017,37282960.8
country/PSE,2018,53109829.6
country/PSE,2019,51573901.4
country/PSE,2020,57582055.2
country/PSE,2021,42924438.0
country/YEM,2013,15329720.8
country/YEM,2014,8882931.600000001
country/YEM,2015,2866447.2
country/YEM,2016,6418453.800000001
country/YEM,2017,5794049.2
country/YEM,2018,5644690.9399999995
country/YEM,2019,46778950.26
country/YEM,2020,64303036.98
country/YEM,2021,82633531.24929954
country/ZMB,2013,32013072.0
country/ZMB,2014,23588025.6
country/ZMB,2015,21821918.2
country/ZMB,2016,24378125.8
country/ZMB,2017,32892548.4
country/ZMB,2018,26579435.4
country/ZMB,2019,24539228.400000002
country/ZMB,2020,32550729.0
country/ZMB,2021,19211977.8
country/ZWE,2013,10782960.8
country/ZWE,2014,9906094.4
country/ZWE,2015,14706304.4
country/ZWE,2016,13368588.600000001
country/ZWE,2017,9895320.2
country/ZWE,2018,7745159.4
country/ZWE,2019,54987616.3118653
country/ZWE,2020,45083071.97049992
country/ZWE,2021,28793760.6
