dcid,year,principalRepaymentsCurrentUSD
country/CPV,1984,2251398.5
country/CPV,1989,4135114.2
country/CPV,1990,3730156.6
country/CPV,2006,25213481.5
country/CPV,2008,23931294.8
country/CPV,2023,122385492.6
country/CPV,2027,120219102.1
country/CPV,2028,122039326.4
country/CPV,1994,6133463.4
country/CPV,1998,15743229.0
country/CPV,1999,16437172.4
country/CPV,2004,18021889.8
country/CPV,2012,20055210.1
country/CPV,2014,24095481.8
country/CPV,2016,25571085.8
country/CPV,2024,130060713.0
country/CPV,2025,127069051.1
country/CPV,1983,974014.7
country/CPV,1986,2689482.0
country/CPV,1987,4278394.0
country/CPV,1993,4547147.2
country/CPV,1996,5126290.4
country/CPV,2000,11317450.7
country/CPV,2002,16197106.6
country/CPV,2003,14173134.8
country/CPV,2007,22777426.0
country/CPV,2010,25024816.7
country/CPV,2017,32615569.8
country/CPV,2019,42082553.2
country/CPV,2020,42504368.6
country/CPV,2022,106291786.3
country/CPV,2026,121292315.9
country/CPV,1981,95140.3
country/CPV,1985,2123283.1
country/CPV,1988,4205537.0
country/CPV,1991,5173218.8
country/CPV,1992,7521526.8
country/CPV,1995,5614520.1
country/CPV,1997,10377255.4
country/CPV,2001,9996358.3
country/CPV,2005,28845034.2
country/CPV,2009,24548094.1
country/CPV,2011,24942616.2
country/CPV,2013,21632444.6
country/CPV,2015,23744124.5
country/CPV,2018,36742055.2
country/CPV,2021,43410328.1
country/KHM,1995,4785000.0
country/KHM,2003,3195484.3
country/KHM,2004,5067434.6
country/KHM,2008,19425841.5
country/KHM,2009,26066546.3
country/KHM,2013,549617610.0
country/KHM,2014,584628544.5
country/KHM,2016,642679508.6
country/KHM,2023,1485359279.2
country/KHM,2025,1123859256.6
country/KHM,1996,4920000.0
country/KHM,1998,4192000.0
country/KHM,2001,921060.0
country/KHM,2020,1343509435.0
country/KHM,2002,1282400.9
country/KHM,2005,7712549.3
country/KHM,2006,15261468.1
country/KHM,2007,12646223.4
country/KHM,2010,33396100.2
country/KHM,2012,491509754.5
country/KHM,2017,887801987.6
country/KHM,2022,1934050192.0
country/KHM,2024,2006088241.2
country/KHM,2027,901174826.5
country/KHM,2028,891456566.6
country/KHM,1997,4188000.0
country/KHM,1999,8097600.5
country/KHM,2000,0.0
country/KHM,2011,276884711.2
country/KHM,2015,610281327.5
country/KHM,2018,1108765806.1
country/KHM,2019,1263157071.0
country/KHM,2021,1946826626.3
country/KHM,2026,978622090.6
country/CMR,1970,6446235.2
country/CMR,1982,195862232.9
country/CMR,1983,169538967.4
country/CMR,1984,202822516.7
country/CMR,1989,203017661.1
country/CMR,1994,198053030.7
country/CMR,1995,210967573.0
country/CMR,1996,242262024.3
country/CMR,1998,268999468.9
country/CMR,1999,267553805.6
country/CMR,2002,193829471.5
country/CMR,2004,339186244.2
country/CMR,2011,244255674.5
country/CMR,2016,550197332.8
country/CMR,2017,413089869.3
country/CMR,2020,854493052.8
country/CMR,2024,1400130124.1
country/CMR,2025,2089836675.4
country/CMR,2027,1157744712.3
country/CMR,1971,9301205.3
country/CMR,1974,18475880.8
country/CMR,1975,27744842.7
country/CMR,1977,36578254.0
country/CMR,1979,91888179.0
country/CMR,1987,389135302.8
country/CMR,1988,378816893.2
country/CMR,1990,267648362.9
country/CMR,1997,266059026.7
country/CMR,2003,239649070.1
country/CMR,2006,343187912.9
country/CMR,2009,343789274.4
country/CMR,2015,316574004.3
country/CMR,2023,1502754193.8
country/CMR,2028,1090448660.8
country/CMR,1973,18890105.7
country/CMR,1976,27212739.1
country/CMR,1981,124625316.5
country/CMR,1985,467778530.9
country/CMR,1986,428209643.0
country/CMR,1991,201366908.5
country/CMR,2000,252756842.7
country/CMR,2008,341230130.7
country/CMR,2010,159852398.1
country/CMR,2014,375082843.1
country/CMR,2018,622566960.5
country/CMR,2026,1313046421.2
country/CMR,1972,11432273.2
country/CMR,1978,71985760.9
country/CMR,1980,113972153.8
country/CMR,1992,148644779.8
country/CMR,1993,234947451.0
country/CMR,2001,187879381.0
country/CMR,2005,537184533.0
country/CMR,2007,363556418.9
country/CMR,2012,173652930.2
country/CMR,2013,210958327.2
country/CMR,2019,761609901.5
country/CMR,2021,1016925119.7
country/CMR,2022,1764319473.6
country/CAF,1981,2671789.3
country/CAF,1985,4870983.0
country/CAF,1993,1727921.5
country/CAF,1994,7681011.5
country/CAF,1998,12277310.0
country/CAF,1999,7053927.7
country/CAF,2002,307408.1
country/CAF,2005,712077.9
country/CAF,2013,3557847.4
country/CAF,2023,18593102.2
country/CAF,2028,26919474.7
country/CAF,1978,2553726.2
country/CAF,1979,286218.2
country/CAF,1982,2373710.5
country/CAF,1986,6319390.0
country/CAF,1989,8166555.1
country/CAF,1997,4093231.5
country/CAF,2003,124123.3
country/CAF,1970,2435504.9
country/CAF,2006,46988995.6
country/CAF,2010,1842995.2
country/CAF,2014,3787327.1
country/CAF,2015,859506.7
country/CAF,2017,15262789.0
country/CAF,2020,3981388.9
country/CAF,2025,23255258.3
country/CAF,1972,1114753.7
country/CAF,1975,3558935.9
country/CAF,1976,1887247.2
country/CAF,1977,3103153.3
country/CAF,1984,8356855.7
country/CAF,1988,4812394.0
country/CAF,1991,3521163.1
country/CAF,1992,5146692.7
country/CAF,1996,1830796.4
country/CAF,2000,7451472.5
country/CAF,2004,5165262.6
country/CAF,2008,12476708.5
country/CAF,2009,8374638.7
country/CAF,2016,4296284.4
country/CAF,2021,5394995.9
country/CAF,2022,16479206.7
country/CAF,2024,18608808.4
country/CAF,2026,25727182.5
country/CAF,1971,1624873.6
country/CAF,1973,3495781.8
country/CAF,1974,3477270.9
country/CAF,1980,1005970.6
country/CAF,1983,10852475.3
country/CAF,1987,9301737.6
country/CAF,1990,7598113.8
country/CAF,1995,2580475.5
country/CAF,2001,9060494.8
country/CAF,2007,42385717.7
country/CAF,2011,850878.3
country/CAF,2012,2375415.7
country/CAF,2018,10345681.9
country/CAF,2019,14556573.4
country/CAF,2027,25789039.9
country/TCD,1970,2543102.1
country/TCD,1978,2456860.3
country/TCD,1979,1824061.8
country/TCD,1986,3330603.1
country/TCD,1988,3110781.8
country/TCD,1990,3215081.1
country/TCD,1991,4058681.1
country/TCD,1993,6282742.9
country/TCD,2001,12338323.1
country/TCD,2004,14510772.2
country/TCD,2013,94036367.2
country/TCD,2021,100453812.6
country/TCD,2022,451348611.9
country/TCD,2023,357547652.4
country/TCD,2025,363034918.8
country/TCD,1974,2612027.2
country/TCD,1975,5072792.0
country/TCD,1982,1042802.2
country/TCD,1985,10283939.4
country/TCD,1992,3875109.3
country/TCD,1996,9864466.2
country/TCD,1998,8486420.2
country/TCD,1999,13406723.4
country/TCD,2000,13161412.9
country/TCD,2003,15795195.3
country/TCD,2005,24091837.8
country/TCD,2007,33825346.9
country/TCD,2008,104673879.7
country/TCD,2009,41728044.4
country/TCD,2012,58469549.7
country/TCD,2018,42706863.8
country/TCD,2019,29751121.2
country/TCD,2024,361392422.9
country/TCD,1971,5834845.6
country/TCD,1972,3580960.9
country/TCD,1973,2821096.9
country/TCD,1976,3663084.0
country/TCD,1983,183250.3
country/TCD,1987,2351796.6
country/TCD,1989,3357398.0
country/TCD,1995,3273452.7
country/TCD,1997,10938519.5
country/TCD,2010,45222319.9
country/TCD,2011,56890942.0
country/TCD,2014,538815369.5
country/TCD,2015,42182387.9
country/TCD,2016,106558964.4
country/TCD,2020,60801020.2
country/TCD,2026,322451147.2
country/TCD,2027,359053484.8
country/TCD,2028,254019282.6
country/TCD,1977,2830326.1
country/TCD,1980,2623948.8
country/TCD,1981,558000.0
country/TCD,1984,3034018.7
country/TCD,1994,7662382.6
country/TCD,2002,9257357.0
country/TCD,2006,24000746.0
country/TCD,2017,128280961.6
country/CHN,1982,1302172185.8
country/CHN,1988,2284959356.1
country/CHN,1991,4122736405.5
country/CHN,1993,6727042359.1
country/CHN,1996,10259677910.4
country/CHN,2005,20943431458.4
country/CHN,2007,20417285770.8
country/CHN,2010,18781800011.3
country/CHN,2011,24976547042.9
country/CHN,2014,38425056290.6
country/CHN,2016,131317579801.4
country/CHN,2020,180783273606.2
country/CHN,1984,1288230098.5
country/CHN,1985,1299859854.3
country/CHN,1986,1876569874.6
country/CHN,1995,9069521750.7
country/CHN,1998,11209063686.9
country/CHN,2000,19363540704.6
country/CHN,2004,16310982472.1
country/CHN,2008,23974072669.7
country/CHN,2012,29870443275.8
country/CHN,2018,160493993494.8
country/CHN,2021,225855411287.3
country/CHN,2023,143492275181.5
country/CHN,2024,132145672719.9
country/CHN,1983,1389316005.1
country/CHN,1987,1955858024.1
country/CHN,1989,2364558849.3
country/CHN,1990,3318938886.0
country/CHN,1992,5213029119.7
country/CHN,2001,17009146899.3
country/CHN,2002,24714770835.2
country/CHN,2003,30269132804.6
country/CHN,2006,18131449587.6
country/CHN,2013,36804106867.7
country/CHN,2015,84113249210.7
country/CHN,2019,180616887210.9
country/CHN,2026,81524108488.7
country/CHN,2027,36936098973.5
country/CHN,2028,27348926510.3
country/CHN,1981,1204458460.6
country/CHN,1994,6343425261.8
country/CHN,1997,11526475965.1
country/CHN,1999,19489641640.2
country/CHN,2009,33465693957.8
country/CHN,2017,144686493701.2
country/CHN,2022,184955947664.0
country/CHN,2025,94157061275.4
country/COL,1970,153053668.7
country/COL,1971,175129456.3
country/COL,1979,462597644.2
country/COL,1988,1786936185.5
country/COL,1993,2416179161.2
country/COL,1996,3382855664.3
country/COL,2000,2924877094.5
country/COL,2001,3642123783.9
country/COL,2007,5599489670.1
country/COL,2009,5928911911.8
country/COL,2010,6565742879.3
country/COL,2020,15064643844.9
country/COL,2023,16235766024.3
country/COL,2028,7732095895.9
country/COL,1975,187446399.3
country/COL,1982,415578346.4
country/COL,1984,702503026.0
country/COL,1989,2165506009.7
country/COL,2008,4916530599.7
country/COL,2013,6138178773.7
country/COL,2014,10435208846.3
country/COL,2016,10494216864.2
country/COL,2018,17863389770.5
country/COL,2019,12081184679.8
country/COL,2021,18340249928.9
country/COL,2025,8927984669.2
country/COL,1972,192712492.5
country/COL,1973,210968917.9
country/COL,1978,294685185.8
country/COL,1980,277831526.3
country/COL,1981,392018072.2
country/COL,1985,761624684.5
country/COL,1986,1113109064.2
country/COL,1990,2190832390.6
country/COL,1991,2216838130.3
country/COL,1995,2365168733.3
country/COL,1998,2594186641.9
country/COL,2002,4626755061.0
country/COL,2015,9119827291.8
country/COL,2024,12453031602.1
country/COL,2026,12078928694.0
country/COL,2027,12312284611.9
country/COL,1974,290220212.0
country/COL,1976,226511799.8
country/COL,1977,235637078.3
country/COL,1983,630905842.2
country/COL,1987,1393798810.1
country/COL,1992,2617327645.5
country/COL,1994,3895592269.0
country/COL,1997,2519413064.9
country/COL,1999,3953603361.8
country/COL,2003,6181603646.2
country/COL,2004,5262292247.5
country/COL,2005,7430183864.2
country/COL,2006,7381284923.7
country/COL,2011,6550327537.7
country/COL,2012,11370182157.8
country/COL,2017,16279809934.0
country/COL,2022,14172999825.2
country/COM,1970,47431.3
country/COM,1975,409833.7
country/COM,1981,75880.1
country/COM,1982,133129.3
country/COM,1983,302104.2
country/COM,1988,117129.0
country/COM,1990,243263.7
country/COM,1995,405000.0
country/COM,1997,1664746.6
country/COM,2002,3449785.6
country/COM,2012,5505900.2
country/COM,2020,1813562.5
country/COM,2021,1924200.6
country/COM,2023,26627154.3
country/COM,2026,36217760.6
country/COM,2028,16817928.0
country/COD,1971,29939273.2
country/COD,1973,63831173.9
country/COD,1980,191960485.9
country/COD,1981,84045479.6
country/COD,1982,59246322.8
country/COD,1990,48778067.1
country/COD,1994,429618.8
country/COD,2004,58516847.1
country/COM,1972,55687.5
country/COM,1977,250415.4
country/COM,1980,1895.9
country/COM,1986,1058483.0
country/COM,1987,246297.6
country/COM,1992,3173132.5
country/COM,1994,1986824.6
country/COM,1999,2227351.8
country/COM,2003,1758382.0
country/COM,2006,2351167.1
country/COM,2008,8135672.7
country/COM,2013,453690.4
country/COM,2016,4407149.2
country/COM,2018,1978104.1
country/COM,2022,10312904.2
country/COM,1971,45058.9
country/COM,1973,84942.8
country/COM,1978,81855.8
country/COM,1984,994212.5
country/COM,1985,350462.3
country/COM,1991,5848678.3
country/COM,2000,1210521.9
country/COM,2005,2578111.2
country/COM,2007,12820752.1
country/COM,2014,596457.6
country/COM,2015,6895212.8
country/COM,2019,1808432.0
country/COM,2027,20092276.2
country/COD,1974,126650974.0
country/COD,1975,89150616.4
country/COD,1977,45721668.7
country/COD,1996,0.0
country/COD,1999,0.0
country/COD,2000,0.0
country/COD,2003,55588713.0
country/COD,2005,111911065.4
country/COM,1974,111810.2
country/COM,1976,407017.3
country/COM,1989,169219.5
country/COM,1993,1522861.5
country/COM,1996,785017.6
country/COM,1998,1702940.3
country/COM,2001,1343129.9
country/COM,2004,1998053.7
country/COM,2009,7211407.3
country/COM,2010,3121072.7
country/COM,2011,2214224.1
country/COM,2017,1863427.8
country/COM,2024,31077424.3
country/COM,2025,33080727.6
country/COD,1970,25430631.8
country/COD,1976,37796247.3
country/COD,1984,102188825.9
country/COD,1985,104973669.7
country/COD,1987,81407710.5
country/COD,2007,154927584.4
country/COD,1972,44177040.1
country/COD,1978,50751072.6
country/COD,1979,82703834.5
country/COD,1983,84199358.3
country/COD,1986,104012495.8
country/COD,1988,79982007.7
country/COD,1989,97581228.5
country/COD,1991,41305172.3
country/COD,1992,29083778.4
country/COD,1993,4430365.7
country/COD,2001,0.0
country/COD,2002,248346416.6
country/COD,2006,141728063.6
country/COD,2008,169449506.7
country/COD,2011,132412717.7
country/COD,2013,240933524.8
country/COD,2014,263002118.6
country/COD,2019,183868393.1
country/COD,2020,145921645.0
country/COD,2021,242183575.1
country/COD,2022,693572999.9
country/COD,2026,422247922.1
country/COG,1971,5537842.8
country/COG,1984,243357466.8
country/COG,1987,312097253.7
country/COG,1989,207035281.9
country/COG,1994,301941516.3
country/COG,1995,85463871.0
country/COG,2002,11452911.2
country/COG,2013,393948112.1
country/COG,2014,440020580.3
country/COG,2016,319961172.9
country/COD,2012,108785673.5
country/COD,2023,631666330.6
country/COD,2028,475237286.0
country/COG,1974,12740572.3
country/COG,1976,11522515.7
country/COG,1977,21901487.7
country/COG,1983,216561677.3
country/COG,1986,223324780.3
country/COG,1990,349772552.4
country/COG,1991,220827198.3
country/COG,1992,116807557.4
country/COG,1997,67454865.2
country/COG,1998,10191295.7
country/COG,1999,911436.9
country/COG,2000,6486623.6
country/COG,2001,55645308.6
country/COG,2003,28118038.2
country/COG,2009,114033268.5
country/COG,2015,368372140.5
country/COG,2018,390416146.8
country/COG,2020,618308096.6
country/COG,1970,5818960.3
country/COG,1972,4730316.1
country/COG,1973,7414593.7
country/COG,1980,33622055.8
country/COG,1982,125786805.2
country/COG,1985,252552889.7
country/COG,1993,102942557.7
country/COG,2004,110746270.9
country/COG,2007,73601206.7
country/COG,2008,106845914.7
country/COG,2010,94660601.4
country/COG,2011,107729596.2
country/COG,2012,141307329.9
country/COG,2017,369900906.0
country/COG,2019,456497978.8
country/COG,2021,388515387.8
country/COD,2009,225246192.1
country/COD,2010,88572341.4
country/COD,2015,222270850.5
country/COD,2016,271174602.3
country/COD,2017,182206904.9
country/COD,2018,180026623.1
country/COD,2024,478211662.3
country/COD,2025,405660949.5
country/COD,2027,465833089.3
country/COG,1975,19899176.2
country/COG,1978,12272403.3
country/COG,1979,41810711.8
country/COG,1981,107517872.0
country/COG,1988,299766614.3
country/COG,1996,154652518.9
country/COG,2005,65350247.5
country/COG,2006,49667286.3
country/COG,2022,717910151.6
country/COG,2028,391784092.3
country/CRI,1970,42836508.0
country/CRI,1974,77023855.6
country/CRI,1977,157876825.8
country/CRI,1978,312091793.5
country/CRI,1982,131709968.6
country/CRI,1993,349730926.8
country/CRI,1994,280509440.5
country/CRI,2003,529585865.8
country/CRI,2004,689464750.5
country/CRI,2011,1149135533.0
country/CRI,2016,1720897789.3
country/CRI,2017,1797067328.2
country/CRI,2021,1852201722.5
country/CRI,2022,4200300506.6
country/CRI,2023,5021820687.8
country/CRI,2026,1595988338.0
country/CRI,2027,1590962693.6
country/CRI,1971,45099934.1
country/CRI,1972,52609704.2
country/CRI,1973,59461560.9
country/CRI,1975,105502561.6
country/CRI,1981,186346495.2
country/CRI,1988,131425621.5
country/CRI,1989,148367080.5
country/CRI,1991,184930271.6
country/CRI,1992,306787821.8
country/CRI,1996,366140656.4
country/CRI,1997,364905611.6
country/CRI,1999,365465721.5
country/CRI,2000,391925371.7
country/CRI,2002,395483580.9
country/CRI,2009,849248343.5
country/CRI,2015,1687239669.0
country/CRI,2018,2024229862.7
country/CIV,1970,30471506.2
country/CIV,1971,31693125.5
country/CIV,1978,252998779.6
country/CIV,1983,514246611.1
country/CIV,1986,397521031.1
country/CIV,1987,628721006.9
country/CIV,1988,401096301.1
country/CIV,1989,334138323.1
country/CIV,1994,710576101.7
country/CIV,1996,812315505.1
country/CIV,1999,823411416.5
country/CIV,2000,442102214.7
country/CIV,2004,207430143.1
country/CIV,2010,623384281.1
country/CIV,2013,764472903.3
country/CIV,2022,1650720325.8
country/CIV,2023,1792605252.7
country/CIV,2024,1884741136.8
country/CIV,2027,1793221092.7
country/COG,2024,519442399.1
country/COG,2025,510526270.9
country/COG,2027,471131407.5
country/CIV,1980,722203924.9
country/CIV,1981,705173683.1
country/CIV,1982,644235921.0
country/CIV,2002,435022851.6
country/CIV,2005,163984099.9
country/CIV,2006,160282616.6
country/CIV,2007,298582946.7
country/CIV,2011,567590897.8
country/CIV,2017,1729610817.5
country/CIV,2018,1035870898.9
country/CIV,2019,2247232454.9
country/CIV,2020,1565453192.8
country/CIV,2021,802912960.4
country/CIV,2025,2188451605.5
country/COG,2023,598973625.5
country/COG,2026,490392488.6
country/CRI,1985,159667692.9
country/CRI,1986,217889104.3
country/CRI,1987,91569475.1
country/CRI,1990,277903411.2
country/CRI,2005,565518185.5
country/CRI,2019,1958896181.9
country/CRI,2020,2149762377.3
country/CRI,2025,2319742439.9
country/CRI,2028,1217462073.0
country/CRI,1976,124672109.5
country/CRI,1979,274219580.2
country/CRI,1980,172480508.5
country/CRI,1983,151089620.6
country/CRI,1984,147263678.0
country/CRI,1995,363239412.9
country/CRI,1998,339141477.2
country/CRI,2001,417867021.8
country/CRI,2006,492654409.0
country/CRI,2007,555010455.1
country/CRI,2008,1116358978.5
country/CRI,2010,616618518.7
country/CRI,2012,1646377115.3
country/CRI,2013,2490384608.1
country/CRI,2014,2408913636.2
country/CRI,2024,2656899448.6
country/CIV,1979,401790895.6
country/CIV,1985,250613808.7
country/CIV,1990,498026196.8
country/CIV,1991,513188790.1
country/CIV,1995,538889790.2
country/CIV,2009,697695001.3
country/CIV,2014,644462279.4
country/CIV,2015,458203608.4
country/CIV,2016,1095690435.7
country/CIV,2028,1994713604.1
country/CIV,1972,42012050.4
country/CIV,1973,46728401.1
country/CIV,1974,81404691.0
country/CIV,1975,83193950.5
country/CIV,1976,126235455.9
country/CIV,1977,181186381.8
country/CIV,1984,315819510.8
country/CIV,1992,502446194.3
country/CIV,1993,535196454.8
country/CIV,1997,623254035.4
country/CIV,1998,670087294.7
country/CIV,2001,301103621.4
country/CIV,2003,323995633.9
country/CIV,2008,782296125.7
country/CIV,2012,514901760.8
country/CIV,2026,1886285601.4
country/DJI,1970,86252.5
country/DJI,1975,428917.0
country/DJI,1978,980356.6
country/DJI,1993,6440874.8
country/DJI,1994,8896840.5
country/DJI,2000,8401333.9
country/DJI,2006,16909825.1
country/DJI,2007,16924759.8
country/DJI,2016,30991508.9
country/DJI,2018,27189644.2
country/DJI,2020,28149459.7
country/DJI,1979,1284737.9
country/DJI,1981,2178685.4
country/DJI,1983,3052506.7
country/DJI,1987,9305544.3
country/DJI,1988,9519467.1
country/DJI,1989,9109537.7
country/DJI,1990,8906715.7
country/DJI,1991,8218625.1
country/DJI,1992,7660873.9
country/DJI,1995,9165860.0
country/DJI,2013,30768881.3
country/DJI,2023,182479741.3
country/DJI,2027,195672264.9
country/DMA,1982,531013.7
country/DMA,1998,7179344.2
country/DMA,1981,391382.3
country/DMA,1983,338666.9
country/DMA,1984,911545.8
country/DMA,1985,1084258.8
country/DMA,1991,2945925.3
country/DMA,1995,3745594.3
country/DMA,2000,6834338.5
country/DJI,1971,118466.8
country/DJI,1972,163765.3
country/DJI,1973,221253.2
country/DJI,1976,683372.8
country/DJI,1984,2991398.5
country/DJI,1985,1904946.8
country/DJI,1996,8786448.5
country/DJI,1999,6323797.2
country/DJI,2003,10900343.3
country/DJI,2004,13351545.5
country/DJI,2010,22423013.4
country/DJI,2011,26573667.4
country/DJI,2014,26816205.2
country/DJI,2015,27528638.6
country/DJI,2024,207873588.7
country/DJI,1974,231083.1
country/DJI,1977,725476.4
country/DJI,1980,2243501.5
country/DJI,1982,2449897.6
country/DJI,1986,4231688.4
country/DJI,1997,5046525.7
country/DJI,1998,3270260.5
country/DJI,2001,6836128.5
country/DJI,2002,7624033.0
country/DJI,2005,11094500.2
country/DJI,2008,17625538.3
country/DJI,2009,19949699.9
country/DJI,2012,30218316.8
country/DJI,2017,25072467.7
country/DJI,2019,34723610.8
country/DJI,2021,23202986.8
country/DJI,2022,171921929.7
country/DMA,1988,2153475.6
country/DMA,1992,3010543.5
country/DMA,1994,4560845.3
country/DMA,1997,6398004.4
country/DMA,2001,7573623.1
country/DMA,2002,6074240.8
country/DMA,2003,6890294.3
country/DMA,2004,7612141.3
country/DJI,2025,202585151.3
country/DJI,2026,203381145.7
country/DJI,2028,197012929.4
country/DMA,1986,1569917.0
country/DMA,1987,1859125.4
country/DMA,1989,2876187.5
country/DMA,1990,2773863.2
country/DMA,1993,4370261.5
country/DMA,1996,3132336.6
country/DMA,1999,7447694.1
country/DMA,2005,9613084.6
country/DMA,2016,18059245.7
country/DMA,2025,17943911.4
country/DMA,2026,33618328.8
country/DMA,2028,15898848.1
country/DMA,2006,10561230.3
country/DMA,2008,12923281.9
country/DMA,2007,10505745.7
country/DMA,2015,14308102.3
country/DMA,2019,18539080.5
country/DMA,2020,19108180.9
country/DMA,2027,18099744.7
country/DMA,2009,14763310.9
country/DMA,2010,9835524.8
country/DMA,2011,9436955.6
country/DMA,2013,9925391.2
country/DMA,2014,11513747.8
country/DMA,2017,19531734.2
country/DMA,2021,10588087.0
country/DMA,2022,21970817.0
country/DMA,2023,22890021.5
country/DMA,2012,7848885.7
country/DMA,2018,23473363.5
country/DMA,2024,38663018.9
country/DOM,1975,64770000.0
country/DOM,1977,93061828.0
country/DOM,1980,138248216.1
country/DOM,1987,102291135.8
country/DOM,1988,110688494.3
country/DOM,1997,199213123.3
country/DOM,2002,385718473.7
country/DOM,2004,473895998.3
country/DOM,2007,944909297.6
country/DOM,2016,2074611075.6
country/DOM,2017,1961172529.0
country/DOM,1971,33824000.0
country/DOM,1973,43722000.0
country/DOM,1976,76360000.0
country/DOM,1978,106549137.5
country/DOM,1979,230662949.9
country/DOM,1981,139625317.7
country/DOM,1990,93492699.7
country/DOM,1992,190064307.7
country/DOM,1995,206498769.8
country/DOM,1999,180286684.0
country/DOM,2000,263552176.6
country/DOM,2003,597113740.6
country/DOM,2012,1521735609.9
country/DOM,2020,4585881852.8
country/DOM,2021,715182430.6
country/DOM,2023,1807551509.4
country/DOM,2024,2599522313.8
country/DOM,2026,4895629961.4
country/DOM,2028,2547655273.9
country/DOM,1982,183112435.1
country/DOM,1985,89473714.8
country/DOM,1986,107332651.6
country/DOM,1991,121115861.8
country/DOM,1993,174514265.2
country/DOM,1994,292872818.2
country/DOM,1998,160111040.0
country/DOM,2006,934559991.6
country/DOM,2011,796075620.8
country/DOM,2013,1646165607.0
country/DOM,2014,1907514495.3
country/DOM,2019,1848732696.7
country/DOM,2022,2318094811.5
country/DOM,1970,27526000.0
country/DOM,1972,32819000.0
country/DOM,1974,46341000.0
country/DOM,1983,190272396.8
country/DOM,1984,96459238.3
country/DOM,1989,119773499.7
country/DOM,1996,196652511.6
country/DOM,2001,383229997.7
country/DOM,2005,461967099.1
country/DOM,2008,823420098.9
country/DOM,2009,896233279.8
country/DOM,2010,798608355.0
country/DOM,2015,3782332479.0
country/DOM,2018,1422046100.3
country/DOM,2025,2593645985.5
country/DOM,2027,3112681026.9
country/ECU,1970,29513163.0
country/ECU,1975,67382689.5
country/ECU,1976,114309354.4
country/ECU,1981,810864201.1
country/ECU,1983,201802351.4
country/ECU,1984,228817029.9
country/ECU,1986,381149788.0
country/ECU,1993,492517876.5
country/ECU,1997,1182234283.9
country/ECU,1998,801815082.9
country/ECU,2003,1279993265.9
country/ECU,2004,2601851093.9
country/ECU,2005,3047900486.9
country/ECU,2008,1484547669.4
country/ECU,2012,1918858451.7
country/ECU,2015,3807025527.0
country/ECU,2018,6443222449.9
country/ECU,2019,6505134719.4
country/ECU,2026,2953333502.3
country/ECU,2027,2666214045.1
country/ECU,1972,39398764.7
country/ECU,1978,195222040.6
country/ECU,1987,352376171.0
country/ECU,1991,502106939.1
country/ECU,1996,626571880.0
country/ECU,1999,1124348038.2
country/ECU,2009,7276503646.7
country/ECU,2011,1848798519.8
country/ECU,2014,3053792569.6
country/ECU,2017,4557714005.4
country/ECU,2025,2612305194.4
country/EGY,1975,191885499.7
country/EGY,1976,169135400.5
country/EGY,1977,188014068.5
country/EGY,1978,190903950.8
country/EGY,1986,1239128417.1
country/EGY,1989,1484443329.8
country/EGY,1991,1641922152.7
country/EGY,1993,971033838.4
country/EGY,1997,1070037797.5
country/EGY,2007,1969033940.0
country/EGY,2009,2054294542.8
country/EGY,2010,2164317001.5
country/EGY,2024,10877509718.7
country/EGY,2025,5346868802.2
country/EGY,1972,275285299.6
country/EGY,1979,207159849.1
country/EGY,1980,343015193.0
country/EGY,1983,718183287.5
country/EGY,1988,1203207143.0
country/EGY,1990,1703553112.4
country/EGY,1992,1428771598.3
country/EGY,1999,1209552120.0
country/EGY,2000,1100959813.5
country/EGY,2001,1113467291.3
country/EGY,2006,1630545702.5
country/EGY,2011,2855042754.4
country/EGY,2013,2614114621.1
country/EGY,2015,2887166944.9
country/EGY,2017,4622321057.8
country/EGY,2020,9606346414.2
country/EGY,2027,5227551534.9
country/ECU,1971,36695633.6
country/ECU,1973,45015594.9
country/ECU,1974,93072133.3
country/ECU,1977,132157580.2
country/ECU,1979,856294351.1
country/ECU,1982,1180088691.9
country/ECU,1988,555040669.4
country/ECU,1990,501485593.7
country/ECU,1994,491613039.5
country/ECU,2006,2877558104.2
country/ECU,2007,2339565739.8
country/ECU,2016,3860349581.2
country/ECU,2020,7548144262.6
country/ECU,1980,540300453.9
country/ECU,1985,277476454.8
country/ECU,1989,452043190.8
country/ECU,1992,488909717.8
country/ECU,1995,725622070.3
country/ECU,2000,1797873321.6
country/ECU,2001,1063482164.6
country/ECU,2002,1463453830.5
country/ECU,2010,1259021775.9
country/ECU,2013,2282249467.4
country/ECU,2021,4440670749.9
country/ECU,2022,4273226522.5
country/ECU,2023,4291540053.9
country/ECU,2024,3502413974.4
country/ECU,2028,2583652001.1
country/EGY,1974,242947304.6
country/EGY,1981,481472055.8
country/EGY,1982,600462127.5
country/EGY,1984,944595264.0
country/EGY,1985,1394957879.1
country/EGY,1994,917171302.1
country/EGY,1996,1028347324.1
country/EGY,2002,1279664739.1
country/EGY,2003,2000677924.7
country/EGY,2004,1419617450.0
country/EGY,2008,2345548619.1
country/EGY,2012,2252524278.0
country/EGY,2018,5766476501.8
country/EGY,2022,11968393529.3
country/EGY,2023,9103427186.7
country/EGY,2026,7934212154.8
country/EGY,1970,224722711.1
country/EGY,1971,186575473.9
country/EGY,1973,386626131.2
country/EGY,1987,820916254.6
country/EGY,1995,893729170.7
country/EGY,1998,962727192.2
country/EGY,2005,1577159092.0
country/EGY,2014,5134718580.6
