dcid,year,HivNewInfectionsMalePeople
country/DOM,2014,2100.0
country/DOM,2015,2000.0
country/DOM,2021,2700.0
country/ECU,1993,1100.0
country/ECU,2001,2000.0
country/ECU,2002,1800.0
country/ECU,2013,1500.0
country/ECU,2014,1500.0
country/ECU,2018,1400.0
country/EGY,1999,100.0
country/EGY,2005,500.0
country/EGY,2006,500.0
country/EGY,2007,500.0
country/EGY,2011,1000.0
country/EGY,2012,1100.0
country/EGY,2019,3200.0
country/EGY,2022,4500.0
country/SLV,1991,1000.0
country/SLV,1995,1100.0
country/SLV,2002,1300.0
country/SLV,2005,1200.0
country/SLV,2010,1000.0
country/SLV,2013,1000.0
country/SLV,2016,1000.0
country/GNQ,1994,1000.0
country/GNQ,1997,1000.0
country/GNQ,1998,1000.0
country/GNQ,2001,1200.0
country/GNQ,2002,1300.0
country/GNQ,2005,1600.0
country/GNQ,2008,1900.0
country/GNQ,2020,2200.0
country/GNQ,2022,2000.0
country/ERI,1994,1100.0
country/ERI,1995,1100.0
country/ERI,1996,1000.0
country/FJI,1994,100.0
country/FJI,1997,100.0
country/FJI,2002,100.0
country/FJI,2008,100.0
country/FJI,2009,100.0
country/FJI,2012,100.0
country/FJI,2013,100.0
country/FJI,2014,100.0
country/FJI,2019,500.0
country/FRA,1992,4600.0
country/FRA,1993,4600.0
country/FRA,1995,4700.0
country/FRA,1996,4700.0
country/FRA,1997,4500.0
country/FRA,2001,4600.0
country/FRA,2002,4800.0
country/FRA,2005,4800.0
country/FRA,2010,4600.0
country/FRA,2022,3800.0
country/GAB,1990,1000.0
country/GAB,1991,1000.0
country/GAB,1995,1500.0
country/GAB,2005,1200.0
country/GAB,2006,1200.0
country/GAB,2008,1100.0
country/GAB,2013,1000.0
country/GAB,2021,1000.0
country/GMB,1991,500.0
country/GMB,1992,500.0
country/GMB,1993,500.0
country/GMB,1996,1000.0
country/GMB,2001,1100.0
country/GMB,2007,1100.0
country/GMB,2009,1100.0
country/GMB,2010,1000.0
country/GMB,2013,1000.0
country/GMB,2016,1000.0
country/GMB,2018,1000.0
country/GMB,2019,1000.0
country/GMB,2022,1000.0
country/GEO,1990,100.0
country/GEO,2000,100.0
country/GEO,2003,500.0
country/GEO,2005,500.0
country/GEO,2007,500.0
country/GEO,2008,500.0
country/GEO,2012,500.0
country/GEO,2013,500.0
country/GEO,2017,500.0
country/GEO,2020,500.0
country/GEO,2021,500.0
country/DEU,2011,2100.0
country/DEU,2012,2200.0
country/DEU,2013,2200.0
country/DEU,2014,2200.0
country/DEU,2016,2100.0
country/DEU,2018,1800.0
country/GHA,1990,12000.0
country/GHA,1991,13000.0
country/GHA,1998,13000.0
country/GHA,1999,13000.0
country/GHA,2001,12000.0
country/GHA,2002,12000.0
country/GHA,2004,11000.0
country/ERI,2000,1000.0
country/ERI,2001,1000.0
country/ERI,2006,500.0
country/ERI,2011,500.0
country/ERI,2014,500.0
country/ERI,2018,100.0
country/ERI,2022,100.0
country/EST,1991,100.0
country/EST,1992,100.0
country/EST,1994,100.0
country/EST,1996,100.0
country/EST,1999,100.0
country/EST,2009,500.0
country/EST,2010,500.0
country/EST,2012,500.0
country/EST,2018,100.0
country/EST,2022,100.0
country/SWZ,1993,8600.0
country/SWZ,1996,10000.0
country/SWZ,1997,9500.0
country/SWZ,1999,8500.0
country/SWZ,2001,7800.0
country/SWZ,2004,7200.0
country/SWZ,2007,6100.0
country/SWZ,2008,6000.0
country/SWZ,2011,5100.0
country/SWZ,2022,1300.0
country/ETH,1990,50000.0
country/ETH,1993,57000.0
country/ETH,1995,46000.0
country/ETH,1996,42000.0
country/ETH,2011,11000.0
country/ETH,2018,5000.0
country/ETH,2020,3700.0
country/FJI,1992,100.0
country/FJI,1996,100.0
country/FJI,1998,100.0
country/FJI,1999,100.0
country/FJI,2007,100.0
country/FJI,2010,100.0
country/FJI,2011,100.0
country/FJI,2015,100.0
country/FJI,2016,100.0
country/FJI,2017,100.0
country/FJI,2018,500.0
country/FJI,2021,500.0
country/FRA,1998,4300.0
country/FRA,1999,4200.0
country/FRA,2000,4500.0
country/FRA,2003,4900.0
country/FRA,2008,4600.0
country/FRA,2013,4500.0
country/FRA,2014,4300.0
country/FRA,2016,3900.0
country/FRA,2021,3800.0
country/GAB,1994,1400.0
country/GAB,1996,1600.0
country/GAB,2002,1400.0
country/GAB,2004,1200.0
country/GAB,2012,1000.0
country/GAB,2014,1000.0
country/GAB,2016,1000.0
country/GAB,2019,500.0
country/GAB,2020,1000.0
country/GHA,2009,9300.0
country/GHA,2012,8300.0
country/GHA,2018,7900.0
country/GRC,1990,500.0
country/GRC,1997,500.0
country/GRC,2007,1000.0
country/GRC,2008,1000.0
country/GRC,2011,1000.0
country/GRC,2013,1000.0
country/GRC,2014,1000.0
country/GRC,2018,500.0
country/GRC,2019,500.0
country/GRD,1991,100.0
country/GRD,2003,100.0
country/GRD,2010,100.0
country/GRD,2011,100.0
country/GRD,2016,100.0
country/GRD,2017,100.0
country/GRD,2020,100.0
country/GTM,1998,2000.0
country/GTM,2007,1000.0
country/GTM,2013,500.0
country/GTM,2017,1000.0
country/GIN,2000,4600.0
country/GIN,2003,4300.0
country/GIN,2006,4200.0
country/GIN,2007,4000.0
country/GIN,2011,3600.0
country/GIN,2017,3400.0
country/GIN,2022,2200.0
country/GNB,1990,500.0
country/GNB,1998,2200.0
country/GNB,2001,2200.0
country/GNB,2003,1800.0
country/GNB,2005,1500.0
country/GNB,2015,1000.0
country/GNB,2017,1000.0
country/GNB,2018,1000.0
country/GNB,2020,1000.0
country/GUY,1994,100.0
country/GUY,2000,500.0
country/GUY,2002,500.0
country/GUY,2006,500.0
country/GUY,2007,500.0
country/GUY,2012,500.0
country/GUY,2018,500.0
country/GUY,2020,500.0
country/HTI,1991,8900.0
country/HTI,1993,7500.0
country/HTI,1996,6300.0
country/HTI,2002,5300.0
country/HTI,2007,4100.0
country/HTI,2011,3900.0
country/HTI,2012,3800.0
country/HND,1990,1500.0
country/HND,1993,2200.0
country/HND,1995,2500.0
country/HND,1998,2300.0
country/HND,2000,1900.0
country/HND,2002,1400.0
country/HND,2003,1200.0
country/HND,2006,1000.0
country/HND,2007,1000.0
country/HND,2019,500.0
country/GMB,1999,1100.0
country/GMB,2002,1100.0
country/GMB,2008,1100.0
country/GMB,2012,1000.0
country/GMB,2020,1000.0
country/GEO,1991,100.0
country/GEO,1993,100.0
country/GEO,1994,100.0
country/GEO,1997,100.0
country/GEO,1998,100.0
country/GEO,2006,500.0
country/GEO,2009,500.0
country/GEO,2014,500.0
country/GEO,2019,500.0
country/DEU,2010,2300.0
country/DEU,2019,1800.0
country/GHA,2003,11000.0
country/GHA,2005,11000.0
country/GHA,2006,10000.0
country/GHA,2007,9600.0
country/GHA,2008,9100.0
country/GHA,2010,9000.0
country/GHA,2013,8400.0
country/GHA,2014,8300.0
country/GHA,2017,7900.0
country/GHA,2019,7800.0
country/GHA,2022,5600.0
country/GRC,1993,500.0
country/GRC,1994,500.0
country/GRC,1996,500.0
country/GRC,2001,500.0
country/GRC,2003,500.0
country/GRC,2004,500.0
country/GRC,2005,500.0
country/GRC,2012,1000.0
country/GRC,2015,1000.0
country/GRC,2016,500.0
country/GRD,1993,100.0
country/GRD,1995,100.0
country/GRD,1997,100.0
country/GRD,2004,100.0
country/GRD,2005,100.0
country/GRD,2006,100.0
country/GRD,2008,100.0
country/GRD,2022,100.0
country/GTM,1992,2400.0
country/GTM,1993,2400.0
country/GTM,1994,2400.0
country/GTM,1997,2200.0
country/GTM,2002,1500.0
country/GTM,2003,1300.0
country/GTM,2006,1000.0
country/GTM,2009,1000.0
country/GTM,2012,1000.0
country/GTM,2022,1000.0
country/GIN,1992,3300.0
country/GIN,1994,4100.0
country/GIN,1995,4300.0
country/GIN,1998,4600.0
country/GIN,2002,4400.0
country/GIN,2009,3900.0
country/GIN,2010,3700.0
country/GIN,2012,3400.0
country/GIN,2013,3000.0
country/HND,2022,500.0
country/ISL,2001,100.0
country/ISL,2007,100.0
country/ISL,2011,100.0
country/IDN,1993,1000.0
country/IDN,1999,10000.0
country/IDN,2002,32000.0
country/IDN,2004,33000.0
country/IDN,2008,32000.0
country/IDN,2010,31000.0
country/IDN,2012,29000.0
country/IDN,2016,21000.0
country/IDN,2017,20000.0
country/IDN,2018,18000.0
country/IDN,2021,16000.0
country/IRN,1994,500.0
country/IRN,1997,1300.0
country/IRN,1999,2300.0
country/IRN,2010,2600.0
country/IRN,2021,1400.0
country/IRN,2022,1700.0
country/IRQ,1990,100.0
country/IRQ,1992,100.0
country/IRQ,1998,100.0
country/IRQ,2004,100.0
country/IRQ,2005,100.0
country/IRQ,2006,100.0
country/IRQ,2010,100.0
country/IRQ,2011,100.0
country/IRQ,2012,100.0
country/ITA,1993,4100.0
country/ITA,1994,4100.0
country/ITA,1995,4100.0
country/ITA,2004,3600.0
country/ITA,2005,3600.0
country/ITA,2011,3300.0
country/ITA,2012,3300.0
country/ITA,2013,3200.0
country/ITA,2019,2200.0
country/JAM,1990,1800.0
country/JAM,1991,1600.0
country/JAM,1992,1600.0
country/JAM,1993,1600.0
country/JAM,1994,1600.0
country/JAM,1995,1400.0
country/JAM,1999,1300.0
country/JAM,2000,1300.0
country/JAM,2005,1100.0
country/JAM,2011,1000.0
country/JAM,2022,1000.0
country/JOR,1991,100.0
country/JOR,2004,100.0
country/JOR,2006,100.0
country/JOR,2007,100.0
country/JOR,2014,100.0
country/JOR,2019,100.0
country/KEN,1995,74000.0
country/KEN,1996,68000.0
country/KEN,1998,58000.0
country/KEN,2002,46000.0
country/KEN,2007,35000.0
country/KEN,2013,21000.0
country/KEN,2016,13000.0
country/KEN,2022,7400.0
country/GIN,2018,3400.0
country/GIN,2020,2600.0
country/GNB,1994,1000.0
country/GNB,2004,1600.0
country/GNB,2013,1000.0
country/GNB,2019,1000.0
country/GNB,2021,1000.0
country/GUY,1990,100.0
country/GUY,1995,500.0
country/GUY,2009,500.0
country/GUY,2013,500.0
country/GUY,2019,500.0
country/GUY,2021,500.0
country/HTI,1992,8200.0
country/HTI,1995,6500.0
country/HTI,1997,6000.0
country/HTI,2000,5600.0
country/HTI,2003,5000.0
country/HTI,2019,3300.0
country/HND,1994,2400.0
country/HND,1996,2500.0
country/HND,1997,2400.0
country/HND,1999,2100.0
country/HND,2004,1000.0
country/HND,2005,1000.0
country/HND,2009,500.0
country/HND,2020,500.0
country/HND,2021,500.0
country/ISL,1993,100.0
country/ISL,1996,100.0
country/ISL,2005,100.0
country/ISL,2006,100.0
country/ISL,2008,100.0
country/ISL,2013,100.0
country/ISL,2018,100.0
country/ISL,2021,100.0
country/IDN,1991,500.0
country/IDN,1992,1000.0
country/IDN,1994,1700.0
country/IDN,1996,4300.0
country/IDN,1998,7600.0
country/IDN,2006,35000.0
country/IDN,2007,33000.0
country/IRN,1992,500.0
country/IRN,2000,3300.0
country/IRN,2001,4500.0
country/IRN,2003,6400.0
country/IRN,2004,6700.0
country/IRN,2006,5700.0
country/IRN,2011,2100.0
country/IRN,2017,1300.0
country/IRN,2018,1300.0
country/IRN,2019,1300.0
country/IRN,2020,1300.0
country/IRQ,1995,100.0
country/IRQ,1996,100.0
country/IRQ,1997,100.0
country/IRQ,2001,100.0
country/IRQ,2002,100.0
country/IRQ,2015,500.0
country/IRQ,2017,500.0
country/IRQ,2019,500.0
country/IRQ,2020,500.0
country/IRQ,2021,500.0
country/KGZ,1999,100.0
country/KGZ,2000,100.0
country/KGZ,2002,500.0
country/KGZ,2011,500.0
country/KGZ,2015,500.0
country/KGZ,2017,500.0
country/LAO,2000,500.0
country/LAO,2002,1000.0
country/LAO,2003,1000.0
country/LAO,2004,1000.0
country/LAO,2005,1000.0
country/LAO,2015,1000.0
country/LAO,2017,1000.0
country/LAO,2019,1000.0
country/LVA,1994,500.0
country/LVA,1996,500.0
country/LVA,1998,500.0
country/LVA,2000,500.0
country/LVA,2001,500.0
country/LVA,2003,500.0
country/LVA,2011,500.0
country/LVA,2020,500.0
country/LVA,2022,500.0
country/LSO,1993,9600.0
country/LSO,1998,12000.0
country/LSO,2001,11000.0
country/LSO,2002,11000.0
country/LSO,2003,11000.0
country/LSO,2008,9300.0
country/LSO,2009,8500.0
country/LSO,2010,7700.0
country/LSO,2012,6900.0
country/LSO,2015,5400.0
country/LSO,2017,4000.0
country/LSO,2018,3300.0
country/LSO,2021,2200.0
country/LBR,1990,2100.0
country/LBR,1991,1800.0
country/LBR,1996,1500.0
country/LBR,1999,1800.0
country/LBR,2002,1700.0
country/LBR,2005,1500.0
country/LBR,2008,1300.0
country/LBR,2009,1200.0
country/LBR,2014,1000.0
country/LBR,2016,1000.0
country/LBR,2018,1000.0
country/LTU,1996,500.0
country/LTU,1997,500.0
country/LTU,1999,500.0
country/LTU,2013,500.0
country/LTU,2014,500.0
country/LTU,2015,500.0
country/LTU,2018,500.0
country/LTU,2020,500.0
country/LTU,2022,500.0
country/LUX,1993,100.0
country/LUX,2004,100.0
country/LUX,2005,100.0
country/LUX,2007,100.0
country/LUX,2011,100.0
country/LUX,2014,100.0
country/LUX,2021,100.0
country/LUX,2022,100.0
country/MDG,1990,100.0
country/MDG,1992,100.0
country/MDG,1998,500.0
country/MDG,2005,1000.0
country/MDG,2006,1000.0
country/MDG,2011,1200.0
country/MDG,2013,1600.0
country/MDG,2015,2000.0
country/MDG,2019,2700.0
country/MWI,1990,48000.0
country/MWI,1993,58000.0
country/MWI,1998,48000.0
country/MWI,2007,29000.0
country/MWI,2011,24000.0
country/MWI,2012,22000.0
country/MWI,2013,21000.0
country/MWI,2016,16000.0
country/MWI,2017,13000.0
country/MYS,1990,7200.0
country/MYS,2003,4800.0
country/MYS,2006,4800.0
country/MYS,2009,4900.0
country/MYS,2011,4800.0
country/MYS,2013,4600.0
country/MYS,2016,3600.0
country/MYS,2017,3200.0
country/MDV,1998,100.0
country/MDV,1999,100.0
country/MDV,2002,100.0
country/MDV,2003,100.0
country/MDV,2005,100.0
country/MDV,2006,100.0
country/MDV,2011,100.0
country/MDV,2018,100.0
country/MDV,2020,100.0
country/MLI,1991,5600.0
country/MLI,1999,5000.0
country/MLI,2009,3800.0
country/MLI,2012,3100.0
country/MLI,2016,3100.0
country/MLI,2017,3100.0
country/MLI,2019,3000.0
country/ITA,1997,4000.0
country/ITA,2001,3700.0
country/ITA,2002,3700.0
country/ITA,2006,3600.0
country/ITA,2008,3500.0
country/ITA,2009,3500.0
country/ITA,2021,1800.0
country/JAM,1996,1400.0
country/JAM,2001,1200.0
country/JAM,2002,1200.0
country/JAM,2003,1200.0
country/JAM,2012,1000.0
country/JAM,2020,1000.0
country/JAM,2021,1000.0
country/JOR,1992,100.0
country/JOR,1999,100.0
country/JOR,2000,100.0
country/JOR,2003,100.0
country/JOR,2005,100.0
country/JOR,2010,100.0
country/JOR,2011,100.0
country/JOR,2012,100.0
country/JOR,2013,100.0
country/JOR,2016,100.0
country/JOR,2018,100.0
country/KEN,1992,90000.0
country/KEN,1993,88000.0
country/KEN,1997,63000.0
country/KEN,1999,55000.0
country/KEN,2003,44000.0
country/KEN,2019,9300.0
country/KEN,2021,8400.0
country/KGZ,1991,100.0
country/KGZ,1992,100.0
country/KGZ,1993,100.0
country/KGZ,1996,100.0
country/KGZ,2003,100.0
country/KGZ,2005,500.0
country/KGZ,2007,500.0
country/KGZ,2014,500.0
country/KGZ,2019,500.0
country/KGZ,2022,500.0
country/LAO,1990,100.0
country/LAO,1995,100.0
country/LAO,1996,500.0
country/LAO,1999,500.0
country/LAO,2006,1000.0
country/LAO,2008,1000.0
country/LAO,2009,1000.0
country/LAO,2010,1000.0
country/LAO,2011,1000.0
country/LAO,2014,1000.0
country/LAO,2018,1000.0
country/LAO,2020,1000.0
country/LAO,2021,1000.0
country/LVA,1999,1000.0
country/LVA,2004,500.0
country/LVA,2008,500.0
country/LVA,2015,500.0
country/LVA,2017,500.0
country/LSO,1992,7000.0
country/LSO,1995,13000.0
country/LSO,2004,11000.0
country/LSO,2005,11000.0
country/LSO,2006,10000.0
country/LSO,2007,9700.0
country/LSO,2016,4500.0
country/LBR,1994,1700.0
country/LBR,2001,1700.0
country/LBR,2017,1000.0
country/LBR,2022,500.0
country/LTU,1990,100.0
country/LTU,1991,100.0
country/LTU,1993,100.0
country/LTU,1995,100.0
country/LTU,1998,500.0
country/LTU,2000,500.0
country/LTU,2001,500.0
country/LTU,2005,500.0
country/LTU,2011,500.0
country/LTU,2017,500.0
country/LTU,2019,500.0
country/LUX,1990,100.0
country/LUX,1997,100.0
country/LUX,1998,100.0
country/LUX,1999,100.0
country/LUX,2002,100.0
country/LUX,2006,100.0
country/LUX,2009,100.0
country/LUX,2018,100.0
country/MDG,1991,100.0
country/MDG,2004,1000.0
country/MDG,2007,1000.0
country/MDG,2012,1400.0
country/MDG,2014,1800.0
country/MDG,2016,2200.0
country/MDG,2017,2400.0
country/MDG,2021,2900.0
country/MWI,1992,56000.0
country/MWI,1994,57000.0
country/MWI,2002,38000.0
country/MWI,2003,36000.0
country/MWI,2015,18000.0
country/MWI,2018,11000.0
country/MWI,2020,8100.0
country/MWI,2021,7100.0
country/MWI,2022,6100.0
country/MYS,1994,4200.0
country/MYS,1995,4300.0
country/MYS,1998,4700.0
country/MYS,2001,5000.0
country/MYS,2007,4900.0
country/MYS,2012,4800.0
country/MYS,2020,2700.0
country/MDV,1992,100.0
country/MDV,2000,100.0
country/MDV,2014,100.0
country/MDV,2015,100.0
country/MDV,2016,100.0
country/MDV,2017,100.0
country/MDV,2022,100.0
country/MLI,1990,5100.0
country/MLI,1997,5200.0
country/MLI,2002,4500.0
country/MLI,2005,4100.0
country/MLI,2006,4100.0
country/MLI,2007,3900.0
country/MLI,2008,4000.0
country/BDI,2013,1700.0
country/BDI,2016,1100.0
country/CPV,1991,500.0
country/CPV,1995,500.0
country/CPV,1998,500.0
country/CPV,1999,500.0
country/CPV,2000,500.0
country/CPV,2001,500.0
country/CPV,2002,500.0
country/CPV,2004,500.0
country/CPV,2008,100.0
country/CPV,2013,100.0
country/CPV,2020,100.0
country/KHM,1990,500.0
country/KHM,1994,5800.0
country/KHM,1996,8400.0
country/KHM,2002,2400.0
country/KHM,2005,1700.0
country/KHM,2009,1100.0
country/KHM,2013,1000.0
country/KHM,2019,1000.0
country/CMR,1990,6100.0
country/CMR,1995,20000.0
country/CMR,2000,24000.0
country/CMR,2002,21000.0
country/CMR,2005,18000.0
country/CMR,2006,17000.0
country/CMR,2009,14000.0
country/CMR,2013,9400.0
country/CMR,2014,9100.0
country/CMR,2017,6900.0
country/CMR,2021,4400.0
country/CAN,1992,1900.0
country/CAN,1993,1900.0
country/CAN,2008,1800.0
country/CAN,2013,1400.0
country/CAN,2015,1400.0
country/CAF,1990,5800.0
country/CAF,1991,6500.0
country/CAF,1993,7600.0
country/CAF,1994,7700.0
country/CAF,1997,7500.0
country/CAF,2004,5600.0
country/CAF,2007,5000.0
country/CAF,2010,4500.0
country/CAF,2013,4300.0
country/CAF,2015,3700.0
country/CAF,2016,3500.0
country/CAF,2017,3500.0
country/CAF,2022,3600.0
country/TCD,1992,4800.0
country/TCD,1996,4800.0
country/TCD,1998,5100.0
country/TCD,1999,4700.0
country/TCD,2002,4300.0
country/TCD,2009,3300.0
country/TCD,2017,2400.0
country/TCD,2022,1600.0
country/CHL,1991,1000.0
country/CHL,1993,1200.0
country/CHL,1994,1400.0
country/CHL,1997,2000.0
country/CHL,2006,1400.0
country/CHL,2017,3600.0
country/CHL,2019,3800.0
country/MLI,2014,3300.0
country/MLI,2015,3100.0
country/MLI,2021,2600.0
country/CHL,2021,3900.0
country/CHL,2022,4000.0
country/COL,2001,7700.0
country/COL,2004,7300.0
country/COL,2009,8200.0
country/COL,2010,8000.0
country/COL,2014,7200.0
country/COL,2015,7400.0
country/COL,2016,7400.0
country/COL,2018,8300.0
country/COM,1990,100.0
country/COM,1991,100.0
country/COM,1993,100.0
country/COM,1995,100.0
country/COM,1999,100.0
country/COM,2006,100.0
country/COM,2010,100.0
country/COM,2013,100.0
country/COM,2018,100.0
country/COG,1990,3500.0
country/COG,1992,3200.0
country/COG,1996,2900.0
country/COG,2000,2800.0
country/COG,2001,2700.0
country/COG,2002,2800.0
country/COG,2015,3900.0
country/COG,2019,4800.0
country/CRI,1995,500.0
country/CRI,2001,500.0
country/CRI,2009,1000.0
country/CRI,2010,1000.0
country/CRI,2014,1000.0
country/CRI,2016,1000.0
country/CUB,1992,500.0
country/CUB,1997,500.0
country/CUB,2001,1100.0
country/CUB,2018,1700.0
country/CUB,2021,1700.0
country/CYP,2000,100.0
country/CYP,2005,100.0
country/CYP,2006,100.0
country/CYP,2008,100.0
country/CYP,2019,100.0
country/CZE,1994,100.0
country/CZE,1996,100.0
country/CZE,1999,100.0
country/CZE,2005,500.0
country/CZE,2008,500.0
country/CZE,2015,500.0
country/CZE,2019,500.0
country/CZE,2021,500.0
country/CIV,1993,45000.0
country/CIV,1997,34000.0
country/CIV,1998,32000.0
country/CIV,1999,31000.0
country/CIV,2010,11000.0
country/CIV,2016,6600.0
country/CIV,2017,5500.0
country/CIV,2020,3800.0
country/COD,1994,34000.0
country/COD,2005,21000.0
country/COD,2006,20000.0
country/DNK,1990,500.0
country/DNK,1995,500.0
country/BDI,2012,1900.0
country/BDI,2018,1000.0
country/BDI,2019,1000.0
country/BDI,2022,1000.0
country/CPV,1992,500.0
country/CPV,2005,500.0
country/CPV,2007,100.0
country/CPV,2009,100.0
country/CPV,2010,100.0
country/CPV,2012,100.0
country/CPV,2016,500.0
country/CPV,2021,100.0
country/KHM,1991,1000.0
country/KHM,1993,3500.0
country/KHM,1997,8000.0
country/KHM,2001,2800.0
country/KHM,2011,1000.0
country/KHM,2014,1000.0
country/KHM,2015,1000.0
country/KHM,2020,1000.0
country/CMR,1994,17000.0
country/CMR,1999,24000.0
country/CMR,2001,22000.0
country/CMR,2010,13000.0
country/CMR,2011,12000.0
country/CMR,2018,6300.0
country/CAN,1991,1900.0
country/CAN,1997,1900.0
country/CAN,1998,1900.0
country/CAN,2003,1900.0
country/CAN,2006,1800.0
country/CAN,2017,1500.0
country/CAN,2018,1500.0
country/CAN,2019,1400.0
country/CAN,2020,1000.0
country/CAF,1992,7200.0
country/CAF,1996,7700.0
country/CAF,1998,6900.0
country/CAF,2000,6400.0
country/CAF,2001,6200.0
country/CAF,2009,4500.0
country/CAF,2011,4400.0
country/CAF,2012,4200.0
country/TCD,1991,4300.0
country/TCD,1993,4900.0
country/TCD,1997,5000.0
country/TCD,2000,4400.0
country/TCD,2004,4100.0
country/TCD,2005,4000.0
country/TCD,2006,4000.0
country/TCD,2007,3900.0
country/TCD,2008,3700.0
country/TCD,2010,3300.0
country/TCD,2012,3100.0
country/TCD,2014,2600.0
country/TCD,2019,2000.0
country/CHL,1998,2100.0
country/CHL,2005,1300.0
country/CHL,2009,2200.0
country/CHL,2016,3500.0
country/CHL,2018,3700.0
country/CHL,2020,3900.0
country/COL,1990,2600.0
country/COL,1991,3500.0
country/COL,1996,7500.0
country/DNK,2001,500.0
country/DNK,2003,500.0
country/DNK,2013,500.0
country/DNK,2014,500.0
country/DNK,2017,500.0
country/DNK,2021,100.0
country/DOM,1992,4200.0
country/DOM,1996,5300.0
country/DOM,1997,5200.0
country/DOM,1999,4800.0
country/DOM,2002,4000.0
country/DOM,2007,2900.0
country/DOM,2010,2600.0
country/DOM,2011,2600.0
country/DOM,2012,2300.0
country/DOM,2017,2200.0
country/DOM,2022,2400.0
country/ECU,1996,2000.0
country/ECU,2006,1400.0
country/ECU,2012,1400.0
country/ECU,2021,1300.0
country/EGY,1994,100.0
country/EGY,1996,100.0
country/EGY,1997,100.0
country/EGY,2000,100.0
country/EGY,2009,1000.0
country/EGY,2015,1900.0
country/EGY,2021,4000.0
country/SLV,1990,1000.0
country/SLV,1993,1000.0
country/SLV,1994,1000.0
country/SLV,1998,1300.0
country/SLV,2006,1200.0
country/SLV,2007,1200.0
country/SLV,2009,1000.0
country/SLV,2017,1000.0
country/SLV,2021,1000.0
country/GNQ,1991,500.0
country/GNQ,1992,500.0
country/GNQ,2000,1100.0
country/GNQ,2011,2100.0
country/GNQ,2013,2000.0
country/GNQ,2014,2000.0
country/GNQ,2016,2000.0
country/GNQ,2018,2100.0
country/GNQ,2021,2000.0
country/ERI,1990,1200.0
country/ERI,1991,1200.0
country/ERI,1993,1100.0
country/ERI,1998,1000.0
country/ERI,1999,1000.0
country/ERI,2003,1000.0
country/ERI,2004,1000.0
country/ERI,2008,500.0
country/ERI,2009,500.0
country/ERI,2010,500.0
country/ERI,2012,500.0
country/ERI,2017,500.0
country/ERI,2019,100.0
country/ERI,2020,100.0
country/EST,1993,100.0
country/EST,1995,100.0
country/EST,2004,500.0
country/EST,2006,500.0
country/COL,1999,8400.0
country/COL,2000,8300.0
country/COL,2002,7600.0
country/COL,2006,7300.0
country/COL,2011,7500.0
country/COL,2013,7300.0
country/COL,2017,8100.0
country/COL,2021,8300.0
country/COL,2022,7400.0
country/COM,1994,100.0
country/COM,1996,100.0
country/COM,1998,100.0
country/COM,2001,100.0
country/COM,2002,100.0
country/COM,2007,100.0
country/COM,2011,100.0
country/COM,2014,100.0
country/COM,2016,100.0
country/COM,2017,100.0
country/COM,2021,100.0
country/COG,1999,3000.0
country/COG,2006,2900.0
country/COG,2007,2900.0
country/COG,2009,3100.0
country/COG,2021,5000.0
country/CRI,1991,500.0
country/CRI,1993,500.0
country/CRI,2006,1000.0
country/CRI,2018,1000.0
country/CRI,2019,1000.0
country/CRI,2020,1000.0
country/CUB,1990,500.0
country/CUB,1991,500.0
country/CUB,1993,500.0
country/CUB,1994,500.0
country/CUB,1995,500.0
country/CUB,1996,500.0
country/CUB,1998,1000.0
country/CUB,1999,1000.0
country/CUB,2002,1300.0
country/CUB,2004,1600.0
country/CUB,2006,1800.0
country/CUB,2011,1900.0
country/CUB,2019,1700.0
country/CYP,1991,100.0
country/CYP,1993,100.0
country/CYP,1995,100.0
country/CYP,2001,100.0
country/CYP,2003,100.0
country/CYP,2004,100.0
country/CYP,2007,100.0
country/CYP,2013,100.0
country/CYP,2016,100.0
country/CYP,2017,100.0
country/CZE,1991,100.0
country/CZE,1993,100.0
country/CZE,1998,100.0
country/CZE,2006,500.0
country/CZE,2009,500.0
country/CZE,2016,500.0
country/CZE,2017,500.0
country/CZE,2018,500.0
country/CZE,2020,500.0
country/CZE,2022,500.0
country/EST,2011,500.0
country/EST,2016,500.0
country/EST,2017,500.0
country/EST,2019,100.0
country/EST,2020,100.0
country/SWZ,1992,6000.0
country/SWZ,2012,5100.0
country/SWZ,2013,5100.0
country/SWZ,2019,2200.0
country/ETH,1998,35000.0
country/ETH,1999,32000.0
country/ETH,2000,29000.0
country/ETH,2001,27000.0
country/ETH,2004,20000.0
country/ETH,2005,18000.0
country/ETH,2015,6700.0
country/ETH,2017,5700.0
country/ETH,2021,3600.0
country/FJI,1991,100.0
country/FJI,1993,100.0
country/FJI,1995,100.0
country/FJI,2003,100.0
country/FJI,2004,100.0
country/FJI,2006,100.0
country/FJI,2020,500.0
country/FRA,1990,4100.0
country/FRA,1994,4600.0
country/FRA,2004,4900.0
country/GAB,1999,1500.0
country/GAB,2009,1100.0
country/GAB,2010,1000.0
country/GAB,2017,1000.0
country/GAB,2018,1000.0
country/GMB,1990,500.0
country/GMB,1994,1000.0
country/GMB,1995,1000.0
country/GMB,1997,1000.0
country/GMB,2003,1200.0
country/GMB,2005,1100.0
country/GMB,2015,1000.0
country/GMB,2017,1000.0
country/GMB,2021,1000.0
country/GEO,1999,100.0
country/GEO,2002,500.0
country/GEO,2004,500.0
country/GEO,2015,500.0
country/GEO,2016,500.0
country/GEO,2022,500.0
