dcid,sentence
Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from On Road Vehicles
Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from On Road Vehicles
Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from On Road Vehicles
Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_PM2.5,amount of Ammonia emissions from On Road Vehicles
Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from On Road Vehicles
Annual_Amount_Emissions_OnRoadVehicles_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from On Road Vehicles
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_1_ExternalCombustion,amount of Oxides Of Nitrogen emissions from external combustion
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_2_InternalCombustionEngines,amount of Oxides Of Nitrogen emissions from internal combustion engines
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_21_StationarySourceFuelCombustion,amount of Oxides Of Nitrogen emissions from stationary source fuel combustion
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_22_MobileSources,amount of Oxides Of Nitrogen emissions from mobile sources
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_23_IndustrialProcesses,amount of Oxides Of Nitrogen emissions from industrial processes
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_24_SolventUtilization,amount of Oxides Of Nitrogen emissions from solvent utilization
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_25_StorageAndTransport,amount of Oxides Of Nitrogen emissions from storage and transport
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of Oxides Of Nitrogen emissions from waste disposal, treatment and recovery"
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_27_NaturalSources,amount of Oxides Of Nitrogen emissions from natural sources
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_28_MiscellaneousAreaSources,amount of Oxides Of Nitrogen emissions from miscellaneous area sources
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_3_IndustrialProcesses,amount of Oxides Of Nitrogen emissions from industrial processes
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_4_PetroleumAndSolventEvaporation,amount of Oxides Of Nitrogen emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_OxidesOfNitrogen_SCC_5_WasteDisposal,amount of Oxides Of Nitrogen emissions from waste disposal
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_1_ExternalCombustion,amount of Oxochromiooxy Chromium emissions from external combustion
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_2_InternalCombustionEngines,amount of Oxochromiooxy Chromium emissions from internal combustion engines
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_21_StationarySourceFuelCombustion,amount of Oxochromiooxy Chromium emissions from stationary source fuel combustion
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_22_MobileSources,amount of Oxochromiooxy Chromium emissions from mobile sources
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_23_IndustrialProcesses,amount of Oxochromiooxy Chromium emissions from industrial processes
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_24_SolventUtilization,amount of Oxochromiooxy Chromium emissions from solvent utilization
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of Oxochromiooxy Chromium emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_28_MiscellaneousAreaSources,amount of Oxochromiooxy Chromium emissions from miscellaneous area sources
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_3_IndustrialProcesses,amount of Oxochromiooxy Chromium emissions from industrial processes
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_4_PetroleumAndSolventEvaporation,amount of Oxochromiooxy Chromium emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Oxo_Oxochromiooxy_Chromium_SCC_5_WasteDisposal,amount of Oxochromiooxy Chromium emissions from waste disposal
Annual_Amount_Emissions_PetroleumAndRelatedIndustries_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from Petroleum And Related Industries
Annual_Amount_Emissions_PetroleumAndRelatedIndustries_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from Petroleum And Related Industries
Annual_Amount_Emissions_PetroleumAndRelatedIndustries_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from Petroleum And Related Industries
Annual_Amount_Emissions_PetroleumAndRelatedIndustries_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from Petroleum And Related Industries
Annual_Amount_Emissions_PetroleumAndRelatedIndustries_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from Petroleum And Related Industries
Annual_Amount_Emissions_PetroleumAndRelatedIndustries_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from Petroleum And Related Industries
Annual_Amount_Emissions_PetroleumAndRelatedIndustries_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from Petroleum And Related Industries
Annual_Amount_Emissions_Phenol_SCC_1_ExternalCombustion,amount of phenol emissions from external combustion
Annual_Amount_Emissions_Phenol_SCC_2_InternalCombustionEngines,amount of phenol emissions from internal combustion engines
Annual_Amount_Emissions_Phenol_SCC_21_StationarySourceFuelCombustion,amount of phenol emissions from stationary source fuel combustion
Annual_Amount_Emissions_Phenol_SCC_22_MobileSources,amount of phenol emissions from mobile sources
Annual_Amount_Emissions_Phenol_SCC_23_IndustrialProcesses,amount of phenol emissions from industrial processes
Annual_Amount_Emissions_Phenol_SCC_24_SolventUtilization,amount of phenol emissions from solvent utilization
Annual_Amount_Emissions_Phenol_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of phenol emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Phenol_SCC_28_MiscellaneousAreaSources,amount of phenol emissions from miscellaneous area sources
Annual_Amount_Emissions_Phenol_SCC_3_IndustrialProcesses,amount of phenol emissions from industrial processes
Annual_Amount_Emissions_Phenol_SCC_4_PetroleumAndSolventEvaporation,amount of phenol emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Phenol_SCC_5_WasteDisposal,amount of phenol emissions from waste disposal
Annual_Amount_Emissions_Phosphorus_SCC_1_ExternalCombustion,amount of phosphorus emissions from external combustion
Annual_Amount_Emissions_Phosphorus_SCC_2_InternalCombustionEngines,amount of phosphorus emissions from internal combustion engines
Annual_Amount_Emissions_Phosphorus_SCC_21_StationarySourceFuelCombustion,amount of phosphorus emissions from stationary source fuel combustion
Annual_Amount_Emissions_Phosphorus_SCC_22_MobileSources,amount of phosphorus emissions from mobile sources
Annual_Amount_Emissions_Phosphorus_SCC_23_IndustrialProcesses,amount of phosphorus emissions from industrial processes
Annual_Amount_Emissions_Phosphorus_SCC_24_SolventUtilization,amount of phosphorus emissions from solvent utilization
Annual_Amount_Emissions_Phosphorus_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of phosphorus emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Phosphorus_SCC_28_MiscellaneousAreaSources,amount of phosphorus emissions from miscellaneous area sources
Annual_Amount_Emissions_Phosphorus_SCC_3_IndustrialProcesses,amount of phosphorus emissions from industrial processes
Annual_Amount_Emissions_Phosphorus_SCC_4_PetroleumAndSolventEvaporation,amount of phosphorus emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Phosphorus_SCC_5_WasteDisposal,amount of phosphorus emissions from waste disposal
Annual_Amount_Emissions_PM10_SCC_1_ExternalCombustion,amount of PM10 emissions from external combustion
Annual_Amount_Emissions_PM10_SCC_2_InternalCombustionEngines,amount of PM10 emissions from internal combustion engines
Annual_Amount_Emissions_PM10_SCC_21_StationarySourceFuelCombustion,amount of PM10 emissions from stationary source fuel combustion
Annual_Amount_Emissions_PM10_SCC_22_MobileSources,amount of PM10 emissions from mobile sources
Annual_Amount_Emissions_PM10_SCC_23_IndustrialProcesses,amount of PM10 emissions from industrial processes
Annual_Amount_Emissions_PM10_SCC_24_SolventUtilization,amount of PM10 emissions from solvent utilization
Annual_Amount_Emissions_PM10_SCC_25_StorageAndTransport,amount of PM10 emissions from storage and transport
Annual_Amount_Emissions_PM10_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of PM10 emissions from waste disposal, treatment and recovery"
Annual_Amount_Emissions_PM10_SCC_28_MiscellaneousAreaSources,amount of PM10 emissions from miscellaneous area sources
Annual_Amount_Emissions_PM10_SCC_3_IndustrialProcesses,amount of PM10 emissions from industrial processes
Annual_Amount_Emissions_PM10_SCC_4_PetroleumAndSolventEvaporation,amount of PM10 emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_PM10_SCC_5_WasteDisposal,amount of PM10 emissions from waste disposal
Annual_Amount_Emissions_PM10_SCC_6_MACTSourceCategories,amount of PM10 emissions from MACT source categories
Annual_Amount_Emissions_PM2.5_SCC_1_ExternalCombustion,amount of PM2.5 emissions from external combustion
Annual_Amount_Emissions_PM2.5_SCC_2_InternalCombustionEngines,amount of PM2.5 emissions from internal combustion engines
Annual_Amount_Emissions_PM2.5_SCC_21_StationarySourceFuelCombustion,amount of PM2.5 emissions from stationary source fuel combustion
Annual_Amount_Emissions_PM2.5_SCC_22_MobileSources,amount of PM2.5 emissions from mobile sources
Annual_Amount_Emissions_PM2.5_SCC_23_IndustrialProcesses,amount of PM2.5 emissions from industrial processes
Annual_Amount_Emissions_PM2.5_SCC_24_SolventUtilization,amount of PM2.5 emissions from solvent utilization
Annual_Amount_Emissions_PM2.5_SCC_25_StorageAndTransport,amount of PM2.5 emissions from storage and transport
Annual_Amount_Emissions_PM2.5_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of PM2.5 emissions from waste disposal, treatment and recovery"
Annual_Amount_Emissions_PM2.5_SCC_28_MiscellaneousAreaSources,amount of PM2.5 emissions from miscellaneous area sources
Annual_Amount_Emissions_PM2.5_SCC_3_IndustrialProcesses,amount of PM2.5 emissions from industrial processes
Annual_Amount_Emissions_PM2.5_SCC_4_PetroleumAndSolventEvaporation,amount of PM2.5 emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_PM2.5_SCC_5_WasteDisposal,amount of PM2.5 emissions from waste disposal
Annual_Amount_Emissions_PM2.5_SCC_6_MACTSourceCategories,amount of PM2.5 emissions from MACT source categories
Annual_Amount_Emissions_PrescribedFire_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from prescribed fire
Annual_Amount_Emissions_PrescribedFire_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from prescribed fire
Annual_Amount_Emissions_PrescribedFire_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from prescribed fire
Annual_Amount_Emissions_PrescribedFire_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from prescribed fire
Annual_Amount_Emissions_PrescribedFire_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from prescribed fire
Annual_Amount_Emissions_PrescribedFire_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from prescribed fire
Annual_Amount_Emissions_PrescribedFire_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from prescribed fire
Annual_Amount_Emissions_Pyrene_SCC_1_ExternalCombustion,amount of pyrene emissions from external combustion
Annual_Amount_Emissions_Pyrene_SCC_2_InternalCombustionEngines,amount of pyrene emissions from internal combustion engines
Annual_Amount_Emissions_Pyrene_SCC_21_StationarySourceFuelCombustion,amount of pyrene emissions from stationary source fuel combustion
Annual_Amount_Emissions_Pyrene_SCC_22_MobileSources,amount of pyrene emissions from mobile sources
Annual_Amount_Emissions_Pyrene_SCC_23_IndustrialProcesses,amount of pyrene emissions from industrial processes
Annual_Amount_Emissions_Pyrene_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of pyrene emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Pyrene_SCC_28_MiscellaneousAreaSources,amount of pyrene emissions from miscellaneous area sources
Annual_Amount_Emissions_Pyrene_SCC_3_IndustrialProcesses,amount of pyrene emissions from industrial processes
Annual_Amount_Emissions_Pyrene_SCC_4_PetroleumAndSolventEvaporation,amount of pyrene emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_SCC_1_ExternalCombustion,amount of emissions from external combustion
Annual_Amount_Emissions_SCC_2_InternalCombustionEngines,amount of emissions from internal combustion engines
Annual_Amount_Emissions_SCC_21_StationarySourceFuelCombustion,amount of emissions from stationary source fuel combustion
Annual_Amount_Emissions_SCC_22_MobileSources,amount of emissions from mobile sources
Annual_Amount_Emissions_SCC_23_IndustrialProcesses,amount of emissions from industrial processes
Annual_Amount_Emissions_SCC_24_SolventUtilization,amount of emissions from solvent utilization
Annual_Amount_Emissions_SCC_25_StorageAndTransport,amount of emissions from storage and transport
Annual_Amount_Emissions_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_SCC_27_NaturalSources,amount of emissions from natural sources
Annual_Amount_Emissions_SCC_28_MiscellaneousAreaSources,amount of emissions from miscellaneous area sources
Annual_Amount_Emissions_SCC_3_IndustrialProcesses,amount of emissions from industrial processes
Annual_Amount_Emissions_SCC_4_PetroleumAndSolventEvaporation,amount of emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_SCC_5_WasteDisposal,amount of emissions from waste disposal
Annual_Amount_Emissions_SCC_6_MACTSourceCategories,amount of emissions from MACT source categories
Annual_Amount_Emissions_Selenium_SCC_1_ExternalCombustion,amount of selenium emissions from external combustion
Annual_Amount_Emissions_Selenium_SCC_2_InternalCombustionEngines,amount of selenium emissions from internal combustion engines
Annual_Amount_Emissions_Selenium_SCC_21_StationarySourceFuelCombustion,amount of selenium emissions from stationary source fuel combustion
Annual_Amount_Emissions_Selenium_SCC_22_MobileSources,amount of selenium emissions from mobile sources
Annual_Amount_Emissions_Selenium_SCC_23_IndustrialProcesses,amount of selenium emissions from industrial processes
Annual_Amount_Emissions_Selenium_SCC_24_SolventUtilization,amount of selenium emissions from solvent utilization
Annual_Amount_Emissions_Selenium_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of selenium emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Selenium_SCC_28_MiscellaneousAreaSources,amount of selenium emissions from miscellaneous area sources
Annual_Amount_Emissions_Selenium_SCC_3_IndustrialProcesses,amount of selenium emissions from industrial processes
Annual_Amount_Emissions_Selenium_SCC_4_PetroleumAndSolventEvaporation,amount of selenium emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Selenium_SCC_5_WasteDisposal,amount of selenium emissions from waste disposal
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from solvent utilization
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from solvent utilization
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from solvent utilization
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from solvent utilization
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from solvent utilization
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from solvent utilization
Annual_Amount_Emissions_SolventUtilization_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from solvent utilization
Annual_Amount_Emissions_StationaryFuelCombustion_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from stationary fuel combustion
Annual_Amount_Emissions_StationaryFuelCombustion_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from stationary fuel combustion
Annual_Amount_Emissions_StationaryFuelCombustion_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from stationary fuel combustion
Annual_Amount_Emissions_StationaryFuelCombustion_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from stationary fuel combustion
Annual_Amount_Emissions_StationaryFuelCombustion_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from stationary fuel combustion
Annual_Amount_Emissions_StationaryFuelCombustion_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from stationary fuel combustion
Annual_Amount_Emissions_StationaryFuelCombustion_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from stationary fuel combustion
Annual_Amount_Emissions_StorageAndTransport_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from storage and transport
Annual_Amount_Emissions_StorageAndTransport_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from storage and transport
Annual_Amount_Emissions_StorageAndTransport_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from storage and transport
Annual_Amount_Emissions_StorageAndTransport_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from storage and transport
Annual_Amount_Emissions_StorageAndTransport_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from storage and transport
Annual_Amount_Emissions_StorageAndTransport_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from storage and transport
Annual_Amount_Emissions_StorageAndTransport_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from storage and transport
Annual_Amount_Emissions_Sulfane_SCC_1_ExternalCombustion,amount of sulfane emissions from external combustion
Annual_Amount_Emissions_Sulfane_SCC_2_InternalCombustionEngines,amount of sulfane emissions from internal combustion engines
Annual_Amount_Emissions_Sulfane_SCC_23_IndustrialProcesses,amount of sulfane emissions from industrial processes
Annual_Amount_Emissions_Sulfane_SCC_24_SolventUtilization,amount of sulfane emissions from solvent utilization
Annual_Amount_Emissions_Sulfane_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of sulfane emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Sulfane_SCC_28_MiscellaneousAreaSources,amount of sulfane emissions from miscellaneous area sources
Annual_Amount_Emissions_Sulfane_SCC_3_IndustrialProcesses,amount of sulfane emissions from industrial processes
Annual_Amount_Emissions_Sulfane_SCC_4_PetroleumAndSolventEvaporation,amount of sulfane emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Sulfane_SCC_5_WasteDisposal,amount of sulfane emissions from waste disposal
Annual_Amount_Emissions_SulfurDioxide_SCC_1_ExternalCombustion,amount of sulfur dioxide emissions from external combustion
Annual_Amount_Emissions_SulfurDioxide_SCC_2_InternalCombustionEngines,amount of sulfur dioxide emissions from internal combustion engines
Annual_Amount_Emissions_SulfurDioxide_SCC_21_StationarySourceFuelCombustion,amount of sulfur dioxide emissions from stationary source fuel combustion
Annual_Amount_Emissions_SulfurDioxide_SCC_22_MobileSources,amount of sulfur dioxide emissions from mobile sources
Annual_Amount_Emissions_SulfurDioxide_SCC_23_IndustrialProcesses,amount of sulfur dioxide emissions from industrial processes
Annual_Amount_Emissions_SulfurDioxide_SCC_24_SolventUtilization,amount of sulfur dioxide emissions from solvent utilization
Annual_Amount_Emissions_SulfurDioxide_SCC_25_StorageAndTransport,amount of sulfur dioxide emissions from storage and transport
Annual_Amount_Emissions_SulfurDioxide_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of sulfur dioxide emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_SulfurDioxide_SCC_28_MiscellaneousAreaSources,amount of sulfur dioxide emissions from miscellaneous area sources
Annual_Amount_Emissions_SulfurDioxide_SCC_3_IndustrialProcesses,amount of sulfur dioxide emissions from industrial processes
Annual_Amount_Emissions_SulfurDioxide_SCC_4_PetroleumAndSolventEvaporation,amount of sulfur dioxide emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_SulfurDioxide_SCC_5_WasteDisposal,amount of sulfur dioxide emissions from waste disposal
Annual_Amount_Emissions_SulfurDioxide_SCC_6_MACTSourceCategories,amount of sulfur dioxide emissions from MACT source categories
Annual_Amount_Emissions_Toluene_SCC_1_ExternalCombustion,amount of toluene emissions from external combustion
Annual_Amount_Emissions_Toluene_SCC_2_InternalCombustionEngines,amount of toluene emissions from internal combustion engines
Annual_Amount_Emissions_Toluene_SCC_21_StationarySourceFuelCombustion,amount of toluene emissions from stationary source fuel combustion
Annual_Amount_Emissions_Toluene_SCC_22_MobileSources,amount of toluene emissions from mobile sources
Annual_Amount_Emissions_Toluene_SCC_23_IndustrialProcesses,amount of toluene emissions from industrial processes
Annual_Amount_Emissions_Toluene_SCC_24_SolventUtilization,amount of toluene emissions from solvent utilization
Annual_Amount_Emissions_Toluene_SCC_25_StorageAndTransport,amount of toluene emissions from storage and transport
Annual_Amount_Emissions_Toluene_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of toluene emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Toluene_SCC_28_MiscellaneousAreaSources,amount of toluene emissions from miscellaneous area sources
Annual_Amount_Emissions_Toluene_SCC_3_IndustrialProcesses,amount of toluene emissions from industrial processes
Annual_Amount_Emissions_Toluene_SCC_4_PetroleumAndSolventEvaporation,amount of toluene emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Toluene_SCC_5_WasteDisposal,amount of toluene emissions from waste disposal
Annual_Amount_Emissions_Transportation_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from transportation
Annual_Amount_Emissions_Transportation_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from transportation
Annual_Amount_Emissions_Transportation_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from transportation
Annual_Amount_Emissions_Transportation_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from transportation
Annual_Amount_Emissions_Transportation_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from transportation
Annual_Amount_Emissions_Transportation_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from transportation
Annual_Amount_Emissions_Transportation_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from transportation
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_1_ExternalCombustion,amount of volatile organic compound from external combustion
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_2_InternalCombustionEngines,amount of volatile organic compound from internal combustion engines
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_21_StationarySourceFuelCombustion,amount of volatile organic compound from stationary source fuel combustion
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_22_MobileSources,amount of volatile organic compound from mobile sources
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_23_IndustrialProcesses,amount of volatile organic compound from industrial processes
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_24_SolventUtilization,amount of volatile organic compound from solvent utilization
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_25_StorageAndTransport,amount of volatile organic compound from storage and transport
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_26_WasteDisposalTreatmentAndRecovery,amount of volatile organic compound from waste disposal treatment and recovery
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_27_NaturalSources,amount of volatile organic compound from natural sources
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_28_MiscellaneousAreaSources,amount of volatile organic compound from miscellaneous area sources
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_3_IndustrialProcesses,amount of volatile organic compound from industrial processes
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_4_PetroleumAndSolventEvaporation,amount of volatile organic compound from petroleum and solvent evaporation
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_5_WasteDisposal,amount of volatile organic compound from waste disposal
Annual_Amount_Emissions_VolatileOrganicCompound_SCC_6_MACTSourceCategories,amount of volatile organic compound from MACT source categories
Annual_Amount_Emissions_WasteDisposalAndRecycling_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from waste disposal and recycling
Annual_Amount_Emissions_WasteDisposalAndRecycling_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from waste disposal and recycling
Annual_Amount_Emissions_WasteDisposalAndRecycling_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from waste disposal and recycling
Annual_Amount_Emissions_WasteDisposalAndRecycling_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from waste disposal and recycling
Annual_Amount_Emissions_WasteDisposalAndRecycling_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from waste disposal and recycling
Annual_Amount_Emissions_WasteDisposalAndRecycling_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from waste disposal and recycling
Annual_Amount_Emissions_WasteDisposalAndRecycling_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from waste disposal and recycling
Annual_Amount_Emissions_Wildfire_NonBiogenicEmissionSource_Ammonia,amount of Ammonia emissions from wildfire
Annual_Amount_Emissions_Wildfire_NonBiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from wildfire
Annual_Amount_Emissions_Wildfire_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from wildfire
Annual_Amount_Emissions_Wildfire_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from wildfire
Annual_Amount_Emissions_Wildfire_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from wildfire
Annual_Amount_Emissions_Wildfire_NonBiogenicEmissionSource_SulfurDioxide,amount of Sulfur Dioxide emissions from wildfire
Annual_Amount_Emissions_Wildfire_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of Volatile Organic Compound emissions from wildfire
Annual_Average_RetailPrice_Electricity,average retail price of electricity
Annual_Average_RetailPrice_Electricity_Commercial,average retail price of electricity for commercial sector
Annual_Average_RetailPrice_Electricity_Industrial,average retail price of electricity for industrial sector
Annual_Average_RetailPrice_Electricity_Residential,average retail price of electricity for residential sector
Annual_Capacity_Fuel_CrudeOil_Refinery,capacity of crude oil refinery
Annual_Consumption_Electricity,Electricity Consumption
Annual_Consumption_Electricity_Agriculture,Electricity Usage in Agriculture
Annual_Consumption_Electricity_ChemicalPetrochemicalIndustry,Electricity Usage in Chemical Petrochemical Industry
Annual_Consumption_Electricity_CommerceAndPublicServices,Electricity Usage in Commerce and Public Services
Annual_Consumption_Electricity_ConstructionIndustry,Electricity Usage in Construction Industry
Annual_Consumption_Electricity_FoodAndTobaccoIndustry,Electricity Usage in Food and Tobacco Industry
Annual_Consumption_Electricity_Households,Electricity Usage in Households
Annual_Consumption_Electricity_IronSteel,Electricity Usage in Iron and Steel Industry
Annual_Consumption_Electricity_MachineryIndustry,Electricity Usage in Machinery Industry
Annual_Consumption_Electricity_Manufacturing,Electricity Usage in Manufacturing
Annual_Consumption_Electricity_MiningAndQuarryingIndustry,Electricity Usage in Mining and Quarrying Industry
Annual_Consumption_Electricity_NonFerrousMetalsIndustry,Electricity Usage in Non Ferrous Metals Industry
Annual_Consumption_Electricity_NonMetallicMineralsIndustry,Electricity Usage in Non Metallic Minerals Industry
